HMCL IN Equity,price,volume,mc,pe,bm,div
2025-01-31,4339.15,11669404.0,867827.9649,23.1594,4.9014,140.0
2025-02-28,3681.1,13866992.0,736259.8884,19.6472,4.1581,140.0
2025-03-31,3722.95,13841272.0,744630.3419,17.0029,3.8638,140.0
2025-04-30,3827.4,12498455.0,765521.4737,17.4799,3.9722,140.0
2025-05-31,4309.3,17574289.0,861927.6905,19.6808,4.4723,140.0
2025-06-30,4237.1,12697410.0,847486.5564,19.351,4.3974,140.0
2025-07-31,4260.7,12712086.0,852206.9271,19.4588,4.4219,165.0
2025-08-31,5087.7,23240471.0,1017885.251,23.2358,5.2802,165.0
2025-09-30,5472.5,23375445.0,1094871.364,24.9931,5.6795,165.0
2025-10-31,5544.0,12584312.0,1109176.216,25.3197,5.7537,165.0
2025-11-30,6174.5,15971292.0,1235403.913,28.1992,6.4081,165.0
2025-12-31,5771.0,17961493.0,1154670.983,26.3564,5.9893,165.0
2026-01-31,5534.0,10103409.0,1107251.641,25.274,5.7433,165.0
2026-02-28,5710.0,10799413.0,1142512.627,26.0778,5.926,175.0
2026-03-31,5574.0,1455150.0,1115300.417,25.4567,5.7849,175.0
