CIPLA IN Equity,price,volume,mc,pe,bm,div
2014-09-30,626.8,66675882.0,503271.0869,36.2522,5.0075,2.0
2014-10-31,666.55,34561310.0,535187.2096,38.5512,5.3251,2.0
2014-11-30,635.15,37649699.0,509975.48,36.7351,5.0742,2.0
2014-12-31,626.4,36372074.0,502949.9184,36.229,5.0043,2.0
2015-01-31,695.75,32707502.0,558632.5123,40.24,5.5583,2.0
2015-02-28,682.05,37664386.0,547658.883,39.4477,5.4489,2.0
2015-03-31,712.45,41250990.0,572069.172,48.433,5.2962,2.0
2015-04-30,636.0,40933680.0,510682.8457,43.2359,4.7279,2.0
2015-05-31,650.45,43127679.0,522285.6242,44.2182,4.8353,2.0
2015-06-30,615.4,43373385.0,494222.1659,41.8355,4.5748,2.0
2015-07-31,709.05,32138215.0,569441.4566,48.2019,5.2709,2.0
2015-08-31,682.15,61203210.0,547837.9375,46.3732,5.071,2.0
2015-09-30,636.05,41506732.0,510814.8064,43.2393,4.7283,2.0
2015-10-31,690.45,44342926.0,554503.7073,46.9375,5.1327,2.0
2015-11-30,643.65,24318339.0,516918.4028,43.7559,4.7848,2.0
2015-12-31,649.75,20780116.0,521904.4698,44.1706,4.8301,2.0
2016-01-31,585.1,23440026.0,469975.0755,39.7757,4.3495,2.0
2016-02-29,514.15,45617430.0,413054.8797,34.9524,3.8221,2.0
2016-03-31,511.95,64083219.0,411292.5808,30.2392,3.5714,2.0
2016-04-30,537.0,42327453.0,431417.3569,31.7188,3.7462,2.0
2016-05-31,472.65,48707041.0,379719.5787,27.9179,3.2973,2.0
2016-06-30,501.0,37305721.0,402587.8704,29.5924,3.495,2.0
2016-07-31,527.4,32760724.0,423802.0815,31.1518,3.6792,2.0
2016-08-31,572.95,47925216.0,460404.6314,33.8423,3.997,2.0
2016-09-30,580.05,40553500.0,466109.9685,34.2617,4.0465,2.0
2016-10-31,578.75,25881794.0,465065.3293,34.1849,4.0374,2.0
2016-11-30,566.6,32653928.0,455301.9708,33.4672,3.9527,2.0
2016-12-31,568.8,24801956.0,457539.5399,33.5972,3.968,2.0
2017-01-31,575.35,16687395.0,462818.9988,33.9841,4.0137,2.0
2017-02-28,583.7,29282151.0,469570.1551,34.4773,4.072,2.0
2017-03-31,592.95,28750800.0,477034.2465,47.3602,3.803,2.0
2017-04-30,557.45,30713966.0,448474.139,44.5248,3.5753,2.0
2017-05-31,516.35,38848320.0,415429.2286,41.242,3.3117,2.0
2017-06-30,555.6,24583129.0,447012.2121,44.377,3.5634,2.0
2017-07-31,560.1,20758241.0,450697.4693,44.7364,3.5923,2.0
