APNT IN Equity,price,volume,mc,pe,bm,div
2025-03-31,2340.65,25165180.0,2245146.307,61.1935,12.005,32.4
2025-04-30,2425.7,20712746.0,2326726.079,63.417,12.4412,32.4
2025-05-31,2259.1,28667527.0,2166923.727,59.0614,11.5867,32.4
2025-06-30,2341.1,26941556.0,2245577.946,61.2052,12.0073,24.8
2025-07-31,2396.1,24099223.0,2298333.825,62.6431,12.2894,24.8
2025-08-31,2518.6,28609803.0,2415835.554,65.8458,12.9177,24.8
2025-09-30,2350.0,21967587.0,2254114.807,61.4379,12.053,24.8
2025-10-31,2510.8,17236475.0,2408353.811,65.6418,12.8777,24.8
2025-11-30,2874.4,36958357.0,2757118.128,75.1477,14.7426,25.05
2025-12-31,2769.5,28417806.0,2656498.279,72.4052,14.2045,25.05
2026-01-31,2428.3,30580929.0,2329219.994,63.485,12.4545,25.05
2026-02-28,2376.2,24345586.0,2279245.789,62.1229,12.1873,25.05
2026-03-31,2285.3,5341547.0,2192054.756,59.7464,11.7211,25.05
