PRJ IN Equity,price,volume,mc,pe,bm,div
2018-12-31,109.7,17550642.0,20008.8423,50.0913,2.7334,1.62
2019-01-31,131.3,240965661.0,23963.9451,59.9543,3.2716,1.62
2019-02-28,141.9,85925098.0,25909.2585,64.7945,3.5357,2.12
2019-03-31,155.1,71706368.0,28328.6815,41.36,3.8024,2.12
2019-04-30,136.75,35669334.0,24977.0935,36.4667,3.3526,2.12
2019-05-31,145.2,38866463.0,26541.3773,38.72,3.5597,2.12
2019-06-30,140.65,26101689.0,25709.6744,37.5067,3.4482,2.12
2019-07-31,105.55,33400580.0,19296.5038,28.1467,2.5877,2.12
2019-08-31,102.55,17926930.0,18748.8068,27.3467,2.5141,2.12
2019-09-30,112.1,39342646.0,20497.4889,29.8933,2.7482,2.12
2019-10-31,114.85,28116884.0,21003.1461,30.6267,2.8157,2.12
2019-11-30,105.95,19089919.0,19379.6625,28.2533,2.5975,2.12
2019-12-31,102.55,16914581.0,18765.559,27.3467,2.5141,2.12
2020-01-31,112.85,55165445.0,20650.3494,30.0933,2.7666,2.12
2020-02-29,95.05,23766987.0,17407.0921,25.3467,2.3302,1.62
2020-03-31,55.05,19057777.0,10081.6457,14.2987,1.4019,2.7
2020-04-30,61.35,41367042.0,11236.8697,15.9351,1.5623,2.7
2020-05-31,58.1,25401104.0,10641.5995,15.0909,1.4795,2.7
2020-06-30,63.2,52117459.0,11575.8675,16.4156,1.6094,2.7
2020-07-31,59.85,43829182.0,10962.5845,15.5455,1.5241,2.7
2020-08-31,68.45,55898693.0,12537.8263,17.7792,1.7431,2.7
2020-09-30,72.05,28755178.0,13197.2299,18.7143,1.8348,2.7
2020-10-31,76.8,28159694.0,14067.2766,19.9481,1.9557,2.7
2020-11-30,86.8,25574907.0,15899.2912,22.5455,2.2104,2.7
2020-12-31,115.5,83899035.0,21156.4079,30.0,2.9413,2.7
2021-01-31,115.7,50016994.0,21193.0424,30.0519,2.9464,2.7
2021-02-28,164.1,63720601.0,30059.4381,42.6234,4.1789,2.7
2021-03-31,194.85,74989793.0,35702.1523,43.9842,4.4526,2.7
2021-04-30,234.65,88599370.0,43030.5908,52.9684,5.3621,2.7
2021-05-31,337.85,140926953.0,61960.3785,76.2641,7.7204,0.0
2021-06-30,369.95,39267836.0,67918.62,83.5102,8.4539,0.0
2021-07-31,366.85,10060602.0,67301.1986,82.8104,8.3831,0.0
2021-08-31,332.4,15344282.0,60981.1051,75.0339,7.5959,2.16
2021-09-30,352.7,13655287.0,64705.2821,79.6163,8.0597,2.16
2021-10-31,333.45,7651408.0,61173.735,75.2709,7.6198,2.16
2021-11-30,324.0,10840827.0,59510.0805,73.1377,7.4039,2.16
2021-12-31,334.95,8244907.0,61521.3008,75.6095,7.6541,2.16
2022-01-31,422.85,40076837.0,77666.1653,95.4515,9.6628,2.16
2022-02-28,339.55,24419938.0,62366.197,76.6479,7.7592,2.16
