TARIL IN Equity,price,volume,mc,pe,bm,div
2017-07-31,17.15,23735580.0,4547.612,19.4639,1.398,0.0
2017-08-31,16.39,16397660.0,4346.1145,18.6015,1.3361,0.0
2017-09-30,16.55,41739046.0,4387.8723,18.7802,1.3489,0.0
2017-10-31,15.2,6675534.0,4029.9492,17.2483,1.2389,0.0
2017-11-30,16.48,12708030.0,4367.9875,18.6951,1.3428,0.0
2017-12-31,20.88,47636798.0,5534.5516,23.6881,1.7014,0.0
2018-01-31,17.83,25492900.0,4725.9106,20.2271,1.4528,0.0
2018-02-28,15.43,10896840.0,4089.6028,17.5036,1.2572,0.0
2018-03-31,13.43,5773892.0,3559.3464,65.4878,1.0764,0.0
2018-04-30,13.45,4793170.0,3565.9746,65.6098,1.0784,0.0
2018-05-31,12.0,9855348.0,3181.5386,58.5366,0.9621,0.0
2018-06-30,10.03,6608988.0,2657.9104,48.9024,0.8038,0.0
2018-07-31,10.35,3552902.0,2744.0771,50.4878,0.8298,0.0
2018-08-31,10.03,10994698.0,2657.9104,48.9024,0.8038,0.0
2018-09-30,7.78,3239078.0,2061.3719,37.9268,0.6234,0.0
2018-10-31,7.0,5293266.0,1855.8975,34.1463,0.5612,0.0
2018-11-30,6.7,4665006.0,1776.3591,32.6829,0.5372,0.0
2018-12-31,6.68,2513648.0,1769.7309,32.561,0.5352,0.0
2019-01-31,5.9,2310114.0,1564.2565,28.7805,0.473,0.0
2019-02-28,5.58,2453152.0,1478.0898,27.1951,0.447,0.0
2019-03-31,6.63,6768144.0,1756.4745,38.9706,0.5237,0.0
2019-04-30,5.73,2139230.0,1517.8591,33.6765,0.4525,0.0
2019-05-31,6.58,4936816.0,1743.218,38.6765,0.5197,0.0
2019-06-30,5.3,2127712.0,1405.1796,31.1765,0.419,0.0
2019-07-31,4.45,3348414.0,1179.8206,26.1765,0.3518,0.0
2019-08-31,3.73,1381950.0,987.6026,21.9118,0.2945,0.0
2019-09-30,3.98,3536256.0,1053.8847,23.3824,0.3142,0.0
2019-10-31,3.85,7158614.0,1020.7436,22.6471,0.3043,0.0
2019-11-30,3.5,3967780.0,927.9488,20.5882,0.2767,0.0
2019-12-31,3.58,6322830.0,947.8334,21.0294,0.2826,0.0
2020-01-31,4.43,8728890.0,1173.1924,26.0294,0.3498,0.0
2020-02-29,3.93,8592478.0,1040.6283,23.0882,0.3103,0.0
2020-03-31,2.73,6760188.0,722.4744,181.6667,0.2151,0.0
2020-04-30,3.48,3998058.0,921.3206,231.6667,0.2744,0.0
2020-05-31,3.23,2821900.0,855.0385,215.0,0.2546,0.0
2020-06-30,6.63,30670570.0,1756.4745,441.6667,0.5231,0.0
2020-07-31,5.1,20080018.0,1352.1539,340.0,0.4027,0.0
2020-08-31,5.05,6565970.0,1338.8975,336.6667,0.3987,0.0
2020-09-30,4.55,3154766.0,1206.3334,303.3333,0.3592,0.0
2020-10-31,4.47,2243926.0,1186.4488,298.3333,0.3533,0.0
2020-11-30,5.5,6464654.0,1458.2052,366.6667,0.4342,0.0
2020-12-31,10.1,58411168.0,2677.795,673.3333,0.7974,0.0
2021-01-31,8.3,5705510.0,2200.5642,553.3333,0.6553,0.0
2021-02-28,8.73,6971368.0,2313.2437,581.6667,0.6889,0.0
2021-03-31,8.18,15595844.0,2167.4232,30.8491,0.6321,0.0
2021-04-30,9.65,11807640.0,2558.4873,36.4151,0.7461,0.0
2021-05-31,13.13,58619918.0,3479.8079,49.5283,1.0148,0.0
2021-06-30,15.7,60941628.0,4162.5131,59.2453,1.2139,0.0
2021-07-31,16.93,30038500.0,4487.2951,63.8679,1.3086,0.0
2021-08-31,13.98,15209394.0,3705.1669,52.7358,1.0805,0.0
2021-09-30,13.53,7593550.0,3585.8592,51.0377,1.0457,0.05
2021-10-31,14.15,19773910.0,3751.5643,53.3962,1.094,0.05
2021-11-30,13.38,15435288.0,3546.0899,50.4717,1.0341,0.05
2021-12-31,17.65,41372878.0,4679.5131,66.6038,1.3646,0.05
2022-01-31,16.6,26884850.0,4401.1285,62.6415,1.2834,0.05
2022-02-28,17.5,71809680.0,4639.7439,66.0377,1.353,0.05
2022-03-31,16.48,11651834.0,4367.9874,31.0849,1.2251,0.05
2022-04-30,17.48,17721132.0,4633.1156,32.9717,1.2995,0.05
2022-05-31,15.43,9491152.0,4089.6028,29.1038,1.147,0.05
2022-06-30,13.95,8371508.0,3698.5387,26.3208,1.0374,0.05
2022-07-31,14.63,8457078.0,3877.5002,27.5943,1.0876,0.075
2022-08-31,19.25,33845608.0,5103.7182,36.3208,1.4315,0.075
2022-09-30,29.83,104423336.0,7907.4492,56.2736,2.2179,0.075
2022-10-31,30.35,50515518.0,8046.6415,57.2642,2.2569,0.075
2022-11-30,29.58,25851996.0,7841.1671,55.8019,2.1993,0.075
2022-12-31,27.93,31267352.0,7403.7055,52.6887,2.0766,0.075
2023-01-31,37.25,108763940.0,9876.0262,70.283,2.77,0.075
2023-02-28,29.83,43446216.0,7907.4492,56.2736,2.2179,0.075
2023-03-31,28.45,20394268.0,7542.8979,18.5292,1.9182,0.075
2023-04-30,34.08,27157402.0,9034.2441,22.1927,2.2975,0.075
2023-05-31,41.78,67868150.0,11075.7314,27.2077,2.8167,0.075
2023-06-30,49.7,77040342.0,13176.8725,32.3692,3.351,0.075
2023-07-31,43.78,143974730.0,11605.9878,28.5103,2.9515,0.075
2023-08-31,57.73,94308276.0,15304.5265,37.5958,3.8921,0.075
2023-09-30,85.85,119892368.0,22761.2577,55.9133,5.7884,0.075
2023-10-31,84.48,36281898.0,22396.7064,55.0178,5.6957,0.075
2023-11-30,92.13,48318248.0,26267.4393,60.0002,6.2115,0.075
2023-12-31,115.68,49322580.0,32982.2094,75.3381,7.7994,0.075
2024-01-31,173.9,68229438.0,49583.8013,113.2595,11.7252,0.075
2024-02-29,173.0,9136350.0,49327.1859,112.6733,11.6645,0.075
2024-03-31,197.83,6549074.0,56405.4945,122.1142,10.1737,0.075
2024-04-30,313.55,17377072.0,89401.9603,193.5494,16.1252,0.075
2024-05-31,350.0,19153948.0,99794.8847,216.0494,17.9997,0.1
2024-06-30,361.43,21898522.0,108487.4366,223.1019,18.5873,0.1
2024-07-31,372.23,14295784.0,111729.2276,229.7685,19.1427,0.1
2024-08-31,372.25,5594992.0,111736.7317,229.784,19.144,0.1
2024-09-30,316.13,8062088.0,94889.9243,195.1389,16.2576,0.1
2024-10-31,463.08,17744176.0,138999.2936,285.8488,23.8149,0.1
2024-11-30,501.15,8289800.0,150428.1077,309.3519,25.773,0.1
2024-12-31,569.9,7955882.0,171064.5088,351.7901,29.3087,0.1
2025-01-31,444.3,16247676.0,133363.68,274.2593,22.8493,0.1
2025-02-28,385.55,22989008.0,115728.9373,237.9938,19.828,0.1
2025-03-31,536.2,27790149.0,160948.9202,74.3689,12.8562,0.1
2025-04-30,494.95,36841416.0,148567.0795,68.6477,11.8672,0.1
2025-05-31,521.6,20423258.0,156566.499,72.344,12.5061,0.2
2025-06-30,489.05,15748232.0,146796.1011,67.8294,11.7257,0.2
2025-07-31,511.2,21806589.0,153444.7743,70.9015,12.2568,0.2
2025-08-31,490.2,28880828.0,147141.2918,67.9889,11.7533,0.2
2025-09-30,486.5,20334026.0,146030.6782,67.4757,11.6646,0.2
2025-10-31,445.4,10597969.0,133693.8625,61.7753,10.6791,0.2
2025-11-30,271.05,109054968.0,81359.9493,37.5936,6.4988,0.2
2025-12-31,285.25,210662526.0,85622.3041,39.5631,6.8393,0.2
2026-01-31,236.15,200744796.0,70884.1617,32.7531,5.662,0.2
2026-02-28,310.14,193928120.0,93093.4318,43.0153,7.4361,0.2
2026-03-31,294.05,15583075.0,88263.7598,40.7836,7.0503,0.2
