HAVL IN Equity,price,volume,mc,pe,bm,div
2009-01-31,11.61,14070780.0,6721.1518,3.9798,0.9846,0.25
2009-02-28,10.61,9434890.0,6144.8876,3.6385,0.9002,0.25
2009-03-31,14.43,25246980.0,8685.3085,4.856,1.4359,0.25
2009-04-30,15.19,10766400.0,9142.5884,4.856,1.5115,0.25
2009-05-31,27.18,252572590.0,16350.7626,4.856,2.7033,0.25
2009-06-30,25.91,36439640.0,15586.624,4.856,2.5769,0.25
2009-07-31,29.97,53222210.0,18032.4694,4.856,2.9813,0.25
2009-08-31,29.69,19738670.0,17863.9979,4.856,2.9535,0.25
2009-09-30,31.28,67853240.0,18820.6755,4.856,3.1116,0.25
2009-10-31,30.41,72925210.0,18297.2104,4.856,3.0251,0.25
2009-11-30,36.67,47394840.0,22063.7522,4.856,3.6478,0.25
2009-12-31,51.47,365370470.0,30965.667,4.856,5.1196,0.25
2010-01-31,55.34,347294470.0,33294.184,4.856,5.5045,0.25
2010-02-28,51.88,160056230.0,31215.3658,4.856,5.1608,0.25
2010-03-31,59.73,190203020.0,35935.5768,107.2262,8.9792,0.25
2010-04-30,61.33,175853550.0,36898.2712,110.0987,9.2197,0.25
2010-05-31,56.86,48180640.0,34211.7521,102.0826,8.5485,0.25
2010-06-30,62.8,178771540.0,37788.7635,112.7558,9.4422,0.25
2010-07-31,65.96,99480070.0,39687.0765,118.4201,9.9166,0.25
2010-08-31,79.27,191426910.0,47695.4905,142.316,11.9176,0.25
2010-09-30,80.16,53619570.0,50006.6217,143.9048,12.0507,0.375
2010-10-31,82.88,56792810.0,51706.6784,148.7971,12.4604,0.375
2010-11-30,76.37,28673130.0,47645.2586,137.1095,11.4816,0.375
2010-12-31,79.26,29644350.0,49448.2545,142.298,11.9161,0.375
2011-01-31,69.12,13395750.0,43122.172,124.0934,10.3916,0.375
2011-02-28,63.4,20698135.0,39553.6126,113.8241,9.5317,0.375
2011-03-31,74.14,41284620.0,46254.0195,15.2363,7.0753,0.375
