CLGT IN Equity,price,volume,mc,pe,bm,div
2011-06-30,491.18,5526310.0,133592.7198,33.1875,34.7849,10.0
2011-07-31,487.95,4615244.0,132715.565,32.9696,34.5565,10.0
2011-08-31,475.53,3357020.0,129336.1391,32.1301,33.6766,10.0
2011-09-30,491.38,3754368.0,133647.117,33.201,34.7991,10.0
2011-10-31,501.08,2174302.0,136285.3812,33.8564,35.486,10.0
2011-11-30,500.73,4290646.0,136190.1861,33.8328,35.4612,10.0
2011-12-31,495.28,2470238.0,134707.8624,33.4645,35.0753,12.0
2012-01-31,501.65,6138182.0,136441.7731,33.8953,35.5267,12.0
2012-02-29,524.28,3805048.0,142595.4647,35.424,37.129,12.0
2012-03-31,559.13,4034074.0,152073.9462,34.0618,34.9283,12.5
2012-04-30,554.47,2126888.0,150809.2047,33.7786,34.6378,12.5
2012-05-31,602.05,4741298.0,163748.9279,36.6768,37.6098,12.5
2012-06-30,598.63,4215662.0,162817.3772,36.4682,37.3959,12.5
2012-07-31,579.13,2874380.0,157513.6581,35.2802,36.1777,12.5
2012-08-31,603.63,2899284.0,164177.3052,36.7728,37.7082,8.5
2012-09-30,603.5,3060244.0,164143.307,36.7652,37.7004,8.5
2012-10-31,642.8,3634690.0,174832.3409,39.1593,40.1554,15.0
2012-11-30,720.53,4772174.0,195972.4298,43.8943,45.0109,15.0
2012-12-31,783.55,5507436.0,213114.3135,47.7338,48.948,13.5
2013-01-31,675.05,7947404.0,183603.8764,41.124,42.1701,13.5
2013-02-28,636.1,5483932.0,173010.0289,38.7511,39.7369,13.5
2013-03-31,620.83,4177264.0,168855.4575,33.9899,34.4891,13.5
2013-04-30,735.72,3808864.0,200106.5939,40.2806,40.8722,14.0
2013-05-31,725.03,5823640.0,197196.365,39.6948,40.2777,14.0
2013-06-30,678.45,5063602.0,184528.6688,37.1448,37.6903,14.0
2013-07-31,687.95,4985074.0,187112.5326,37.6649,38.2181,14.0
2013-08-31,601.65,4846686.0,163640.1789,32.9401,33.4238,14.0
2013-09-30,619.95,8080538.0,168617.5079,33.942,34.4405,14.0
2013-10-31,619.53,7012914.0,168501.9225,33.9187,34.4168,14.0
2013-11-30,631.5,3310298.0,171758.9422,34.5743,35.0821,12.0
2013-12-31,676.68,5146844.0,184045.8943,37.0476,37.5917,13.5
2014-01-31,649.9,4225098.0,176763.4868,35.5817,36.1043,13.5
2014-02-28,656.78,2201308.0,178633.3882,35.9581,36.4862,13.5
2014-03-31,686.25,2929856.0,186650.1569,34.5718,31.1147,13.5
