APR IN Equity,price,volume,mc,pe,bm,div
2021-05-31,533.75,2679458.0,20425.8754,12.7265,1.4595,0.0
2021-06-30,516.5,1645484.0,19765.7417,12.3152,1.4123,0.0
2021-07-31,649.2,6641908.0,24843.9875,15.4793,1.7752,0.0
2021-08-31,656.85,4428647.0,25136.7424,15.6617,1.7961,9.5
2021-09-30,644.55,1683605.0,24666.0384,15.3684,1.7625,9.5
2021-10-31,676.85,3126174.0,25902.1148,16.1385,1.8508,9.5
2021-11-30,677.5,1769481.0,25926.9894,16.154,1.8526,9.5
2021-12-31,779.9,4808766.0,29845.696,18.5956,2.1326,9.5
2022-01-31,698.6,2757221.0,26734.4572,16.6571,1.9103,9.5
2022-02-28,629.05,1884891.0,24072.8748,14.9988,1.7201,9.5
2022-03-31,649.25,944653.0,24845.9009,9.6773,1.4485,9.5
2022-04-30,669.75,1092776.0,25630.4076,9.9829,1.4943,9.5
2022-05-31,723.55,1994740.0,27689.2593,10.7848,1.6143,9.5
2022-06-30,926.0,15827300.0,35436.7412,13.8024,2.066,9.5
2022-07-31,1123.6,8882016.0,42998.6203,16.7477,2.5069,9.5
2022-08-31,1335.1,5367354.0,51092.4332,19.9001,2.9788,15.0
2022-09-30,1297.55,2572675.0,49655.4466,19.3404,2.895,15.0
2022-10-31,1502.85,1974584.0,57511.9941,22.4005,3.353,15.0
2022-11-30,1467.8,3196092.0,56170.679,21.8781,3.2748,15.0
2022-12-31,1793.1,4115809.0,68619.4607,26.7268,4.0006,15.0
2023-01-31,1686.8,3944108.0,64551.5065,25.1423,3.7634,15.0
2023-02-28,2299.7,6060691.0,88006.3431,34.2778,5.1309,15.0
2023-03-31,2504.9,2878039.0,95859.0637,15.0318,4.2863,15.0
2023-04-30,2811.55,3635964.0,107594.1357,16.872,4.8111,15.0
2023-05-31,2779.35,4377866.0,106361.8862,16.6788,4.756,15.0
2023-06-30,3470.05,2299279.0,132794.0214,20.8236,5.9379,15.0
2023-07-31,3782.3,2259971.0,144743.3976,22.6974,6.4722,15.0
2023-08-31,5008.45,4326536.0,191666.4648,30.0555,8.5704,40.0
2023-09-30,5477.55,5188530.0,209618.274,32.8706,9.3731,40.0
2023-10-31,5179.45,2878210.0,198210.3987,31.0817,8.863,40.0
2023-11-30,5581.4,2442783.0,213592.4701,33.4938,9.5508,40.0
2023-12-31,6053.4,3083992.0,243154.878,36.3262,10.3584,40.0
2024-01-31,6321.3,3799351.0,253915.9696,37.9339,10.8169,40.0
2024-02-29,6253.65,2161954.0,251198.5831,37.5279,10.7011,40.0
2024-03-31,6978.9,3780747.0,280330.6536,32.3682,7.2317,40.0
2024-04-30,7880.1,2519667.0,316530.339,36.5479,8.1655,40.0
2024-05-31,7907.65,3313633.0,317636.9761,36.6757,8.1941,40.0
2024-06-30,8473.45,2399291.0,340364.2087,39.2999,8.7804,40.0
2024-07-31,9229.4,3830401.0,370729.4465,42.806,9.5637,40.0
2024-08-31,9163.5,2749398.0,368082.3545,42.5003,9.4954,51.0
2024-09-30,9528.6,3449928.0,382747.8063,44.1937,9.8737,51.0
2024-10-31,10062.35,2457418.0,404187.6444,46.6692,10.4268,51.0
2024-11-30,10101.35,2268474.0,405754.2087,46.8501,10.4672,51.0
2024-12-31,10317.6,1459161.0,414440.6068,47.8531,10.6913,51.0
2025-01-31,7491.95,4598216.0,300939.0076,34.7477,7.7633,51.0
2025-02-28,5797.4,3571525.0,232871.7894,26.8884,6.0074,51.0
2025-03-31,5539.95,4826687.0,222530.4567,27.0942,4.9412,51.0
2025-04-30,5603.0,2925794.0,225063.0689,27.4026,4.9975,51.0
2025-05-31,8114.0,4157337.0,325925.7079,39.6831,7.2371,51.0
2025-06-30,8721.5,2119707.0,350327.9593,42.6542,7.7789,51.0
2025-07-31,8907.5,3398495.0,357799.2659,43.5638,7.9448,51.0
2025-08-31,7732.0,1443915.0,310581.4116,37.8148,6.8964,51.0
2025-09-30,8186.0,1582874.0,328817.8266,40.0352,7.3013,51.0
2025-10-31,8671.0,2486866.0,348299.4594,42.4072,7.7339,51.0
2025-11-30,9159.5,1778729.0,367921.6812,44.7963,8.1696,51.0
2025-12-31,8367.5,1000546.0,336108.3758,40.9229,7.4632,51.0
2026-01-31,7994.0,1584947.0,321105.5101,39.0962,7.1301,51.0
2026-02-28,11180.5,3628483.0,449101.8459,54.6804,9.9722,51.0
2026-03-31,10419.0,495241.0,418513.674,50.9561,9.293,51.0
