BJAUT IN Equity,price,volume,mc,pe,bm,div
2024-05-31,9084.75,9679260.0,2536278.288,33.3178,8.7596,140.0
2024-06-30,9501.65,7204363.0,2652668.329,34.8468,9.1616,80.0
2024-07-31,9664.2,8667311.0,2698048.998,35.4429,9.3183,80.0
2024-08-31,10891.55,7273606.0,3040700.272,39.9442,10.5017,80.0
2024-09-30,12345.95,11324201.0,3447700.466,45.2781,11.9041,80.0
2024-10-31,9836.3,18492963.0,2746861.61,36.0741,9.4842,80.0
2024-11-30,9033.65,10159751.0,2522715.491,33.1304,8.7103,80.0
2024-12-31,8798.6,10821708.0,2457075.99,32.2684,8.4837,80.0
2025-01-31,8847.8,9409632.0,2470815.464,32.4488,8.5311,80.0
2025-02-28,7902.9,6854432.0,2206944.95,28.9835,7.62,80.0
2025-03-31,7878.85,11470049.0,2200228.805,30.0218,6.2527,80.0
2025-04-30,8030.0,6976763.0,2242438.592,30.5977,6.3726,80.0
2025-05-31,8607.0,10380296.0,2403570.232,32.7963,6.8305,80.0
2025-06-30,8376.0,8289784.0,2339061.725,31.9161,6.6472,210.0
2025-07-31,8008.0,6505338.0,2236294.925,30.5139,6.3551,210.0
2025-08-31,8631.5,8584312.0,2410412.044,32.8897,6.85,210.0
2025-09-30,8678.5,9391558.0,2423537.151,33.0688,6.8873,210.0
2025-10-31,8892.5,7581672.0,2483298.279,33.8842,7.0571,210.0
2025-11-30,9073.5,8249846.0,2533843.906,34.5739,7.2007,210.0
2025-12-31,9343.0,7020681.0,2609103.832,35.6008,7.4146,210.0
2026-01-31,9597.5,7618600.0,2682480.5,36.5706,7.6166,210.0
2026-02-28,9972.5,5815653.0,2787292.19,37.9995,7.9142,210.0
2026-03-31,9789.0,961698.0,2736004.336,37.3003,7.7685,210.0
