YES IN Equity,price,volume,mc,pe,bm,div
2022-12-31,20.6,11549936948.0,592306.1491,57.2222,1.4762,0.0
2023-01-31,17.25,4944476904.0,496013.3238,47.9167,1.2361,0.0
2023-02-28,17.45,2720839218.0,501764.2029,48.4722,1.2504,0.0
2023-03-31,15.05,4744487773.0,432759.3688,53.75,1.0628,0.0
2023-04-30,15.7,2154090985.0,451454.1458,56.0714,1.1087,0.0
2023-05-31,16.2,1997230075.0,465836.089,57.8571,1.144,0.0
2023-06-30,16.25,1962306156.0,467279.6397,60.1852,1.1358,0.0
2023-07-31,16.95,3987498331.0,487412.1471,62.7778,1.1847,0.0
2023-08-31,16.8,2133020262.0,483114.3907,62.2222,1.1742,0.0
2023-09-30,17.25,5765890319.0,496075.7652,59.4828,1.1975,0.0
2023-10-31,15.95,2631070716.0,458699.416,55.0,1.1072,0.0
2023-11-30,19.35,6736063040.0,556497.8753,66.7241,1.3433,0.0
2023-12-31,21.45,6759336044.0,616935.7686,61.2857,1.4798,0.0
2024-01-31,24.1,9511424398.0,693196.3467,68.8571,1.6626,0.0
2024-02-29,24.45,13860418856.0,703330.9933,69.8571,1.6868,0.0
2024-03-31,23.2,5619079940.0,667414.8649,52.7273,1.5832,0.0
2024-04-30,26.15,5421285899.0,785801.2912,59.4318,1.7845,0.0
2024-05-31,23.0,5542264457.0,720581.8001,52.2727,1.5696,0.0
2024-06-30,23.69,3592659444.0,742341.826,48.3469,1.6254,0.0
2024-07-31,26.51,7319945673.0,830806.0381,54.102,1.8188,0.0
2024-08-31,23.61,3251385188.0,739921.9373,48.1837,1.6199,0.0
2024-09-30,22.48,2157895789.0,704677.9806,38.1017,1.5173,0.0
2024-10-31,20.4,2103355045.0,639507.353,34.5763,1.3769,0.0
2024-11-30,19.96,1606854069.0,625743.7259,33.8305,1.3472,0.0
2024-12-31,19.59,2133836213.0,614144.268,27.5915,1.3071,0.0
2025-01-31,19.23,2479389562.0,602915.6769,27.0845,1.2831,0.0
2025-02-28,16.75,1516821270.0,525175.1222,23.5915,1.1176,0.0
2025-03-31,16.88,2041421036.0,529257.4666,21.3671,1.1065,0.0
2025-04-30,17.72,1888345593.0,555594.9235,22.4304,1.1615,0.0
2025-05-31,21.48,4479465621.0,673630.7983,27.1899,1.408,0.0
2025-06-30,20.34,4792691353.0,637916.7671,23.1136,1.3099,0.0
2025-07-31,18.92,1755987856.0,593494.0966,21.5,1.2185,0.0
2025-08-31,19.1,1490173921.0,599158.0303,21.7045,1.2301,0.0
2025-09-30,21.25,2306699433.0,666630.7875,23.3516,1.3531,0.0
2025-10-31,22.74,3320757714.0,713463.7139,24.989,1.448,0.0
2025-11-30,22.93,1734037266.0,719461.9059,25.1978,1.4601,0.0
2025-12-31,21.6,1866899426.0,677755.0714,21.3861,1.3496,0.0
2026-01-31,21.41,2801779376.0,671823.778,21.198,1.3377,0.0
2026-02-28,20.72,1644361684.0,650181.5653,20.5149,1.2946,0.0
2026-03-31,20.21,345434560.0,634178.0328,20.0099,1.2627,0.0
