REDI IN Equity,price,volume,mc,pe,bm,div
2017-09-30,78.08,25341672.0,62436.3354,13.4496,1.9834,2.15
2017-10-31,78.85,13241386.0,63056.1005,13.5831,2.0031,2.15
2017-11-30,95.03,22325264.0,76034.7224,16.3695,2.414,2.15
2017-12-31,87.3,9278994.0,69870.1501,15.0388,2.2178,2.15
2018-01-31,89.25,20780474.0,71430.8236,15.3747,2.2673,2.15
2018-02-28,72.03,19251398.0,57644.8753,12.4074,1.8297,1.15
2018-03-31,73.4,18212128.0,58745.3502,12.1927,1.6639,1.15
2018-04-30,69.2,4103754.0,55383.8996,11.495,1.5687,1.15
2018-05-31,59.55,7379218.0,47660.5668,9.892,1.3499,1.15
2018-06-30,54.73,23428172.0,43798.9004,9.0905,1.2406,1.15
2018-07-31,54.0,18336860.0,43218.65,8.9701,1.2241,1.2
2018-08-31,52.53,27286260.0,42038.1406,8.7251,1.1907,1.2
2018-09-30,46.95,42070262.0,37576.2151,7.799,1.0643,1.2
2018-10-31,41.45,15832714.0,33174.3156,6.8854,0.9396,1.2
2018-11-30,45.6,20182954.0,36495.7489,7.5748,1.0337,1.2
2018-12-31,44.33,12998792.0,35475.3085,7.363,1.0048,1.2
2019-01-31,36.7,21768578.0,29374.7765,6.0963,0.832,1.2
2019-02-28,42.33,31914122.0,32935.7333,7.0307,0.9595,1.2
2019-03-31,51.28,19104598.0,39900.2889,8.0117,1.0215,1.2
2019-04-30,50.88,17173396.0,39589.0238,7.9492,1.0135,1.2
2019-05-31,50.08,17493416.0,38966.4937,7.8242,0.9976,1.2
2019-06-30,54.48,11180426.0,42390.4093,8.5117,1.0853,1.2
2019-07-31,53.85,11283114.0,41904.0576,8.4141,1.0728,1.65
2019-08-31,54.25,55868288.0,42215.3227,8.4766,1.0808,1.65
2019-09-30,58.73,8638276.0,45697.6004,9.1758,1.1699,1.65
2019-10-31,59.43,8230280.0,46242.3143,9.2852,1.1839,1.65
2019-11-30,57.18,14702890.0,44491.4484,8.9336,1.1391,1.65
2019-12-31,58.9,8491304.0,45834.537,9.2031,1.1734,2.4
2020-01-31,57.45,24226252.0,44706.1825,8.9766,1.1445,2.4
2020-02-29,54.98,12898794.0,42780.1981,8.5898,1.0952,2.4
2020-03-31,34.3,15041344.0,26691.4197,5.1813,0.6195,3.8
2020-04-30,37.13,15016390.0,28889.7654,5.608,0.6705,3.8
