KPIL IN Equity,price,volume,mc,pe,bm,div
2023-02-28,530.0,6119299.0,86096.4606,14.6086,1.8446,6.5
2023-03-31,534.25,9922181.0,86786.8567,18.3844,1.8385,6.5
2023-04-30,539.95,4617171.0,87712.7998,18.5805,1.8581,6.5
2023-05-31,537.1,20395238.0,87249.8282,18.4825,1.8483,6.5
2023-06-30,536.55,6400657.0,87160.4829,18.4635,1.8464,6.5
2023-07-31,634.1,8100368.0,103007.105,21.8204,2.1821,7.0
2023-08-31,660.45,7326280.0,107287.5611,22.7271,2.2727,7.0
2023-09-30,631.55,3359550.0,102592.8673,21.7326,2.1733,7.0
2023-10-31,663.1,8438095.0,107718.0434,22.8183,2.2819,7.0
2023-11-30,663.25,8860782.0,107742.4103,22.8235,2.2824,7.0
2023-12-31,709.2,11022527.0,115206.811,24.4047,2.4405,7.0
2024-01-31,795.3,6372457.0,129193.4247,27.3675,2.7368,7.0
2024-02-29,966.2,10899462.0,156955.4721,33.2485,3.3249,7.0
2024-03-31,1069.85,11276312.0,173793.0157,33.5692,3.3825,7.0
2024-04-30,1225.65,8832852.0,199102.1262,38.4578,3.8751,7.0
2024-05-31,1195.1,5718038.0,194139.3963,37.4992,3.7785,7.0
2024-06-30,1175.7,24073312.0,190987.9409,36.8905,3.7172,8.0
2024-07-31,1370.95,15650672.0,222705.5521,43.0169,4.3345,8.0
2024-08-31,1347.55,5774263.0,218904.3121,42.2827,4.2605,8.0
2024-09-30,1367.25,5561494.0,222104.5013,42.9008,4.3228,8.0
2024-10-31,1274.15,6652061.0,206980.7646,39.9796,4.0284,8.0
2024-11-30,1140.05,3576810.0,185196.7356,35.7719,3.6045,8.0
2024-12-31,1297.2,10346074.0,221526.1467,40.7029,4.1013,8.0
2025-01-31,1058.65,6784960.0,180788.3558,33.2178,3.3471,8.0
2025-02-28,879.15,10427145.0,150134.6838,27.5855,2.7796,8.0
2025-03-31,974.5,20503158.0,166417.8461,28.4135,2.555,8.0
2025-04-30,972.1,5069328.0,166007.992,28.3435,2.5487,8.0
2025-05-31,1138.75,7211541.0,194467.2368,33.2025,2.9857,8.0
2025-06-30,1227.2,6759357.0,209572.0685,35.7815,3.2176,9.0
2025-07-31,1147.4,5995225.0,195944.4193,33.4547,3.0084,9.0
2025-08-31,1249.0,11960466.0,213294.91,36.4171,3.2747,9.0
2025-09-30,1254.8,4126942.0,214285.3907,36.5862,3.29,9.0
2025-10-31,1256.4,3450839.0,214558.6268,36.6329,3.2941,9.0
2025-11-30,1199.7,4284775.0,204875.8234,34.9797,3.1455,9.0
2025-12-31,1202.4,3494554.0,205336.9093,35.0584,3.1526,9.0
2026-01-31,1144.0,2282934.0,195363.7926,33.3556,2.9994,9.0
2026-02-28,1240.1,4390199.0,211775.0343,36.1576,3.2514,9.0
2026-03-31,1136.4,749552.0,194065.9254,33.134,2.9795,9.0
