ADSEZ IN Equity,price,volume,mc,pe,bm,div
2017-11-30,398.0,96686858.0,824238.7997,21.0693,4.7479,1.3
2017-12-31,405.65,91823075.0,840081.5806,21.4743,4.8392,1.3
2018-01-31,428.85,97158215.0,888127.6614,22.7025,5.1159,1.3
2018-02-28,408.35,52335419.0,845673.1516,21.6173,4.8714,1.3
2018-03-31,354.1,83616418.0,733324.0186,19.9605,3.5082,1.3
2018-04-30,407.3,75635372.0,843498.6523,22.9594,4.0353,1.3
2018-05-31,392.15,79396155.0,812123.7331,22.1054,3.8852,1.3
2018-06-30,373.15,158135281.0,772775.6496,21.0344,3.697,1.3
2018-07-31,399.75,50922408.0,827862.9665,22.5338,3.9605,2.0
2018-08-31,383.15,61842708.0,793485.1672,21.5981,3.796,2.0
2018-09-30,328.9,62074118.0,681136.0342,18.54,3.2586,2.0
2018-10-31,318.85,102018839.0,660322.969,17.9735,3.159,2.0
2018-11-30,365.65,88262677.0,757243.5114,20.6116,3.6227,2.0
2018-12-31,387.7,81716849.0,802907.9977,21.8546,3.8411,2.0
2019-01-31,338.65,91994492.0,701327.8139,19.0896,3.3552,2.0
2019-02-28,325.85,146673867.0,674819.6313,18.3681,3.2283,2.0
2019-03-31,378.15,73375461.0,783130.4084,19.6238,3.2132,2.0
2019-04-30,392.8,49059345.0,813469.8517,20.384,3.3377,2.0
2019-05-31,416.4,124977580.0,862344.3133,21.6087,3.5382,2.0
2019-06-30,410.2,78766249.0,849504.4124,21.287,3.4855,2.0
2019-07-31,377.55,51845031.0,781887.8374,19.5926,3.2081,0.2
2019-08-31,365.7,57543547.0,757347.059,18.9777,3.1074,0.2
2019-09-30,413.95,63946580.0,857270.4815,21.4816,3.5174,0.2
2019-10-31,395.8,67042047.0,819682.707,20.5397,3.3632,0.2
2019-11-30,382.05,121341015.0,791207.1203,19.8262,3.2463,0.2
2019-12-31,366.0,79525360.0,743621.1445,18.9933,3.11,0.2
2020-01-31,369.4,84085162.0,750529.1005,19.1697,3.1388,0.2
2020-02-29,342.2,50273229.0,695265.4526,17.7582,2.9077,0.2
2020-03-31,251.3,158105048.0,510579.2175,13.6948,2.0057,3.2
2020-04-30,290.1,81188980.0,589411.1859,15.8093,2.3153,3.2
2020-05-31,323.8,117474246.0,657881.2202,17.6458,2.5843,3.2
2020-06-30,343.9,77897687.0,698719.4306,18.7411,2.7447,3.2
2020-07-31,315.2,84449718.0,640408.1551,17.1771,2.5157,3.2
2020-08-31,355.75,108698762.0,722795.689,19.3869,2.8393,3.2
2020-09-30,341.75,103989763.0,694351.1643,18.624,2.7275,3.2
2020-10-31,359.85,99763857.0,731125.8701,19.6104,2.872,3.2
2020-11-30,411.55,241459717.0,836167.436,22.4278,3.2846,3.2
2020-12-31,483.75,182702133.0,982859.9129,26.3624,3.8609,3.2
2021-01-31,509.7,159200504.0,1035583.871,27.7766,4.068,3.2
2021-02-28,675.9,293673548.0,1373261.013,36.8338,5.3944,3.2
2021-03-31,702.4,323277268.0,1427102.435,28.5761,4.688,3.2
2021-04-30,730.05,579964421.0,1483280.371,29.701,4.8725,3.2
2021-05-31,769.55,276678760.0,1571230.065,31.308,5.1362,0.0
2021-06-30,703.7,730447972.0,1436780.712,28.629,4.6967,5.0
2021-07-31,674.5,228783722.0,1377161.563,27.441,4.5018,5.0
2021-08-31,748.3,208853453.0,1527842.843,30.4434,4.9943,5.0
2021-09-30,737.9,105771629.0,1506608.624,30.0203,4.9249,5.0
2021-10-31,693.0,124450679.0,1414933.97,28.1937,4.6252,5.0
2021-11-30,683.85,85340275.0,1396251.942,27.8214,4.5642,5.0
2021-12-31,730.3,112552612.0,1491091.311,29.7111,4.8742,5.0
2022-01-31,716.3,101588401.0,1462506.786,29.1416,4.7808,5.0
2022-02-28,707.5,94439452.0,1444539.371,28.7836,4.722,5.0
