CIFC IN Equity,price,volume,mc,pe,bm,div
2006-01-31,36.57,9524031.0,7606.3757,24.6256,2.6368,0.9121
2006-02-28,36.72,4218311.0,7638.6302,24.7301,2.648,0.9121
2006-03-31,40.02,3300315.0,8323.5645,22.707,2.8526,0.9121
2006-04-30,33.82,1792122.0,6951.7986,19.1925,2.8526,0.9121
2006-05-31,28.69,4861856.0,5967.0869,16.2785,2.8526,0.9121
2006-06-30,26.88,1331091.0,5591.4166,15.2536,2.8526,0.9121
2006-07-31,22.58,524943.0,4695.8792,12.8106,2.8526,0.9121
2006-08-31,26.54,737961.0,5521.2156,15.0621,2.8526,0.9121
2006-09-30,26.83,1207468.0,5581.93,15.2277,2.8526,0.9121
2006-10-31,28.31,885199.0,5889.2966,16.0663,2.8526,0.9121
2006-11-30,26.71,1757270.0,5555.3674,15.1553,2.8526,0.9121
2006-12-31,25.42,2009559.0,5287.8446,14.4255,2.8526,0.9121
2007-01-31,26.45,1366036.0,5502.2423,15.0104,2.8526,0.9121
2007-02-28,20.91,788798.0,4348.6688,11.8634,2.8526,0.9121
2007-03-31,19.95,1617087.0,4149.4497,15.1522,1.3434,0.9121
2007-04-30,22.6,1504778.0,4701.5712,17.1683,1.5222,0.9121
2007-05-31,24.54,1696703.0,5103.8041,18.6371,1.6524,0.9121
2007-06-30,32.14,8290393.0,6686.1731,24.4154,2.1647,0.9121
2007-07-31,36.93,6725235.0,7682.2687,28.0527,2.4873,0.7297
2007-08-31,34.15,2185779.0,7103.5846,25.9396,2.2999,0.7297
2007-09-30,32.17,3370037.0,8392.5094,24.4356,2.1665,0.7297
2007-10-31,42.58,5148585.0,11108.2701,32.3428,2.8676,0.7297
2007-11-30,40.59,4584970.0,10589.1189,30.8312,2.7336,0.7297
2007-12-31,67.21,11781185.0,17533.7444,51.0511,4.5264,0.7297
2008-01-31,50.41,4514985.0,13150.9605,38.2902,3.3949,0.7297
2008-02-29,42.52,1281455.0,11092.6173,32.2972,2.8636,0.7297
2008-03-31,32.23,4875515.0,8408.1622,15.7066,1.5933,0.7297
2008-04-30,36.22,1540840.0,9449.0734,17.6511,1.7905,0.7297
2008-05-31,28.91,1485555.0,7542.0406,14.0887,1.4292,0.7297
2008-06-30,23.75,1219905.0,6195.8998,11.5741,1.1741,0.7297
2008-07-31,19.98,2922090.0,5212.3823,9.7368,0.9877,0.8
2008-08-31,20.0,5635715.0,5217.5999,9.7466,0.9887,0.8
2008-09-30,12.99,2440645.0,3388.8571,6.3304,0.6422,0.8
2008-10-31,7.34,2119955.0,1914.8592,3.577,0.3629,0.8
2008-11-30,6.0,1205485.0,1565.28,2.924,0.2966,0.8
2008-12-31,8.52,1684150.0,2222.6975,4.152,0.4212,0.8
2009-01-31,6.82,2312670.0,1779.2016,3.3236,0.3371,0.8
2009-02-28,4.37,5071225.0,1140.0456,2.1296,0.216,0.8
2009-03-31,5.11,2561565.0,1333.0968,2.5049,0.4104,0.8
2009-04-30,8.4,7988410.0,2191.3919,2.5049,0.6746,0.8
2009-05-31,12.18,5120410.0,3177.5183,2.5049,0.9781,0.8
2009-06-30,13.5,8615000.0,3521.8799,2.5049,1.0841,0.8
2009-07-31,11.6,4198045.0,3026.2079,2.5049,0.9316,0.8
2009-08-31,11.68,2849950.0,3047.0783,2.5049,0.938,0.0
2009-09-30,14.05,11319225.0,3665.3639,2.5049,1.1283,0.0
2009-10-31,10.94,5018780.0,2854.0271,2.5049,0.8785,0.0
2009-11-30,11.13,3317255.0,2903.5943,2.5049,0.8938,0.0
