ONGC IN Equity,price,volume,mc,pe,bm,div
2012-03-31,178.9,142513311.0,2295865.804,8.1565,1.6827,5.6667
2012-04-30,180.03,62954939.0,2310410.138,8.2082,1.6934,5.6667
2012-05-31,168.8,86235629.0,2166250.127,7.696,1.5877,5.6667
2012-06-30,189.9,95122497.0,2437031.393,8.6581,1.7862,5.6667
2012-07-31,190.7,90033777.0,2447297.982,8.6945,1.7937,5.6667
2012-08-31,183.93,79024248.0,2360459.756,8.386,1.73,5.1667
2012-09-30,187.23,112939583.0,2402809.432,8.5365,1.7611,6.5
2012-10-31,179.0,77845701.0,2297149.128,8.1611,1.6836,6.5
2012-11-30,176.63,98263497.0,2266777.138,8.0532,1.6614,6.5
2012-12-31,178.67,102026795.0,2292871.383,8.1459,1.6805,9.8333
2013-01-31,226.47,238788087.0,2906300.033,10.3252,2.1301,5.6667
2013-02-28,208.97,123639860.0,2681718.414,9.5274,1.9655,5.6667
2013-03-31,207.6,117210867.0,2664179.659,10.9996,1.7467,7.3333
2013-04-30,217.8,109159490.0,2795078.66,11.5401,1.8325,7.3333
2013-05-31,218.6,129684210.0,2805345.248,11.5825,1.8392,7.3333
2013-06-30,220.73,128069523.0,2832722.817,11.6955,1.8572,7.3333
2013-07-31,193.8,133017306.0,2487081.011,10.2685,1.6306,7.3333
2013-08-31,166.1,180372231.0,2131600.392,8.8008,1.3975,7.3333
2013-09-30,178.57,136090826.0,2291588.059,9.4613,1.5024,6.3333
2013-10-31,195.8,95067759.0,2512747.482,10.3744,1.6474,6.3333
2013-11-30,199.4,84772653.0,2558947.129,10.5652,1.6777,6.3333
2013-12-31,192.6,97800894.0,2471681.129,10.2049,1.6205,6.3333
2014-01-31,183.7,108084683.0,2357465.334,9.7333,1.5456,6.3333
2014-02-28,194.23,81257706.0,2492642.08,10.2914,1.6342,6.3333
2014-03-31,212.47,155885862.0,2726634.738,10.2873,1.5839,8.5
2014-04-30,216.73,140937267.0,2781389.875,10.4939,1.6157,8.5
2014-05-31,252.1,196806725.0,3235258.632,12.2063,1.8793,8.5
2014-06-30,283.23,341852052.0,3634800.026,13.7137,2.1114,8.5
2014-07-31,263.57,192343985.0,3382413.064,12.7615,1.9648,8.5
2014-08-31,290.0,171170973.0,3721638.252,14.0413,2.1618,8.5
2014-09-30,272.37,152140931.0,3495345.535,13.1875,2.0304,4.5
2014-10-31,270.1,141105548.0,3466256.869,13.0778,2.0135,4.5
2014-11-30,252.93,126245958.0,3245952.995,12.2466,1.8855,4.5
2014-12-31,227.57,161831642.0,2920416.592,11.0184,1.6964,6.3333
2015-01-31,234.23,154558860.0,3005971.494,11.3412,1.7461,6.3333
2015-02-28,216.63,147285927.0,2780106.552,10.489,1.6149,6.3333
2015-03-31,204.23,158430774.0,2620974.433,14.2954,1.4524,6.1667
2015-04-30,202.67,123988017.0,2600869.031,14.1857,1.4413,6.1667
2015-05-31,219.9,151848909.0,2822028.454,15.392,1.5638,6.1667
2015-06-30,206.4,108012411.0,2648779.777,14.447,1.4678,6.1667
2015-07-31,181.8,130348067.0,2333082.187,12.7252,1.2929,6.1667
2015-08-31,159.53,175692558.0,2047328.813,11.1666,1.1345,6.1667
2015-09-30,152.9,141692436.0,1962201.685,10.7023,1.0874,6.3333
2015-10-31,164.63,119325285.0,2112778.313,11.5236,1.1708,6.3333
2015-11-30,156.1,97141280.0,2003268.038,10.9263,1.1101,6.0
2015-12-31,161.17,139853927.0,2068289.764,11.2809,1.1462,6.0
2016-01-31,150.83,135763031.0,1935679.666,10.5576,1.0727,6.0
2016-02-29,129.4,152851497.0,1660620.655,9.0574,0.9202,6.0
2016-03-31,142.73,241999592.0,1831730.459,21.346,0.926,3.8333
2016-04-30,144.83,123750530.0,1858680.253,21.66,0.9396,3.8333
2016-05-31,140.5,159450326.0,1803069.567,21.012,0.9115,3.8333
2016-06-30,144.2,112686045.0,1850552.538,21.5653,0.9355,3.8333
2016-07-31,146.73,186547718.0,1883063.401,21.9442,0.9519,3.8333
2016-08-31,157.53,150253550.0,2021662.342,23.5593,1.022,5.6667
2016-09-30,171.1,215287056.0,2195766.569,25.5882,1.11,5.6667
2016-10-31,192.8,206545433.0,2474247.776,28.8335,1.2508,5.6667
2016-11-30,192.6,180382622.0,2471681.129,28.8036,1.2495,5.6667
2016-12-31,191.35,182678014.0,2455639.585,28.6167,1.2414,5.6667
2017-01-31,202.55,180022938.0,2599371.821,30.2916,1.3141,5.6667
2017-02-28,193.55,153723513.0,2483872.702,28.9457,1.2557,7.4167
2017-03-31,185.0,171190794.0,2374148.54,9.7215,1.2214,7.4167
2017-04-30,186.55,111512897.0,2394040.055,9.8029,1.2316,7.4167
2017-05-31,177.0,173359510.0,2271482.657,9.3011,1.1685,7.4167
2017-06-30,157.3,160449263.0,2018667.921,8.2659,1.0385,7.4167
2017-07-31,169.4,196143019.0,2173950.069,8.9017,1.1184,7.4167
2017-08-31,156.95,143961454.0,2014176.288,8.2475,1.0362,7.4167
2017-09-30,170.95,227532656.0,2193841.583,8.9832,1.1286,6.05
2017-10-31,191.1,144171488.0,2452431.276,10.042,1.2616,6.05
2017-11-30,180.65,172761816.0,2318323.931,9.4929,1.1926,6.05
2017-12-31,195.2,142168243.0,2505047.503,10.2575,1.2887,6.05
2018-01-31,203.45,218911363.0,2610921.693,10.691,1.3432,6.05
2018-02-28,188.3,139183247.0,2416498.184,9.8949,1.2431,6.05
2018-03-31,177.8,97980256.0,2281749.215,10.3192,1.1184,6.05
2018-04-30,180.55,92258353.0,2317040.612,10.4788,1.1357,6.05
2018-05-31,177.9,193739956.0,2283032.539,10.325,1.119,6.05
2018-06-30,158.4,142958386.0,2032784.453,9.1933,0.9964,6.05
2018-07-31,165.7,151902230.0,2126467.069,9.6169,1.0423,6.05
2018-08-31,180.05,146935362.0,2310623.994,10.4498,1.1326,6.05
2018-09-30,177.2,129648313.0,2274049.274,10.2844,1.1146,6.6
2018-10-31,153.25,226675998.0,1966693.291,8.8944,0.964,6.6
2018-11-30,140.3,191562149.0,1800502.896,8.1428,0.8825,3.6
