CHOLAHLD IN Equity,price,volume,mc,pe,bm,div
2010-07-31,83.59,5487206.0,22282.9564,13.7481,1.9174,1.5
2010-08-31,88.79,6091169.0,23676.3563,14.6035,2.0367,1.5
2010-09-30,100.09,8520057.0,26690.215,16.4624,2.296,1.5
2010-10-31,104.67,5307161.0,27949.4027,17.2151,2.401,1.5
2010-11-30,92.12,5829913.0,24598.0666,15.1509,2.1131,1.5
2010-12-31,104.74,10726275.0,28002.7376,17.2265,2.4025,1.5
2011-01-31,100.26,2333467.0,26829.1713,16.4909,2.3,1.5
2011-02-28,86.47,1948889.0,23136.9133,14.2214,1.9834,1.5
2011-03-31,94.2,1566696.0,25215.0232,8.9034,1.7024,1.5
2011-04-30,97.39,2015049.0,26076.9162,9.2048,1.76,1.5
2011-05-31,92.57,843969.0,24790.0818,8.7493,1.6729,1.5
2011-06-30,94.89,3499828.0,25422.078,8.9689,1.7149,1.5
2011-07-31,110.77,4834083.0,29681.024,10.4697,2.0019,3.0
2011-08-31,96.28,2925625.0,25803.5657,9.1,1.74,3.0
2011-09-30,93.26,1565359.0,24999.4877,8.8149,1.6855,3.0
2011-10-31,96.97,1727867.0,25996.535,9.1655,1.7525,3.0
2011-11-30,88.1,2780174.0,23624.2996,8.3266,1.5921,3.0
2011-12-31,74.37,631566.0,19954.6353,7.029,1.344,3.0
2012-01-31,82.51,773563.0,22151.1484,7.799,1.4912,3.0
2012-02-29,96.97,2071102.0,26041.4396,9.1655,1.7525,4.0
2012-03-31,97.11,2940443.0,26084.7057,6.7158,1.3811,4.0
2012-04-30,97.08,574982.0,26084.1431,6.7134,1.3806,4.0
2012-05-31,97.46,1242026.0,26188.3451,6.7397,1.386,4.0
2012-06-30,100.37,3114753.0,26970.921,6.9411,1.4274,4.0
2012-07-31,113.4,5189890.0,30479.8319,7.8426,1.6128,3.0
2012-08-31,107.27,3921148.0,28830.5106,7.4183,1.5255,3.0
2012-09-30,119.99,1863161.0,32258.5627,8.2982,1.7065,3.0
2012-10-31,120.1,5253551.0,32302.7171,8.3054,1.708,3.0
2012-11-30,117.01,690038.0,31472.7685,8.092,1.6641,3.0
2012-12-31,137.64,7141744.0,37040.4374,9.5186,1.9575,3.0
2013-01-31,136.22,5275000.0,36661.0274,9.4203,1.9372,3.0
2013-02-28,107.58,1337495.0,28953.7206,7.4398,1.53,2.5
2013-03-31,114.27,3498246.0,30762.1294,7.3866,1.2857,2.5
2013-04-30,110.56,2082826.0,29766.0153,7.1468,1.244,2.5
2013-05-31,100.65,6820122.0,27096.5013,6.5059,1.1324,2.5
2013-06-30,93.61,3168725.0,25210.974,6.0509,1.0532,2.5
2013-07-31,95.83,808932.0,25808.5674,6.1944,1.0782,2.0
2013-08-31,91.29,1635023.0,24586.2884,5.9008,1.0271,2.0
2013-09-30,95.1,433740.0,25613.4405,6.1473,1.07,2.0
2013-10-31,101.93,688096.0,27455.4598,6.5888,1.1468,2.0
2013-11-30,113.09,1081830.0,30462.4863,7.3104,1.2724,2.0
2013-12-31,108.9,1091670.0,29335.5961,7.0393,1.2252,2.0
2014-01-31,119.06,2036933.0,32072.0907,7.6959,1.3395,2.0
2014-02-28,131.02,2518167.0,35297.5472,8.4691,1.4741,2.0
2014-03-31,124.88,1664950.0,33659.3863,7.4913,1.1963,2.0
2014-04-30,132.02,2039665.0,35584.3817,7.9197,1.2647,2.0
2014-05-31,183.47,7111603.0,49451.8246,11.0061,1.7575,2.0
2014-06-30,203.41,2067451.0,54831.9027,12.202,1.9485,2.0
2014-07-31,205.35,1634053.0,55363.2668,12.3185,1.9671,2.0
2014-08-31,193.87,2717958.0,52269.3547,11.6301,1.8571,2.0
2014-09-30,225.35,6124482.0,60775.5505,13.5185,2.1587,2.0
2014-10-31,242.79,3239881.0,65478.6431,14.5646,2.3257,2.0
2014-11-30,229.55,2184432.0,61906.9107,13.7701,2.1989,2.0
2014-12-31,247.06,3323353.0,66645.1549,14.8204,2.3666,2.0
2015-01-31,255.55,2522203.0,68936.4913,15.33,2.448,2.0
2015-02-28,243.62,1232387.0,65719.3163,14.6145,2.3337,2.0
2015-03-31,253.3,2690577.0,68359.1984,11.1634,1.6762,2.0
2015-04-30,253.54,1736782.0,68424.6944,11.1741,1.6778,2.0
2015-05-31,239.22,2904403.0,64568.0587,10.543,1.5831,2.0
2015-06-30,239.81,1800027.0,64727.1394,10.569,1.587,2.0
