OLECTRA IN Equity,price,volume,mc,pe,bm,div
2019-10-31,193.5,907930.0,15360.1726,122.4396,2.1107,0.0
2019-11-30,177.1,804951.0,14536.4985,122.4396,1.9318,0.0
2019-12-31,175.0,2927748.0,14364.129,122.4396,1.9089,0.0
2020-01-31,170.5,2100458.0,13994.7657,122.4396,1.8598,0.0
2020-02-29,117.6,1393242.0,9652.6947,122.4396,1.2828,0.0
2020-03-31,49.2,5195213.0,4038.3723,29.8182,0.5513,0.0
2020-04-30,70.55,1318537.0,5790.796,42.7576,0.7905,0.0
2020-05-31,57.3,727293.0,4703.2262,34.7273,0.642,0.0
2020-06-30,72.6,2779552.0,5959.0615,44.0,0.8134,0.0
2020-07-31,58.7,1680757.0,4818.1393,35.5758,0.6577,0.0
2020-08-31,67.95,3148501.0,5577.3861,41.1818,0.7613,0.0
2020-09-30,63.15,2090423.0,5183.3985,38.2727,0.7076,0.0
2020-10-31,58.9,1110456.0,4834.5554,35.697,0.6599,0.0
2020-11-30,67.95,2439880.0,5577.3861,41.1818,0.7613,0.0
2020-12-31,135.75,23440993.0,11142.46,82.2727,1.521,0.0
2021-01-31,137.8,9084867.0,11310.7256,83.5152,1.544,0.0
2021-02-28,181.3,18984321.0,14881.2376,109.8788,2.0313,0.0
2021-03-31,217.3,13856708.0,17836.1442,221.7347,2.4079,0.0
2021-04-30,181.5,7076240.0,14897.6538,185.2041,2.0112,0.0
2021-05-31,175.4,5326798.0,14396.9613,178.9796,1.9436,0.0
2021-06-30,223.6,22900801.0,18353.2528,228.1633,2.4778,0.0
2021-07-31,303.35,17692383.0,24899.1916,309.5408,3.3615,0.0
2021-08-31,297.95,8364354.0,24455.9556,304.0306,3.3016,0.0
2021-09-30,412.7,9911491.0,33874.7202,421.1224,4.5732,0.0
2021-10-31,561.1,6385751.0,46055.5015,572.551,6.2177,0.0
2021-11-30,824.05,8645353.0,67638.6313,840.8673,9.1315,0.0
2021-12-31,798.0,4386448.0,65500.4281,814.2857,8.8428,0.0
2022-01-31,840.15,5090198.0,68960.1312,857.2959,9.3099,0.0
2022-02-28,633.95,6332735.0,52035.0832,646.8878,7.0249,0.0
2022-03-31,669.55,4766919.0,54957.1575,155.348,7.0704,0.0
2022-04-30,638.85,4405129.0,52437.2788,148.2251,6.7462,0.0
2022-05-31,585.75,6310298.0,48078.7917,135.9049,6.1855,0.0
2022-06-30,587.45,11119353.0,48218.329,136.2993,6.2034,0.0
2022-07-31,638.55,5373062.0,52412.6546,148.1555,6.7431,0.0
2022-08-31,621.45,4799045.0,51009.074,144.1879,6.5625,0.0
2022-09-30,586.75,5747294.0,48160.8724,136.1369,6.1961,0.4
2022-10-31,561.25,4115038.0,46067.8136,130.2204,5.9268,0.4
2022-11-30,499.9,6842050.0,41032.1604,115.9861,5.2789,0.4
2022-12-31,494.95,5771040.0,40625.8608,114.8376,5.2266,0.4
2023-01-31,472.5,4054369.0,38783.1482,109.6288,4.9896,0.4
2023-02-28,498.2,38659763.0,40892.6232,115.5916,5.261,0.4
2023-03-31,619.25,56117808.0,50828.4964,77.5031,6.0528,0.4
2023-04-30,661.45,22473608.0,54292.3035,82.7847,6.4653,0.4
2023-05-31,734.7,29931873.0,60304.7175,91.9524,7.1813,0.4
2023-06-30,972.2,59527985.0,79798.8925,121.6771,9.5027,0.4
2023-07-31,1150.15,90695441.0,94405.1597,143.9487,11.2421,0.4
2023-08-31,1248.95,25376119.0,102514.7365,156.3141,12.2078,0.4
2023-09-30,1200.85,11525087.0,98566.653,150.2941,11.7376,0.4
2023-10-31,1139.25,7419817.0,93510.4796,142.5845,11.1355,0.4
2023-11-30,1194.25,16848709.0,98024.9202,149.4681,11.6731,0.4
2023-12-31,1346.8,28503046.0,110546.3366,168.5607,13.1642,0.4
2024-01-31,1742.05,70481805.0,142988.7479,218.0288,17.0276,0.4
2024-02-29,1966.75,58278495.0,161432.2895,246.1514,19.2239,0.4
