TTCH IN Equity,price,volume,mc,pe,bm,div
2017-07-31,273.31,14225126.0,157923.4126,7.9155,0.8804,11.0
2017-08-31,257.51,14553634.0,148790.4003,7.4577,0.8295,11.0
2017-09-30,283.56,33195907.0,163846.4959,8.2124,0.9135,11.0
2017-10-31,323.13,28110617.0,186710.8713,9.3584,1.0409,11.0
2017-11-30,320.42,21453763.0,185144.1221,9.2799,1.0322,11.0
2017-12-31,322.54,12939122.0,186366.9522,9.3412,1.039,11.0
2018-01-31,317.0,21580615.0,183169.761,9.1809,1.0212,11.0
2018-02-28,310.68,16405262.0,179514.0113,8.9977,1.0008,11.0
2018-03-31,298.55,10995797.0,172508.2136,5.8933,0.6851,11.0
2018-04-30,336.74,19577535.0,194570.1073,6.647,0.7727,11.0
2018-05-31,326.88,24274543.0,188876.3045,6.4525,0.7501,11.0
2018-06-30,307.68,12738254.0,177781.6686,6.0735,0.706,11.0
2018-07-31,303.73,12042135.0,175501.5999,5.9956,0.697,22.0
2018-08-31,334.93,19903413.0,193525.6066,6.6113,0.7686,22.0
2018-09-30,305.28,11524059.0,176393.2469,6.026,0.7005,22.0
2018-10-31,302.35,10782185.0,174699.1176,5.9681,0.6938,22.0
2018-11-30,307.5,13739596.0,177679.7661,6.07,0.7056,22.0
2018-12-31,311.58,11536454.0,180036.2617,6.1505,0.715,22.0
2019-01-31,297.3,9630886.0,171782.1583,5.8685,0.6822,22.0
2019-02-28,245.29,19757101.0,141733.6553,4.842,0.5629,22.0
2019-03-31,259.6,22151097.0,150000.4965,7.0969,0.5361,22.0
2019-04-30,254.46,13013734.0,147032.5858,6.9565,0.5255,22.0
2019-05-31,278.25,37709913.0,160776.687,7.6068,0.5746,22.0
2019-06-30,276.27,12629806.0,159630.2838,7.5525,0.5705,23.5
2019-07-31,254.29,12227693.0,146930.6833,6.9517,0.5251,12.5
2019-08-31,257.62,17994539.0,148854.0932,7.0427,0.532,12.5
2019-09-30,259.67,9934106.0,150038.7099,7.0987,0.5362,12.5
2019-10-31,276.35,11237095.0,159681.2351,7.5549,0.5707,12.5
2019-11-30,298.44,13380307.0,172444.5246,8.1588,0.6163,12.5
2019-12-31,294.12,17328390.0,169947.9131,8.0407,0.6074,12.5
2020-01-31,331.2,19949967.0,191372.916,9.0544,0.6839,12.5
2020-02-29,314.8,27861848.0,181895.9825,8.606,0.6501,12.5
2020-03-31,223.55,37764609.0,56950.7659,7.0607,0.4416,12.5
2020-04-30,282.7,47412312.0,72019.5998,8.9289,0.5584,12.5
2020-05-31,306.45,41029428.0,78070.0614,9.679,0.6053,12.5
2020-06-30,310.05,34344301.0,78987.184,9.7927,0.6124,11.0
2020-07-31,305.7,49168850.0,77878.9942,9.6553,0.6038,11.0
2020-08-31,312.5,76734586.0,79611.3369,9.8701,0.6173,11.0
2020-09-30,299.5,77145147.0,76299.5053,9.4595,0.5916,11.0
2020-10-31,322.35,59603279.0,82120.6846,10.1812,0.6367,11.0
2020-11-30,392.1,68798277.0,99889.9346,12.3842,0.7745,11.0
2020-12-31,477.4,193428494.0,121620.6447,15.0784,0.943,11.0
2021-01-31,475.3,125213520.0,121085.6566,15.012,0.9388,11.0
2021-02-28,739.5,212785268.0,188392.2639,23.3566,1.4607,11.0
2021-03-31,751.8,158275947.0,191525.766,74.7316,1.3403,11.0
2021-04-30,792.45,111634227.0,201881.6085,78.7724,1.4128,11.0
2021-05-31,703.85,122610388.0,179310.2028,69.9652,1.2548,11.0
2021-06-30,723.8,56783923.0,184392.5904,71.9483,1.2904,10.0
2021-07-31,763.15,57671756.0,194417.2536,75.8598,1.3605,10.0
2021-08-31,844.65,92462737.0,215179.8902,83.9612,1.5058,10.0
2021-09-30,919.3,69414788.0,234197.4464,91.3817,1.6389,10.0
2021-10-31,901.35,101681178.0,229624.5712,89.5974,1.6069,10.0
2021-11-30,872.25,34459197.0,222211.1635,86.7048,1.555,10.0
2021-12-31,894.2,27104747.0,227803.0638,88.8867,1.5941,10.0
2022-01-31,933.75,37916636.0,237878.6746,92.8181,1.6647,10.0
2022-02-28,841.25,30316781.0,214313.7189,83.6233,1.4997,10.0
2022-03-31,974.35,31174973.0,248221.7795,19.8159,1.3599,10.0
2022-04-30,940.15,18526729.0,239509.1148,19.1204,1.3122,10.0
2022-05-31,948.5,49387362.0,241636.3297,19.2902,1.3238,10.0
2022-06-30,793.35,23989071.0,202110.8932,16.1348,1.1073,12.5
2022-07-31,909.9,19264495.0,231802.7374,18.5052,1.27,12.5
2022-08-31,1129.55,70301029.0,287759.9538,22.9723,1.5765,12.5
2022-09-30,1104.75,49982294.0,281441.9981,22.468,1.5419,12.5
2022-10-31,1132.8,48147180.0,288587.9117,23.0384,1.5811,12.5
2022-11-30,1035.5,22110468.0,263800.1259,21.0596,1.4453,12.5
2022-12-31,937.15,23580805.0,238744.8459,19.0594,1.308,12.5
2023-01-31,973.4,14152326.0,247979.761,19.7966,1.3586,12.5
2023-02-28,975.0,23184132.0,248387.3711,19.8292,1.3608,12.5
2023-03-31,972.45,12961082.0,247737.7425,10.6093,1.2562,12.5
2023-04-30,952.7,19514152.0,242706.3061,10.3938,1.2307,12.5
2023-05-31,970.6,22564338.0,247266.4434,10.5891,1.2538,12.5
2023-06-30,1001.4,34554486.0,255112.9368,10.9252,1.2936,17.5
2023-07-31,1059.35,26363373.0,269876.0631,11.5574,1.3685,17.5
2023-08-31,1061.45,26814682.0,270411.0513,11.5803,1.3712,17.5
2023-09-30,1031.2,13540544.0,262704.6739,11.2503,1.3321,17.5
2023-10-31,959.2,13924712.0,244362.2219,10.4648,1.2391,17.5
2023-11-30,970.45,11935815.0,247228.23,10.5875,1.2536,17.5
2023-12-31,1104.1,35616690.0,281276.4065,12.0456,1.4263,17.5
2024-01-31,1028.05,22321999.0,261902.1916,11.2159,1.328,17.5
2024-02-29,939.2,24975559.0,239267.0963,10.2466,1.2133,17.5
2024-03-31,1080.9,145538252.0,275366.0609,97.6423,1.2381,17.5
2024-04-30,1072.15,55026805.0,273136.9435,96.8519,1.2281,17.5
2024-05-31,1030.15,24854839.0,262437.1798,93.0578,1.18,17.5
2024-06-30,1103.1,38534675.0,281021.6503,99.6477,1.2635,15.0
2024-07-31,1119.65,26629897.0,285237.8667,101.1427,1.2825,15.0
2024-08-31,1082.65,16425374.0,275811.8844,97.8004,1.2401,15.0
2024-09-30,1091.1,21709877.0,277964.5749,98.5637,1.2498,15.0
2024-10-31,1148.9,87685344.0,292689.4878,103.785,1.316,15.0
2024-11-30,1111.75,12866458.0,283225.2921,100.4291,1.2734,15.0
2024-12-31,1052.2,15999856.0,268054.5557,95.0497,1.2052,15.0
2025-01-31,986.1,24767016.0,251215.1657,89.0786,1.1295,15.0
2025-02-28,777.35,18504042.0,198034.7927,70.2213,0.8904,15.0
2025-03-31,864.9,16016449.0,220338.7048,109.0668,1.0207,15.0
2025-04-30,837.3,13880220.0,213307.4316,105.5864,0.9881,15.0
2025-05-31,887.15,18655104.0,226007.032,111.8726,1.047,15.0
2025-06-30,936.65,17622846.0,238617.4678,118.1148,1.1054,11.0
2025-07-31,982.55,27886717.0,250310.7809,123.9029,1.1596,11.0
2025-08-31,920.7,8050809.0,234554.1052,116.1034,1.0866,11.0
2025-09-30,919.85,16683321.0,234337.5623,115.9962,1.0856,11.0
2025-10-31,890.65,10789273.0,226898.679,112.314,1.0511,11.0
2025-11-30,800.4,7967015.0,203906.9249,100.9332,0.9446,11.0
2025-12-31,765.55,9361207.0,195028.6686,96.5385,0.9035,11.0
2026-01-31,745.65,9637001.0,189959.0187,94.029,0.88,11.0
2026-02-28,717.4,11187103.0,182762.1538,90.4666,0.8466,11.0
2026-03-31,712.3,1644167.0,181462.8937,89.8235,0.8406,11.0
