SOIL IN Equity,price,volume,mc,pe,bm,div
2020-02-29,1158.0,1466483.0,104787.4837,40.0553,8.4629,7.0
2020-03-31,914.2,1180719.0,82726.0083,30.9374,5.9949,7.0
2020-04-30,885.5,281309.0,80128.9437,29.9662,5.8067,7.0
2020-05-31,892.3,279511.0,80744.2761,30.1963,5.8513,7.0
2020-06-30,1020.2,853456.0,92317.9541,34.5245,6.69,7.0
2020-07-31,1016.0,421814.0,91937.8959,34.3824,6.6625,7.0
2020-08-31,1122.7,839011.0,101593.1847,37.9932,7.3622,7.0
2020-09-30,1034.6,942754.0,93621.0109,35.0118,6.7844,6.0
2020-10-31,1009.85,1507459.0,91381.3831,34.1743,6.6221,6.0
2020-11-30,1043.15,2254924.0,94394.7019,35.3012,6.8405,6.0
2020-12-31,1093.95,593708.0,98991.5968,37.0203,7.1736,6.0
2021-01-31,1187.05,742836.0,107416.221,40.1709,7.7841,6.0
2021-02-28,1304.75,773531.0,118066.9006,44.154,8.556,6.0
2021-03-31,1282.65,364076.0,116067.0703,41.999,7.3488,6.0
2021-04-30,1222.05,418193.0,110583.3729,40.0147,7.0016,6.0
2021-05-31,1554.4,2136327.0,140657.743,50.8972,8.9057,6.0
2021-06-30,1585.0,2063749.0,143426.7372,51.8991,9.081,6.0
2021-07-31,1704.8,1313490.0,154268.2896,55.8219,9.7674,6.0
2021-08-31,1749.45,1264457.0,158308.6927,57.2839,10.0232,6.0
2021-09-30,2118.3,3074984.0,191686.1321,69.3615,12.1365,6.0
2021-10-31,2487.05,3330141.0,225054.5224,81.4358,14.2492,6.0
2021-11-30,2767.45,3330807.0,250426.7027,90.6172,15.8557,6.0
2021-12-31,2421.55,1236920.0,219126.1927,79.2911,13.8739,6.0
2022-01-31,2308.7,1571600.0,208914.39,75.5959,13.2274,6.0
2022-02-28,2312.85,687324.0,209289.9237,75.7318,13.2511,6.0
2022-03-31,2796.5,748108.0,253055.4388,57.3406,13.2194,6.0
2022-04-30,2760.9,908777.0,249833.9928,56.6106,13.0511,6.0
2022-05-31,2620.1,1103127.0,237092.9931,53.7236,12.3855,7.5
2022-06-30,2745.3,1236538.0,248422.348,56.2908,12.9773,7.5
2022-07-31,2742.1,654365.0,248132.7798,56.2251,12.9622,7.5
2022-08-31,3331.9,1869211.0,301503.8143,68.3186,15.7502,7.5
2022-09-30,3916.8,1552829.0,354431.4474,80.3117,18.5151,7.5
2022-10-31,3901.85,1204421.0,353078.6211,80.0051,18.4445,7.5
2022-11-30,3877.75,1322705.0,350897.8108,79.511,18.3305,7.5
2022-12-31,4384.55,1196230.0,396758.1707,89.9026,20.7262,7.5
2023-01-31,4002.3,1164874.0,362168.3471,82.0648,18.9193,7.5
2023-02-28,3919.85,1257926.0,354707.4421,80.3742,18.5295,7.5
2023-03-31,3792.5,941031.0,343183.5336,45.3215,13.1471,7.5
2023-04-30,3823.8,677337.0,346015.8723,45.6955,13.2556,7.5
2023-05-31,3752.4,992051.0,339554.8824,44.8423,13.0081,7.5
2023-06-30,3740.3,1945085.0,338459.9527,44.6977,12.9661,8.0
2023-07-31,3800.55,1287612.0,343911.9785,45.4177,13.175,8.0
2023-08-31,4838.3,1805061.0,437818.0331,57.8191,16.7725,8.0
2023-09-30,4820.0,809606.0,436162.0651,57.6004,16.709,8.0
2023-10-31,5500.5,1251556.0,497740.5475,65.7326,19.068,8.0
2023-11-30,6288.9,4420977.0,569082.9069,75.1542,21.8011,8.0
2023-12-31,6727.5,2521226.0,608771.845,80.3956,23.3216,8.0
2024-01-31,6457.35,2612182.0,584325.9567,77.1672,22.3851,8.0
2024-02-29,6730.25,1753998.0,609020.6927,80.4284,23.3311,8.0
2024-03-31,8781.75,7526116.0,794661.0405,95.0612,24.0398,8.0
2024-04-30,8968.15,2671182.0,811528.3867,97.0789,24.5501,8.0
2024-05-31,9370.5,8075518.0,847937.0604,101.4343,25.6515,8.0
2024-06-30,10020.8,2781115.0,906782.7431,108.4737,27.4317,8.0
2024-07-31,10783.4,3640876.0,975790.4591,116.7287,29.5193,8.5
2024-08-31,10729.0,1309910.0,970867.8001,116.1399,29.3704,8.5
2024-09-30,11529.85,1290946.0,1043336.761,124.8089,31.5627,8.5
2024-10-31,10230.0,1017625.0,925713.2627,110.7383,28.0044,8.5
2024-11-30,10681.2,1314342.0,966542.3755,115.6224,29.2395,8.5
2024-12-31,9783.3,2079992.0,885291.3551,105.9028,26.7816,8.5
2025-01-31,10194.65,2122174.0,922514.4392,110.3556,27.9076,8.5
2025-02-28,8710.6,2618792.0,788222.6731,94.291,23.8451,8.5
2025-03-31,11244.0,2522596.0,1017470.178,84.1302,23.1963,8.5
2025-04-30,13172.0,1853695.0,1191935.005,98.5559,27.1738,8.5
2025-05-31,16104.0,5341387.0,1457251.846,120.4938,33.2225,8.5
2025-06-30,17598.0,3866020.0,1592443.988,131.6723,36.3046,8.5
2025-07-31,14220.0,3125682.0,1286768.582,106.3973,29.3358,10.0
2025-08-31,13795.0,2574368.0,1248310.309,103.2174,28.459,10.0
2025-09-30,13326.0,2838193.0,1205870.473,99.7082,27.4915,10.0
2025-10-31,13878.0,1820905.0,1255820.983,103.8384,28.6303,10.0
2025-11-30,13272.0,2312431.0,1200984.01,99.3042,27.3801,10.0
2025-12-31,12252.0,3016989.0,1108684.154,91.6723,25.2758,10.0
2026-01-31,13480.0,3512286.0,1219805.941,100.8605,27.8092,10.0
2026-02-28,13504.0,2844647.0,1221977.703,101.04,27.8587,10.0
2026-03-31,14673.0,1451656.0,1327760.577,109.7868,30.2704,10.0
