MRF IN Equity,price,volume,mc,pe,bm,div
2020-07-31,61048.55,292285.0,258915.6305,18.2006,2.1197,60.0
2020-08-31,57987.45,445917.0,245933.0677,17.288,2.0134,60.0
2020-09-30,59572.2,352081.0,252654.219,17.7605,2.0684,100.0
2020-10-31,65303.25,548763.0,276960.4216,19.4691,2.2674,100.0
2020-11-30,77738.65,1193378.0,329700.7313,23.1765,2.6992,100.0
2020-12-31,75750.45,564833.0,321268.4908,22.5838,2.6302,100.0
2021-01-31,84069.15,1068009.0,356549.287,25.0638,2.919,100.0
2021-02-28,84498.15,1194422.0,358368.7374,25.1917,2.9339,100.0
2021-03-31,82259.45,622058.0,348874.0906,27.3184,2.6009,100.0
2021-04-30,80720.55,486656.0,342347.3956,26.8073,2.5522,100.0
2021-05-31,83641.4,383351.0,354735.1381,27.7773,2.6446,100.0
2021-06-30,80079.5,371749.0,339628.6109,26.5944,2.532,100.0
2021-07-31,79907.45,202873.0,338898.9222,26.5373,2.5265,100.0
2021-08-31,79742.75,293593.0,338200.406,26.4826,2.5213,150.0
2021-09-30,79375.55,281865.0,336643.0583,26.3606,2.5097,150.0
2021-10-31,77308.15,358723.0,327874.9192,25.674,2.4443,150.0
2021-11-30,74630.8,231614.0,316519.895,24.7849,2.3597,150.0
2021-12-31,73338.0,202834.0,311036.9453,24.3556,2.3188,150.0
2022-01-31,72148.1,169936.0,305990.4093,23.9604,2.2812,150.0
2022-02-28,65740.95,312066.0,278816.7699,21.8326,2.0786,150.0
2022-03-31,65022.1,239647.0,275768.0243,41.2062,1.9653,150.0
2022-04-30,72729.0,203111.0,308454.0892,46.0902,2.1983,150.0
2022-05-31,77649.45,258130.0,329322.4213,49.2084,2.347,150.0
2022-06-30,70800.9,185405.0,300276.7414,44.8683,2.14,150.0
2022-07-31,83818.15,192401.0,355484.7601,53.1177,2.5334,200.0
2022-08-31,85364.95,289359.0,362044.9601,54.098,2.5802,150.0
2022-09-30,81654.55,395867.0,346308.6232,51.7466,2.468,150.0
2022-10-31,90767.0,245681.0,384955.8267,57.5214,2.7435,150.0
