JKCE IN Equity,price,volume,mc,pe,bm,div
2014-01-31,168.55,274072.0,11783.2874,5.1076,0.6972,6.5
2014-02-28,168.45,1212401.0,11776.2964,5.1045,0.6968,6.5
2014-03-31,240.0,1959210.0,16778.3386,21.7588,0.9611,6.5
2014-04-30,227.05,1654935.0,15873.0074,20.5848,0.9093,6.5
2014-05-31,333.65,2018908.0,23325.3862,30.2493,1.3361,6.5
2014-06-30,386.9,2418920.0,27048.0801,35.0771,1.5494,6.5
2014-07-31,390.0,1898700.0,27264.8003,35.3581,1.5618,3.0
2014-08-31,469.95,3777700.0,32854.0843,42.6065,1.882,3.0
2014-09-30,556.45,4911208.0,38901.2772,50.4488,2.2284,3.0
2014-10-31,604.2,1407171.0,42239.4675,54.7779,2.4196,3.0
2014-11-30,619.7,2251142.0,43323.0685,56.1831,2.4817,3.0
2014-12-31,638.75,1666875.0,44654.8491,57.9102,2.558,3.0
2015-01-31,697.05,1715540.0,48730.5872,63.1958,2.7914,3.0
2015-02-28,699.55,907132.0,48905.5431,63.4225,2.8014,3.0
2015-03-31,666.1,1107537.0,46566.8807,32.4294,2.8806,3.0
2015-04-30,645.5,542331.0,45126.7399,31.4265,2.7915,3.0
2015-05-31,638.85,490982.0,44661.8401,31.1027,2.7628,3.0
2015-06-30,674.4,431074.0,47147.1315,32.8335,2.9165,3.0
2015-07-31,682.55,409732.0,47716.8959,33.2303,2.9518,4.0
2015-08-31,626.3,1142075.0,43784.4728,30.4917,2.7085,4.0
2015-09-30,653.35,663745.0,45675.5314,31.8087,2.8255,4.0
2015-10-31,685.45,759533.0,47919.6342,33.3715,2.9643,4.0
2015-11-30,690.9,358254.0,48300.6423,33.6368,2.9879,4.0
2015-12-31,577.05,342526.0,40341.4179,28.094,2.4955,4.0
2016-01-31,496.5,612103.0,34710.188,24.1723,2.1472,4.0
2016-02-29,478.35,627844.0,33441.3262,23.2887,2.0687,4.0
2016-03-31,675.5,713022.0,47235.8599,81.6808,2.9764,4.0
2016-04-30,593.25,437106.0,41484.3433,71.7352,2.614,4.0
2016-05-31,582.05,1287001.0,40701.158,70.3809,2.5646,4.0
2016-06-30,666.25,908179.0,46589.0328,80.5623,2.9356,4.0
2016-07-31,713.35,506029.0,49882.6064,86.2576,3.1432,4.0
