EXID IN Equity,price,volume,mc,pe,bm,div
2010-12-31,166.9,24817807.0,141865.0,27.1382,7.4023,1.3
2011-01-31,128.4,77322847.0,109140.0,20.878,5.6948,1.3
2011-02-28,136.75,31685162.0,116237.5,22.2358,6.0651,1.3
2011-03-31,143.45,31563155.0,121932.5,19.7047,5.1123,1.3
2011-04-30,152.8,35918182.0,129880.0,20.989,5.4455,1.3
2011-05-31,159.9,37015733.0,135915.0,21.9643,5.6986,1.3
2011-06-30,161.65,26848435.0,137402.5,22.2047,5.7609,1.3
2011-07-31,155.0,48567825.0,131750.0,21.2912,5.5239,1.5
2011-08-31,149.55,30337827.0,127117.5,20.5426,5.3297,1.5
2011-09-30,129.6,55594273.0,110160.0,17.8022,4.6187,1.5
2011-10-31,121.2,67955690.0,103020.0,16.6484,4.3194,1.5
2011-11-30,116.4,32374292.0,98940.0,15.989,4.1483,1.5
2011-12-31,105.05,24288530.0,89292.5,14.4299,3.7438,1.5
2012-01-31,132.6,46351543.0,112710.0,18.2143,4.7256,1.5
2012-02-29,135.15,24903208.0,114877.5,18.5646,4.8165,1.5
2012-03-31,149.2,25508529.0,126820.0,28.419,4.7192,1.5
2012-04-30,129.3,28423974.0,109905.0,24.6286,4.0897,1.5
2012-05-31,118.3,27069614.0,100555.0,22.5333,3.7418,1.5
2012-06-30,136.65,21854310.0,116152.5,26.0286,4.3222,1.5
2012-07-31,128.35,21038312.0,109097.5,24.4476,4.0597,1.5
2012-08-31,133.9,29313562.0,113815.0,25.5048,4.2352,1.5
2012-09-30,153.3,25475549.0,130305.0,29.2,4.8489,1.5
2012-10-31,141.55,55527450.0,120317.5,26.9619,4.4772,1.6
2012-11-30,142.1,26769274.0,120785.0,27.0667,4.4946,1.6
2012-12-31,144.4,34287819.0,122740.0,27.5048,4.5674,1.6
2013-01-31,122.8,58050505.0,104380.0,23.3905,3.8842,1.6
2013-02-28,125.1,31114109.0,106335.0,23.8286,3.9569,1.6
2013-03-31,129.45,24093487.0,110032.5,20.0387,3.5728,1.6
2013-04-30,132.7,33853143.0,112795.0,20.5418,3.6625,1.6
2013-05-31,137.95,22837088.0,117257.5,21.3545,3.8074,1.6
2013-06-30,120.95,20019555.0,102807.5,18.7229,3.3382,1.6
2013-07-31,123.1,34968079.0,104635.0,19.0557,3.3976,1.6
2013-08-31,125.25,19652874.0,106462.5,19.3885,3.4569,1.6
2013-09-30,129.35,14749997.0,109947.5,20.0232,3.5701,1.6
2013-10-31,124.8,38786418.0,106080.0,19.3189,3.4445,1.6
2013-11-30,115.05,24820561.0,97792.5,17.8096,3.1754,1.7
2013-12-31,123.1,45568304.0,104635.0,19.0557,3.3976,1.7
2014-01-31,101.1,69180938.0,85935.0,15.6502,2.7904,1.7
2014-02-28,110.75,19558365.0,94137.5,17.144,3.0567,1.7
2014-03-31,121.15,37125495.0,102977.5,18.9002,2.9765,1.7
2014-04-30,119.75,51322428.0,101787.5,18.6817,2.9421,1.7
2014-05-31,140.55,78376258.0,119467.5,21.9267,3.4532,1.7
2014-06-30,145.0,48605964.0,123250.0,22.6209,3.5625,1.7
2014-07-31,164.45,101947988.0,139782.5,25.6552,4.0404,1.8
2014-08-31,162.9,46463733.0,138465.0,25.4134,4.0023,2.2
2014-09-30,169.6,70324042.0,144160.0,26.4587,4.1669,2.2
2014-10-31,157.6,53519471.0,133960.0,24.5866,3.8721,2.2
2014-11-30,166.05,44192752.0,141142.5,25.9048,4.0797,2.2
2014-12-31,177.8,50602089.0,151130.0,27.7379,4.3683,2.2
