INFO IN Equity,price,volume,mc,pe,bm,div
2007-12-31,221.24,230092064.0,1011308.696,22.1265,7.0721,1.5625
2008-01-31,187.38,350654112.0,856788.0477,18.7405,5.9898,1.5625
2008-02-29,193.53,224226600.0,884879.9276,19.3549,6.1862,1.5625
2008-03-31,179.99,268344120.0,823616.6487,17.6632,6.0784,1.5625
2008-04-30,219.14,443114248.0,1002766.139,21.5052,6.0784,1.5625
2008-05-31,245.35,392006520.0,1122713.729,24.0775,6.0784,1.8125
2008-06-30,217.1,332316808.0,993449.6358,20.342,6.5618,1.8125
2008-07-31,197.93,460183224.0,906276.8054,18.5459,5.9824,1.8125
2008-08-31,218.64,284114112.0,1001085.492,20.4861,6.6083,1.8125
2008-09-30,174.76,399123944.0,800164.4475,15.3396,5.0271,1.8125
2008-10-31,173.62,423618528.0,795173.8392,15.2397,4.9944,2.1563
2008-11-30,155.48,324341296.0,712104.125,13.6477,4.4726,2.1563
2008-12-31,139.43,335391912.0,638752.9025,11.352,4.0557,2.1563
2009-01-31,163.33,421630600.0,748241.3512,13.2979,4.0557,2.1563
2009-02-28,153.91,265413976.0,705064.2204,12.5305,4.0557,2.1563
2009-03-31,165.49,284007512.0,758369.6596,12.658,4.1545,2.1563
2009-04-30,188.66,316911040.0,864543.7033,14.4302,4.7362,2.1563
2009-05-31,200.64,333429040.0,919449.4604,15.3466,5.037,2.1563
2009-06-30,222.06,310625440.0,1017632.525,16.3622,5.1232,2.9375
2009-07-31,258.04,357797808.0,1182994.84,19.0134,5.9534,2.9375
2009-08-31,266.39,223538808.0,1221275.051,19.6287,6.146,2.9375
2009-09-30,288.3,249197072.0,1322286.048,20.8306,6.1176,2.9375
2009-10-31,275.77,273617912.0,1264840.251,19.9256,5.8518,2.9375
2009-11-30,297.42,188392848.0,1364109.281,21.4895,6.3111,2.9375
2009-12-31,325.14,184172168.0,1491822.525,23.7389,6.622,2.9375
2010-01-31,309.44,217121328.0,1419786.43,22.5926,6.3022,2.9375
2010-02-28,325.24,163159216.0,1492309.923,23.7467,6.6242,2.9375
2010-03-31,326.99,190235224.0,1501097.984,23.8403,6.4805,2.9375
2010-04-30,342.27,240065976.0,1571219.387,24.954,6.7832,2.9375
2010-05-31,332.25,179642568.0,1525227.369,24.2236,6.5846,3.125
2010-06-30,348.88,159251912.0,1601758.034,25.5924,6.4934,3.125
2010-07-31,348.55,183624328.0,1600265.82,25.5686,6.4874,3.125
2010-08-31,339.23,131837456.0,1557481.635,24.885,6.314,3.125
2010-09-30,381.31,195819120.0,1751092.941,27.2205,6.614,3.125
2010-10-31,371.46,221382704.0,1705858.968,26.5174,6.4431,6.875
2010-11-30,381.38,151409624.0,1751379.958,27.225,6.615,6.875
2010-12-31,430.34,154957512.0,1976585.024,29.7979,7.7253,6.875
2011-01-31,389.71,202250768.0,1789964.129,26.9845,6.9959,6.875
2011-02-28,374.64,175264264.0,1720724.195,25.9407,6.7253,6.875
2011-03-31,405.16,203235080.0,1860997.654,27.2364,7.1289,6.875
2011-04-30,363.28,367416144.0,1668628.12,24.421,6.392,6.875
2011-05-31,348.21,220983784.0,1599385.364,23.4076,6.1268,7.5
