ABB IN Equity,price,volume,mc,pe,bm,div
2003-05-31,61.87,1474550.0,14560.2326,16.1161,2.5597,1.2
2003-06-30,66.41,3019660.0,15628.2514,17.2982,2.7475,1.2
2003-07-31,68.29,1859080.0,16071.1401,17.7884,2.8253,1.2
2003-08-31,85.65,2401225.0,20156.7359,22.3106,3.5436,1.2
2003-09-30,85.92,1680705.0,20220.3084,22.3809,3.5548,1.2
2003-10-31,94.47,2739340.0,22233.4391,24.6092,3.9087,1.2
2003-11-30,95.44,1417760.0,22462.3003,24.8625,3.9489,1.2
2003-12-31,121.33,2179690.0,28554.6694,25.4833,4.2557,1.2
2004-01-31,120.39,2249890.0,28334.2846,25.2866,4.2228,1.2
2004-02-29,125.81,870730.0,29609.9737,26.4251,4.413,1.2
2004-03-31,143.33,1591895.0,33731.5939,30.1034,5.0272,1.2
2004-04-30,141.12,1763830.0,33212.4181,29.6401,4.9498,1.2
2004-05-31,114.41,707790.0,26927.2122,24.0309,4.0131,1.2
2004-06-30,121.04,1423890.0,28486.8587,25.4228,4.2456,1.2
2004-07-31,127.64,795390.0,30040.148,26.809,4.4771,1.2
2004-08-31,137.37,378835.0,32328.7597,28.8515,4.8182,1.2
2004-09-30,135.55,294990.0,31900.7045,28.4695,4.7544,1.2
2004-10-31,137.37,1017345.0,32328.7597,28.8515,4.8182,1.2
2004-11-30,171.83,975815.0,40440.6168,36.0908,6.0271,1.2
2004-12-31,174.7,1262265.0,41114.4858,23.9891,5.1086,1.2
2005-01-31,175.53,3495750.0,41309.4416,24.1028,5.1328,1.2
2005-02-28,231.68,9864050.0,54526.1743,31.8144,6.775,1.2
2005-03-31,209.59,2676370.0,49325.9399,28.7802,6.1288,1.2
2005-04-30,217.3,3576725.0,51141.9957,29.8398,6.3545,1.2
2005-05-31,234.4,2338200.0,55166.138,32.1878,6.8545,1.4
2005-06-30,239.26,2038960.0,56308.3248,32.8542,6.9964,1.4
2005-07-31,262.91,6129515.0,61875.1609,36.1023,7.6881,1.4
2005-08-31,287.48,3325585.0,67658.1437,39.4765,8.4067,1.4
2005-09-30,307.82,6711240.0,72445.1565,42.2696,9.0015,1.4
2005-10-31,302.37,6080000.0,71160.991,41.5203,8.8419,1.4
2005-11-30,349.85,9883505.0,82337.045,48.0412,10.2305,1.4
2005-12-31,346.65,8678715.0,81582.6507,33.5918,8.1247,1.4
2006-01-31,455.46,13157775.0,107191.7921,44.1364,10.6751,1.4
2006-02-28,458.58,12539980.0,107924.9955,44.4383,10.7481,1.4
2006-03-31,527.29,23041485.0,124095.7326,51.0966,12.3585,1.4
