JINDALST IN Equity,price,volume,mc,pe,bm,div
2024-09-30,1039.65,54570851.0,1060534.59,17.8589,2.3517,2.0
2024-10-31,920.5,64073246.0,938991.0933,15.8121,2.0822,2.0
2024-11-30,906.45,34940497.0,924658.8555,15.5708,2.0504,2.0
2024-12-31,930.7,33535063.0,949395.9919,15.9874,2.1052,2.0
2025-01-31,791.55,56135741.0,807450.7332,13.5971,1.7905,2.0
2025-02-28,856.15,65015752.0,873348.4242,14.7067,1.9366,2.0
2025-03-31,912.3,36430085.0,930626.3709,33.0933,1.9562,2.0
2025-04-30,895.65,36703676.0,913641.9041,32.4893,1.9205,2.0
2025-05-31,948.9,46648333.0,967961.5952,34.4209,2.0347,2.0
2025-06-30,941.7,33671218.0,960616.9609,34.1598,2.0193,2.0
2025-07-31,965.0,34723409.0,984385.0136,35.005,2.0692,2.0
2025-08-31,945.8,37584691.0,964799.3221,34.3085,2.0281,2.0
2025-09-30,1063.75,28101213.0,1085118.713,38.5871,2.281,2.0
2025-10-31,1066.8,37873669.0,1088229.982,38.6977,2.2875,2.0
2025-11-30,1044.4,28197085.0,1065380.009,37.8852,2.2395,2.0
2025-12-31,1053.8,29702584.0,1074968.837,38.2261,2.2597,2.0
2026-01-31,1132.0,38612189.0,1154739.726,41.0628,2.4273,2.0
2026-02-28,1244.2,24501584.0,1269193.61,45.1328,2.6679,2.0
2026-03-31,1183.5,5386664.0,1207274.263,42.931,2.5378,2.0
