HPCL IN Equity,price,volume,mc,pe,bm,div
2016-11-30,209.42,317228146.0,478683.4636,30.7171,2.8666,5.1111
2016-12-31,196.13,173293461.0,448308.6003,28.7679,2.6847,5.1111
2017-01-31,231.71,135989402.0,529629.9315,33.9863,3.1717,5.1111
2017-02-28,239.0,157482972.0,546290.3916,35.0554,3.2715,3.4074
2017-03-31,233.62,191626018.0,533998.2229,6.4839,2.5325,19.2667
2017-04-30,238.29,115796309.0,544664.9809,6.6134,2.5831,19.2667
2017-05-31,246.31,155321795.0,563001.6458,6.8361,2.67,19.2667
2017-06-30,226.82,119690017.0,518455.2327,6.2952,2.4588,19.2667
2017-07-31,255.47,159709373.0,583928.8325,7.0902,2.7693,13.3333
2017-08-31,325.57,222698579.0,744158.7823,9.0357,3.5292,13.3333
2017-09-30,284.53,159890883.0,650367.4993,7.8969,3.0844,13.3333
2017-10-31,298.1,125082333.0,681377.2898,8.2734,3.2314,13.3333
2017-11-30,277.8,144795621.0,634976.9008,7.71,3.0114,13.3333
2017-12-31,279.07,106575950.0,637872.1638,7.7452,3.0251,13.3333
2018-01-31,265.13,172423752.0,606024.2703,7.3585,2.8741,13.3333
2018-02-28,253.43,132813179.0,579281.1709,7.0337,2.7472,19.3333
2018-03-31,229.9,94398530.0,525490.2322,7.2799,2.0572,19.3333
2018-04-30,203.0,207940028.0,464003.9893,6.4281,1.8165,19.3333
2018-05-31,207.9,260396430.0,475204.0856,6.5833,1.8603,19.3333
2018-06-30,172.8,209539856.0,394974.8244,5.4718,1.5462,11.3333
2018-07-31,189.87,203694206.0,433984.6836,6.0122,1.699,11.3333
2018-08-31,169.2,160626260.0,386746.1822,5.3578,1.514,11.3333
2018-09-30,167.63,165253539.0,383165.1991,5.3082,1.5,11.3333
2018-10-31,149.43,583528611.0,341564.8414,4.7319,1.3372,11.3333
2018-11-30,154.9,299630622.0,354060.1869,4.905,1.3861,11.3333
2018-12-31,168.83,243155427.0,385908.0798,5.3462,1.5107,11.3333
2019-01-31,155.67,158142396.0,355812.5829,4.9293,1.3929,11.3333
2019-02-28,148.9,142394294.0,340345.7833,4.715,1.3324,6.0
2019-03-31,189.23,260338919.0,432537.0521,6.4644,1.4221,6.0
2019-04-30,194.17,213187865.0,443813.3395,6.6329,1.4592,6.0
2019-05-31,216.17,262694483.0,494099.4862,7.3844,1.6245,6.0
2019-06-30,193.37,149318630.0,441984.7524,6.6056,1.4532,10.6
