IOB IN Equity,price,volume,mc,pe,bm,div
2022-10-31,18.55,65291424.0,350639.7473,18.4647,1.4668,0.0
2022-11-30,22.1,510977861.0,417743.3109,21.9983,1.7475,0.0
2022-12-31,32.1,3303916929.0,606767.4334,30.3328,2.5085,0.0
2023-01-31,28.45,1111216373.0,537773.6287,26.8837,2.2232,0.0
2023-02-28,24.3,417368718.0,459328.6178,22.9622,1.8989,0.0
2023-03-31,22.45,289956546.0,424359.1551,20.1325,1.7059,0.0
2023-04-30,25.8,262250502.0,487682.2362,23.1367,1.9604,0.0
2023-05-31,24.45,235231417.0,462163.9797,21.926,1.8579,0.0
2023-06-30,24.4,186318095.0,461218.859,20.8234,1.8186,0.0
2023-07-31,26.35,346567425.0,498078.5629,22.4875,1.964,0.0
2023-08-31,30.6,949553420.0,578413.815,26.1145,2.2807,0.0
2023-09-30,46.75,2399067545.0,883687.773,37.7339,3.4019,0.0
2023-10-31,39.3,1566113139.0,742864.8017,31.7207,2.8598,0.0
2023-11-30,39.35,440226556.0,743809.9223,31.7611,2.8634,0.0
2023-12-31,43.3,693972338.0,818474.4507,32.2907,3.0579,0.0
2024-01-31,49.1,724841408.0,928108.4418,36.616,3.4675,0.0
2024-02-29,64.65,1941221435.0,1222040.952,48.2123,4.5657,0.0
2024-03-31,59.95,346016275.0,1133199.615,42.0969,4.1115,0.0
2024-04-30,68.1,403315104.0,1287254.275,47.8198,4.6705,0.0
2024-05-31,68.9,553634926.0,1302376.204,48.3816,4.7254,0.0
2024-06-30,64.28,396692095.0,1215047.06,42.9264,4.4862,0.0
2024-07-31,66.7,564309775.0,1260790.898,44.5425,4.6551,0.0
2024-08-31,60.77,206995399.0,1148699.593,40.5824,4.2413,0.0
2024-09-30,57.73,159755520.0,1091236.26,36.5822,3.8828,0.0
2024-10-31,54.46,159891444.0,1029425.372,34.51,3.6628,0.0
2024-11-30,53.83,123625280.0,1017516.852,34.1108,3.6204,0.0
2024-12-31,51.76,216403172.0,978388.8584,31.4556,3.3825,0.0
2025-01-31,51.0,208420552.0,964023.0251,30.9938,3.3329,0.0
2025-02-28,43.53,88737380.0,822822.0055,26.4541,2.8447,0.0
2025-03-31,38.97,171567955.0,750429.3043,21.7044,2.3281,0.0
2025-04-30,37.53,210880115.0,722699.815,20.9023,2.2421,0.0
2025-05-31,39.84,237005614.0,767182.5374,22.1889,2.3801,0.0
2025-06-30,38.98,419906922.0,750621.8702,18.872,2.2652,0.0
2025-07-31,37.56,186819645.0,723277.5127,18.1845,2.1827,0.0
2025-08-31,38.09,83323097.0,733483.5053,18.4411,2.2135,0.0
2025-09-30,39.54,288671891.0,761405.5605,17.1686,2.2243,0.0
2025-10-31,40.11,244751401.0,772381.8167,17.4161,2.2564,0.0
2025-11-30,38.79,162473218.0,746963.1181,16.8429,2.1821,0.0
2025-12-31,36.13,199477393.0,695740.5893,13.9978,1.95,0.0
2026-01-31,35.63,175845313.0,686112.2944,13.804,1.923,0.0
2026-02-28,36.45,158993117.0,701902.698,14.1217,1.9673,0.0
2026-03-31,34.56,27602142.0,665507.7698,13.3895,1.8653,0.0
