BJHI IN Equity,price,volume,mc,pe,bm,div
2018-05-31,2769.95,1352819.0,308277.458,11.6123,1.2233,32.5
2018-06-30,2882.4,979133.0,320792.4132,12.0837,1.2729,32.5
2018-07-31,2904.4,531111.0,323240.8704,12.1759,1.2826,40.0
2018-08-31,3117.25,390648.0,346929.694,13.0683,1.3766,40.0
2018-09-30,3093.55,663977.0,344292.0379,12.9689,1.3662,40.0
2018-10-31,2809.5,522137.0,312679.1163,11.7781,1.2407,40.0
2018-11-30,3000.8,677588.0,333969.5648,12.5801,1.3252,40.0
2018-12-31,2950.0,981803.0,328315.8545,12.3671,1.3028,40.0
2019-01-31,2847.05,941478.0,316858.1876,11.9355,1.2573,40.0
2019-02-28,3165.05,3180921.0,352249.5238,13.2687,1.3977,40.0
2019-03-31,3416.55,1139264.0,380239.8416,12.4737,1.4108,40.0
2019-04-30,3086.0,1013672.0,343451.7719,11.2669,1.2743,40.0
2019-05-31,3496.4,818747.0,389126.6284,12.7652,1.4438,40.0
2019-06-30,3598.25,706394.0,400461.8724,13.1371,1.4858,40.0
2019-07-31,3400.5,785555.0,378453.5808,12.4151,1.4042,32.5
2019-08-31,3252.05,404647.0,361932.0592,11.8731,1.3429,32.5
2019-09-30,3593.25,640233.0,399905.4048,13.1188,1.4838,32.5
2019-10-31,3669.7,681177.0,408413.7936,13.398,1.5153,32.5
2019-11-30,3564.35,626939.0,396689.0224,13.0133,1.4718,32.5
2019-12-31,3406.6,894712.0,379132.4712,12.4374,1.4067,32.5
2020-01-31,3454.3,899624.0,384441.1716,12.6115,1.4264,32.5
2020-02-29,3386.65,1907634.0,376912.1656,12.3645,1.3984,32.5
2020-03-31,1798.55,2831689.0,200166.9424,6.6901,0.721,40.0
2020-04-30,2037.8,649225.0,226793.9147,7.58,0.8169,40.0
2020-05-31,2000.6,876539.0,222653.7961,7.4416,0.802,40.0
2020-06-30,2543.0,1803932.0,283019.3959,9.4592,1.0194,40.0
2020-07-31,2656.1,1849771.0,295606.6919,9.8799,1.0647,40.0
2020-08-31,2678.8,1186010.0,298133.0546,9.9643,1.0738,40.0
2020-09-30,2413.95,723268.0,268658.1513,8.9792,0.9677,40.0
2020-10-31,2306.7,1226932.0,256721.8698,8.5802,0.9247,40.0
2020-11-30,3063.75,3105851.0,340976.9925,11.3962,1.2281,40.0
2020-12-31,3076.55,1676566.0,342400.0359,11.4439,1.2333,40.0
2021-01-31,3246.6,1453288.0,361325.4966,12.0764,1.3014,40.0
2021-02-28,3630.2,983110.0,404017.6855,13.5033,1.4552,40.0
2021-03-31,3293.05,1011558.0,366495.0799,10.0414,0.9861,40.0
2021-04-30,3421.2,771836.0,380757.3427,10.4322,1.0245,40.0
2021-05-31,3550.45,935903.0,395142.0284,10.8263,1.0632,0.0
2021-06-30,3614.25,1062516.0,402242.5541,11.0209,1.0823,0.0
2021-07-31,4023.05,951854.0,447739.3554,12.2674,1.2047,40.0
2021-08-31,4356.75,1185713.0,484877.9997,13.2849,1.3046,40.0
2021-09-30,4808.6,2878357.0,535165.9722,14.6628,1.4399,130.0
2021-10-31,4829.7,937793.0,537514.2652,14.7271,1.4462,130.0
2021-11-30,5037.8,827125.0,560674.4447,15.3617,1.5085,130.0
2021-12-31,5432.05,1756296.0,604551.911,16.5638,1.6266,130.0
2022-01-31,5160.35,909343.0,574313.4643,15.7353,1.5452,130.0
2022-02-28,5202.4,432630.0,578993.3564,15.8636,1.5578,130.0
2022-03-31,5011.05,1597454.0,557697.3433,13.7515,1.3017,130.0
2022-04-30,5169.45,3689808.0,575326.2353,14.1862,1.3429,130.0
2022-05-31,5113.6,1033571.0,569110.4927,14.0329,1.3284,130.0
2022-06-30,4585.2,1125840.0,510303.0021,12.5829,1.1911,155.0
2022-07-31,5204.9,1251145.0,579271.585,14.2835,1.3521,115.0
2022-08-31,5465.3,1113657.0,608252.4202,14.9981,1.4197,115.0
2022-09-30,6390.75,4050789.0,711248.999,17.5377,1.6602,220.0
2022-10-31,6660.6,1954365.0,741281.5527,18.2783,1.7303,220.0
2022-11-30,6294.95,6716990.0,700587.0808,17.2748,1.6353,220.0
2022-12-31,5741.6,1605443.0,639002.817,15.7563,1.4915,220.0
2023-01-31,5883.95,861898.0,654845.4482,16.147,1.5285,220.0
2023-02-28,6254.15,690605.0,696046.3056,17.1629,1.6247,220.0
2023-03-31,5920.1,745217.0,658868.7086,13.5835,1.4912,220.0
2023-04-30,6847.95,987718.0,762132.3918,15.7124,1.725,220.0
2023-05-31,7264.9,1010259.0,808536.2208,16.6691,1.83,220.0
2023-06-30,7004.55,517228.0,779560.9555,16.0717,1.7644,123.0
2023-07-31,7543.5,626674.0,839542.5927,17.3083,1.9002,123.0
2023-08-31,7437.7,585443.0,827767.7393,17.0655,1.8735,123.0
2023-09-30,7108.5,1253310.0,791129.9158,16.3102,1.7906,123.0
2023-10-31,6926.45,682145.0,770868.9323,15.8925,1.7447,123.0
2023-11-30,7356.1,534003.0,818686.1889,16.8783,1.853,123.0
2023-12-31,7674.6,1126372.0,854133.1718,17.6091,1.9332,123.0
2024-01-31,8366.3,788324.0,931114.8927,19.1962,2.1074,123.0
2024-02-29,9149.6,592538.0,1018291.099,20.9934,2.3047,123.0
2024-03-31,8272.75,803770.0,920703.3849,12.6688,1.6972,123.0
2024-04-30,8116.15,786639.0,903274.8212,12.429,1.6651,123.0
2024-05-31,7953.4,835093.0,885161.8024,12.1798,1.6317,123.0
2024-06-30,8536.25,1266673.0,950029.2247,13.0724,1.7513,131.0
2024-07-31,9619.5,1696989.0,1070587.919,14.7312,1.9735,131.0
2024-08-31,10057.7,932728.0,1119356.736,15.4023,2.0634,131.0
2024-09-30,10494.7,2078221.0,1167991.999,16.0715,2.1531,86.0
2024-10-31,10249.5,685461.0,1140702.831,15.696,2.1028,86.0
2024-11-30,10468.25,864613.0,1165048.286,16.031,2.1477,86.0
2024-12-31,11886.75,2048739.0,1322918.13,18.2033,2.4387,86.0
2025-01-31,11559.7,1604714.0,1286519.588,17.7025,2.3716,86.0
2025-02-28,11574.35,2088176.0,1288150.038,17.7249,2.3746,86.0
2025-03-31,12473.05,1570150.0,1388169.515,21.2887,2.2144,86.0
2025-04-30,11973.0,1496997.0,1332517.195,20.4352,2.1256,86.0
2025-05-31,13414.0,2119930.0,1492891.143,22.8947,2.3815,86.0
2025-06-30,14379.0,1852987.0,1600289.38,24.5417,2.5528,93.0
2025-07-31,13963.0,966257.0,1553991.28,23.8317,2.4789,93.0
2025-08-31,12770.0,1356677.0,1421218.123,21.7955,2.2671,93.0
2025-09-30,12247.0,1335759.0,1363011.617,20.9029,2.1743,93.0
2025-10-31,12303.0,1176066.0,1369244.054,20.9985,2.1842,93.0
2025-11-30,11499.0,2366976.0,1279764.072,19.6262,2.0415,93.0
2025-12-31,11328.0,1809476.0,1260732.881,19.3344,2.0111,93.0
2026-01-31,10800.0,2206661.0,1201969.908,18.4332,1.9174,93.0
2026-02-28,10804.0,1501259.0,1202415.082,18.44,1.9181,93.0
2026-03-31,10670.0,130792.0,1187501.752,18.2113,1.8943,93.0
