HBLENGIN IN Equity,price,volume,mc,pe,bm,div
2012-08-31,14.35,341775.0,3630.55,19.6575,0.6895,0.1
2012-09-30,15.75,3876856.0,3984.75,21.5753,0.7567,0.1
2012-10-31,15.3,1340480.0,3870.9,20.9589,0.7351,0.0
2012-11-30,15.45,990296.0,3908.85,21.1644,0.7423,0.0
2012-12-31,17.1,3311888.0,4326.3,23.4247,0.8216,0.15
2013-01-31,15.2,1603798.0,3845.6,20.8219,0.7303,0.15
2013-02-28,12.2,911647.0,3086.6,16.7123,0.5862,0.15
2013-03-31,9.4,4437409.0,2378.2,10.1075,0.4371,0.15
2013-04-30,9.45,580964.0,2390.85,10.1613,0.4395,0.15
2013-05-31,9.85,697478.0,2492.05,10.5914,0.4581,0.15
2013-06-30,7.2,1304399.0,1821.6,7.7419,0.3348,0.15
2013-07-31,6.4,3038496.0,1619.2,6.8817,0.2976,0.15
2013-08-31,7.95,1251753.0,2011.35,8.5484,0.3697,0.15
2013-09-30,8.95,1164272.0,2264.35,9.6237,0.4162,0.15
2013-10-31,9.45,689255.0,2390.85,10.1613,0.4395,0.15
2013-11-30,9.95,1527030.0,2517.35,10.6989,0.4627,0.15
2013-12-31,12.95,3307693.0,3276.35,13.9247,0.6022,0.15
2014-01-31,11.0,1214312.0,2783.0,11.828,0.5115,0.15
2014-02-28,11.45,3165493.0,2896.85,12.3118,0.5325,0.15
2014-03-31,9.85,3210126.0,2492.05,6.2739,0.4436,0.15
2014-04-30,15.15,5584427.0,3832.95,9.6497,0.6823,0.15
2014-05-31,17.4,4953135.0,4402.2,11.0828,0.7836,0.15
2014-06-30,18.8,4294637.0,4756.4,11.9745,0.8467,0.15
2014-07-31,18.8,8771821.0,4756.4,11.9745,0.8467,0.15
2014-08-31,17.2,3370781.0,4351.6,10.9554,0.7746,0.15
2014-09-30,18.0,6256567.0,4554.0,11.465,0.8106,0.15
2014-10-31,20.75,2001981.0,5249.75,13.2166,0.9345,0.15
2014-11-30,26.8,15882708.0,6780.4,17.0701,1.207,0.0
2014-12-31,32.1,65642913.0,8121.3,20.4459,1.4456,0.2
2015-01-31,34.9,45300573.0,8829.7,22.2293,1.5717,0.2
2015-02-28,54.25,89451271.0,13725.25,34.5541,2.4432,0.2
2015-03-31,51.1,23265253.0,12928.3,91.25,2.2891,0.2
2015-04-30,50.4,32185363.0,12751.2,90.0,2.2577,0.2
2015-05-31,55.5,19079042.0,14041.5,99.1071,2.4862,0.2
2015-06-30,47.3,14986849.0,11966.9,84.4643,2.1189,0.2
2015-07-31,49.2,42422567.0,12447.6,87.8571,2.204,0.2
2015-08-31,38.45,45881745.0,9727.85,68.6607,1.7224,0.2
2015-09-30,38.95,15748329.0,9854.35,69.5536,1.7448,0.2
2015-10-31,37.65,16320817.0,9525.45,67.2321,1.6866,0.2
2015-11-30,39.75,12755650.0,10056.75,70.9821,1.7807,0.2
2015-12-31,44.8,37889236.0,11334.4,80.0,2.0069,0.2
2016-01-31,40.0,16280628.0,10120.0,71.4286,1.7919,0.2
2016-02-29,29.6,7373959.0,7488.8,52.8571,1.326,0.2
2016-03-31,36.3,12577246.0,9183.9,61.6216,1.5077,0.2
2016-04-30,34.5,6116009.0,8728.5,58.566,1.433,0.2
2016-05-31,33.0,6666744.0,8349.0,56.0197,1.3707,0.2
2016-06-30,34.2,8580856.0,8652.6,58.0567,1.4205,0.2
2016-07-31,36.25,12059724.0,9171.25,61.5367,1.5057,0.2
2016-08-31,33.2,7269270.0,8399.6,56.3592,1.379,0.2
