CRS IN Equity,price,volume,mc,pe,bm,div
2024-06-30,8683.25,1037603.0,112933.2554,47.2532,8.3916,60.0
2024-07-31,8933.15,684378.0,116183.4233,48.6131,8.6331,60.0
2024-08-31,9216.6,1279261.0,119869.9383,50.1556,8.9071,60.0
2024-09-30,8090.3,512304.0,104344.976,44.0264,7.8186,60.0
2024-10-31,7183.85,335594.0,92653.9999,39.0937,6.9426,60.0
2024-11-30,7413.05,343884.0,95610.1163,40.3409,7.1641,60.0
2024-12-31,7587.0,416102.0,97853.6436,41.2875,7.3322,60.0
2025-01-31,6688.2,313768.0,86261.3337,36.3964,6.4636,60.0
2025-02-28,5291.25,528520.0,68244.1138,28.7944,5.1135,60.0
2025-03-31,5638.8,586066.0,72726.6542,29.6155,5.3729,60.0
2025-04-30,5357.0,284675.0,69092.1271,28.1355,5.1044,60.0
2025-05-31,6362.0,1650174.0,82054.1558,33.4139,6.062,60.0
2025-06-30,6875.0,1098055.0,88670.5944,36.1082,6.5508,60.0
2025-07-31,6545.0,936029.0,84414.4058,34.375,6.2364,65.0
2025-08-31,6311.0,308997.0,81396.3813,33.146,6.0134,65.0
2025-09-30,6162.5,314532.0,79481.0964,32.3661,5.8719,65.0
2025-10-31,6226.5,260378.0,80306.539,32.7022,5.9329,65.0
2025-11-30,5537.0,511470.0,71413.6845,29.0809,5.2759,65.0
2025-12-31,5235.5,449654.0,67525.0759,27.4974,4.9886,65.0
2026-01-31,5000.0,367388.0,64487.705,26.2605,4.7642,65.0
2026-02-28,4886.4,317033.0,63022.5443,25.6639,4.656,65.0
2026-03-31,4766.4,42745.0,61474.8382,25.0336,4.5416,65.0
