TRCL IN Equity,price,volume,mc,pe,bm,div
2020-06-30,635.1,16719146.0,149614.813,23.9954,2.9915,2.5
2020-07-31,691.95,21227791.0,163007.3529,26.1433,3.2593,2.5
2020-08-31,693.05,24510650.0,163266.4874,26.1849,3.2644,2.5
2020-09-30,753.5,19749748.0,177507.1037,28.4688,3.5492,2.5
2020-10-31,796.95,18781223.0,187968.05,30.1105,3.7538,2.5
2020-11-30,892.15,12941226.0,210421.8531,33.7073,4.2023,2.5
2020-12-31,796.4,16494209.0,187842.3142,30.0897,3.7513,2.5
2021-01-31,781.0,16487560.0,184210.0042,29.5078,3.6787,2.5
2021-02-28,968.35,20925486.0,228424.0244,36.5863,4.5612,2.5
2021-03-31,1002.55,10534515.0,236491.4603,29.1948,4.126,3.0
2021-04-30,985.5,13208144.0,232469.5369,28.6983,4.0559,3.0
2021-05-31,966.25,14665155.0,227928.6555,28.1377,3.9766,3.0
2021-06-30,1025.75,11353448.0,241964.107,29.8704,4.2215,3.0
2021-07-31,1093.2,13934985.0,257874.8879,31.8345,4.4991,3.0
2021-08-31,1008.8,9773268.0,238027.9166,29.3768,4.1517,3.0
2021-09-30,984.65,8135543.0,232370.2229,28.6735,4.0524,3.0
2021-10-31,1066.5,12942960.0,251929.3893,31.057,4.3892,3.0
2021-11-30,941.05,7190307.0,222319.1854,27.4039,3.8729,3.0
2021-12-31,1004.1,5636096.0,237261.1788,29.2399,4.1324,3.0
2022-01-31,869.1,10117122.0,205361.7075,25.3086,3.5768,3.0
2022-02-28,786.9,7214637.0,185938.4738,22.9149,3.2385,3.0
2022-03-31,768.05,14096603.0,181484.3625,19.9183,2.742,3.0
2022-04-30,794.7,8339023.0,187781.5544,20.6095,2.8372,3.0
2022-05-31,698.75,9396142.0,165109.3005,18.1211,2.4946,0.0
2022-06-30,636.8,12560900.0,150470.9876,16.5146,2.2735,0.0
2022-07-31,733.85,9634329.0,173403.1631,19.0314,2.6199,0.0
2022-08-31,757.0,11321864.0,178873.3317,19.6318,2.7026,3.0
2022-09-30,754.5,14966758.0,178282.6007,19.5669,2.6937,3.0
2022-10-31,721.8,7376129.0,170555.8399,18.7189,2.5769,3.0
2022-11-30,674.8,17074671.0,159450.098,17.5,2.4091,3.0
2022-12-31,700.25,12226278.0,165463.7391,18.16,2.5,3.0
2023-01-31,675.7,5698475.0,159662.7612,17.5234,2.4123,3.0
2023-02-28,714.5,10004842.0,168830.9055,18.5296,2.5509,3.0
2023-03-31,756.65,8652509.0,178790.6293,54.995,2.6059,3.0
2023-04-30,736.2,5511434.0,173958.4502,53.5086,2.5354,3.0
2023-05-31,904.1,17361107.0,213631.9408,65.712,3.1137,3.0
2023-06-30,924.25,10154395.0,218393.2322,67.1765,3.1831,3.0
2023-07-31,886.2,8239069.0,209402.3072,64.411,3.052,3.0
2023-08-31,867.7,11574680.0,205030.8981,63.0663,2.9883,2.0
2023-09-30,910.2,9158291.0,215073.3243,66.1553,3.1347,2.0
2023-10-31,991.7,12476222.0,234331.1532,72.0789,3.4154,2.0
2023-11-30,993.9,10366498.0,234850.9965,72.2388,3.423,2.0
