MGFL IN Equity,price,volume,mc,pe,bm,div
2024-04-30,200.15,153872031.0,169413.911,7.7403,1.467,3.3
2024-05-31,168.65,207520701.0,142751.217,6.5221,1.2361,3.3
2024-06-30,207.9,229577975.0,175973.7802,8.04,1.5238,3.55
2024-07-31,214.0,238452766.0,181137.032,8.2759,1.5685,3.55
2024-08-31,215.95,165330901.0,182787.5797,8.3513,1.5828,3.75
2024-09-30,201.35,112121933.0,170429.6327,7.7867,1.4758,3.75
2024-10-31,157.05,306123725.0,132932.5742,6.0735,1.1511,3.75
2024-11-30,156.26,210950382.0,132263.8908,6.043,1.1453,3.9
2024-12-31,188.45,293468411.0,159510.6247,7.2878,1.3813,3.9
2025-01-31,196.03,262196863.0,165926.5999,7.581,1.4368,3.9
2025-02-28,200.96,370880097.0,170099.5231,7.7716,1.473,4.0
2025-03-31,232.75,376226419.0,197007.6832,16.1993,1.5847,4.0
2025-04-30,230.85,137146250.0,195399.4572,16.0671,1.5717,4.0
2025-05-31,238.66,103728657.0,202010.1124,16.6107,1.6249,3.5
2025-06-30,275.37,228553537.0,233082.7313,19.1657,1.8748,3.5
2025-07-31,253.05,84933147.0,214190.3082,17.6122,1.7229,3.5
2025-08-31,261.45,90686198.0,221300.3599,18.1968,1.7801,3.0
2025-09-30,280.8,82056421.0,237678.8719,19.5436,1.9118,3.0
2025-10-31,269.5,75944783.0,228114.1595,18.7571,1.8349,3.0
2025-11-30,284.95,78090275.0,241191.576,19.8324,1.9401,2.5
2025-12-31,308.55,85909060.0,261167.4356,21.475,2.1007,2.5
2026-01-31,284.65,146945791.0,240937.6456,19.8116,1.938,2.5
2026-02-28,283.25,119470193.0,239752.637,19.7141,1.9285,2.0
2026-03-31,267.2,17567944.0,226167.3699,18.597,1.8192,2.0
