CRIN IN Equity,price,volume,mc,pe,bm,div
2013-04-30,194.65,2187103.0,55097.2008,12.7472,2.5083,3.0
2013-05-31,191.15,1879719.0,54106.4985,12.518,2.4632,3.0
2013-06-30,183.1,1626546.0,51827.8832,11.9908,2.3595,7.5
2013-07-31,168.55,1935415.0,47709.3922,11.038,2.172,4.5
2013-08-31,195.15,3392136.0,55254.6607,12.78,2.5148,4.5
2013-09-30,234.05,3299854.0,66268.7847,15.3274,3.0161,4.5
2013-10-31,222.45,3619740.0,62991.1288,14.5678,2.8666,4.5
2013-11-30,236.25,1468966.0,66898.8724,15.4715,3.0444,4.5
2013-12-31,239.3,2535499.0,67762.5404,15.6713,3.0837,4.5
2014-01-31,203.1,2630327.0,57511.7925,13.3006,2.6172,4.5
2014-02-28,206.0,860828.0,58332.985,13.4905,2.6546,4.5
2014-03-31,224.2,6817665.0,63489.3649,17.9936,2.7831,4.5
2014-04-30,219.5,1304720.0,62158.4103,17.6164,2.7248,4.5
2014-05-31,258.1,3154297.0,73089.2287,20.7143,3.204,4.5
2014-06-30,258.45,2517755.0,73853.6413,20.7424,3.2083,4.5
2014-07-31,241.55,5569864.0,69024.3647,19.386,2.9985,4.5
2014-08-31,259.35,4680348.0,74116.1721,20.8146,3.2195,4.5
2014-09-30,305.85,9528353.0,87409.1915,24.5465,3.7967,4.5
2014-10-31,331.35,4263580.0,94696.8631,26.5931,4.1133,4.5
2014-11-30,311.3,4834686.0,88994.1795,24.9839,3.8644,4.5
2014-12-31,308.55,4690047.0,88208.6616,24.7632,3.8302,4.5
2015-01-31,289.9,8131109.0,82891.388,23.2665,3.5987,4.5
2015-02-28,280.45,4484391.0,81679.3764,22.508,3.4814,4.5
2015-03-31,268.45,9004029.0,78186.1608,19.4529,3.5507,6.5
2015-04-30,229.8,8520817.0,66929.3342,16.6522,3.0395,6.5
2015-05-31,237.6,3494662.0,69201.087,17.2174,3.1426,6.5
2015-06-30,249.9,3381877.0,72784.2444,18.1087,3.3053,6.5
2015-07-31,243.35,2721024.0,70876.5341,17.6341,3.2187,4.5
2015-08-31,188.3,3809241.0,54843.0301,13.6449,2.4906,4.5
2015-09-30,154.8,4961801.0,45092.3358,11.2174,2.0475,4.5
2015-10-31,187.25,8855482.0,54544.8313,13.5688,2.4767,4.5
2015-11-30,194.8,4023699.0,56744.1022,14.1159,2.5765,4.5
2015-12-31,188.25,1379814.0,54836.9355,13.6413,2.4899,4.5
2016-01-31,169.15,4573529.0,49273.1348,12.2572,2.2373,4.5
2016-02-29,170.8,1290443.0,49757.5354,12.3768,2.2591,4.5
2016-03-31,190.3,2713316.0,55438.2845,15.5094,2.1048,2.5
2016-04-30,224.1,5324401.0,65284.9162,18.2641,2.4786,2.5
2016-05-31,230.6,2681140.0,67178.4992,18.7938,2.5505,2.5
2016-06-30,264.5,10689896.0,77084.1371,21.5566,2.9254,2.5
2016-07-31,255.0,25814458.0,74315.5197,20.7824,2.8203,4.0
2016-08-31,269.15,8690312.0,78439.3025,21.9356,2.9768,4.0
2016-09-30,246.0,4478059.0,71692.619,20.0489,2.7208,4.0
2016-10-31,287.55,12421537.0,83801.6772,23.4352,3.1804,4.0
2016-11-30,264.1,6771083.0,76967.5638,21.524,2.921,4.0
2016-12-31,292.45,5406587.0,85290.4525,23.8346,3.2345,4.0
2017-01-31,313.6,10448815.0,91458.6627,25.5583,3.4685,4.0
2017-02-28,330.6,4886949.0,96425.8139,26.9438,3.6565,4.0
2017-03-31,311.85,4962756.0,90957.0177,19.0617,3.1465,4.0
2017-04-30,349.1,8443636.0,101821.6927,21.3386,3.5223,4.0
2017-05-31,411.5,9012258.0,120034.6053,25.1528,4.1519,4.0
2017-06-30,419.6,4694125.0,122498.7293,25.6479,4.2336,4.0
2017-07-31,449.55,3692081.0,131296.4225,27.4786,4.5358,5.0
2017-08-31,442.8,4932362.0,129382.5033,27.066,4.4677,5.0
2017-09-30,432.1,4606067.0,126256.0517,26.412,4.3597,5.0
2017-10-31,515.25,9057636.0,150551.795,31.4945,5.1987,5.0
2017-11-30,518.75,5267937.0,151602.2432,31.7084,5.234,5.0
2017-12-31,579.25,4586807.0,169283.0831,35.4065,5.8444,5.0
2018-01-31,554.6,7227642.0,162084.7611,33.8998,5.5957,5.0
2018-02-28,558.75,3423132.0,163336.7105,34.1534,5.6376,5.0
2018-03-31,525.15,4905474.0,153545.1472,22.1863,5.3015,8.0
2018-04-30,475.5,7025699.0,139028.311,20.0887,4.8003,8.0
2018-05-31,450.95,5948209.0,131864.0072,19.0515,4.5524,8.0
2018-06-30,393.6,2878200.0,115094.0752,16.6286,3.9735,8.0
2018-07-31,425.1,3879133.0,124305.1102,17.9594,4.2915,6.5
2018-08-31,420.3,3385973.0,122901.5239,17.7567,4.243,6.5
2018-09-30,403.95,2246750.0,118120.5581,17.0659,4.0779,6.5
2018-10-31,421.4,2643659.0,123223.1791,17.8031,4.2541,6.5
2018-11-30,406.55,2231239.0,118880.834,17.1757,4.1042,6.5
2018-12-31,450.25,2540580.0,131659.3175,19.022,4.5454,6.5
2019-01-31,449.85,2975986.0,131553.3373,19.0051,4.5413,9.5
2019-02-28,441.85,1854349.0,129213.8315,18.6671,4.4606,9.5
2019-03-31,507.5,3744092.0,148457.6195,20.5966,4.4205,6.5
2019-04-30,434.35,5348215.0,127059.2454,17.6278,3.7833,6.5
2019-05-31,436.4,3930977.0,127668.885,17.711,3.8012,6.5
2019-06-30,418.15,2901180.0,122332.3203,16.9704,3.6422,6.5
2019-07-31,373.1,4617952.0,109152.6693,15.142,3.2498,6.5
2019-08-31,384.9,3868586.0,112604.831,15.6209,3.3526,6.5
2019-09-30,415.4,3653039.0,121527.7911,16.8588,3.6183,6.5
2019-10-31,475.4,4490912.0,139081.1552,19.2938,4.1409,6.5
2019-11-30,474.9,2325327.0,138961.5523,19.2735,4.1365,6.5
2019-12-31,532.1,4251350.0,155727.0673,21.595,4.6348,6.5
2020-01-31,631.85,7232629.0,184920.4049,25.6433,5.5036,3.5
2020-02-29,615.5,4167258.0,180228.2043,24.9797,5.3612,3.5
2020-03-31,546.2,6197497.0,160011.3377,15.0055,3.7059,3.5
2020-04-30,594.25,4167663.0,174087.7653,16.3255,4.032,3.5
2020-05-31,644.3,8777057.0,188750.1005,17.7005,4.3715,3.5
2020-06-30,755.75,29327751.0,221543.1389,20.7624,5.1277,3.5
