GRASIM IN Equity,price,volume,mc,pe,bm,div
2018-03-31,1046.74,24147548.0,690791.8224,23.7653,1.2044,5.4782
2018-04-30,1089.37,17938976.0,718967.1385,24.7332,1.2534,5.4782
2018-05-31,1035.68,23193337.0,683559.3844,23.5142,1.1917,5.4782
2018-06-30,1002.86,16526055.0,662082.664,22.7691,1.1539,5.4782
2018-07-31,1021.14,24218946.0,674149.225,23.1841,1.1749,5.4782
2018-08-31,1063.27,30212625.0,701964.7851,24.1407,1.2234,6.1754
2018-09-30,1017.45,18719420.0,671729.5007,23.1004,1.1707,6.1754
2018-10-31,830.25,36513993.0,548135.2181,18.8501,0.9553,6.1754
2018-11-30,862.82,33411752.0,569638.4532,19.5896,0.9928,6.1754
2018-12-31,822.33,25466485.0,542907.3674,18.6703,0.9462,6.1754
2019-01-31,718.14,32072968.0,474123.3186,16.3048,0.8263,6.1754
2019-02-28,773.97,31746675.0,510986.808,17.5724,0.8905,6.1754
2019-03-31,854.55,25235530.0,564186.5155,33.3055,0.9724,6.1754
2019-04-30,897.63,32285489.0,592627.6447,34.9845,1.0214,6.1754
2019-05-31,882.59,40871014.0,582707.3703,34.3983,1.0043,6.1754
2019-06-30,910.48,28994568.0,601120.4235,35.4852,1.036,6.1754
2019-07-31,785.23,36587004.0,518433.0076,30.6036,0.8935,6.1754
2019-08-31,708.13,38888967.0,467572.4302,27.599,0.8058,6.9723
2019-09-30,727.21,34086680.0,480166.8631,28.3424,0.8275,6.9723
2019-10-31,765.71,59013049.0,505585.9143,29.8428,0.8713,6.9723
2019-11-30,783.93,57310404.0,517720.6542,30.5532,0.892,6.9723
2019-12-31,740.71,40999173.0,489172.1802,28.8684,0.8429,6.9723
2020-01-31,775.82,41233518.0,512359.5928,30.2368,0.8828,6.9723
2020-02-29,684.48,46016300.0,452039.4302,26.677,0.7789,6.9723
2020-03-31,474.21,75266442.0,313178.0744,7.1853,0.553,6.9723
2020-04-30,502.9,49075447.0,332122.6838,7.62,0.5865,6.9723
2020-05-31,586.87,55875314.0,387578.257,8.8922,0.6844,6.9723
2020-06-30,617.25,54809201.0,407641.2863,9.3526,0.7198,6.9723
2020-07-31,630.54,59954290.0,416424.3846,9.554,0.7353,6.9723
2020-08-31,672.18,80400684.0,444002.8579,10.1849,0.7839,3.9842
2020-09-30,741.25,81664472.0,489630.1798,11.2315,0.8644,3.9842
2020-10-31,775.27,43305395.0,512098.4324,11.7469,0.9041,3.9842
2020-11-30,872.28,51585322.0,576190.2623,13.2169,1.0173,3.9842
2020-12-31,924.18,47468569.0,610479.8585,14.0032,1.0778,3.9842
2021-01-31,1051.47,61023479.0,694565.9995,15.9319,1.2262,3.9842
2021-02-28,1196.04,43088173.0,790067.5908,18.1225,1.3948,3.9842
2021-03-31,1444.81,41609726.0,954526.9195,23.0685,1.4574,3.9842
2021-04-30,1396.2,33713196.0,922414.332,22.2925,1.4084,3.9842
2021-05-31,1465.37,40197490.0,968115.5451,23.3969,1.4782,3.9842
2021-06-30,1492.81,29828201.0,986294.1507,23.8351,1.5059,3.9842
2021-07-31,1545.21,24786272.0,1020909.074,24.6716,1.5587,3.9842
2021-08-31,1494.46,24066065.0,987420.1433,23.8613,1.5075,8.9644
2021-09-30,1662.84,28698734.0,1098767.503,26.5498,1.6774,8.9644
2021-10-31,1714.28,34264633.0,1132761.537,27.3712,1.7293,8.9644
2021-11-30,1655.87,19621297.0,1094266.761,26.4385,1.6703,8.9644
