EIH IN Equity,price,volume,mc,pe,bm,div
2016-02-29,105.24,1631529.0,61329.4028,97.5455,2.3498,1.0789
2016-03-31,102.3,1482773.0,59614.6945,45.5459,2.1832,2.1578
2016-04-30,100.83,2104593.0,58757.3403,44.8908,2.1518,2.1578
2016-05-31,104.11,2689075.0,60672.098,46.3537,2.2219,2.1578
2016-06-30,110.78,1887027.0,64558.7703,49.3231,2.3642,2.1578
2016-07-31,115.59,3027766.0,67359.4606,51.4629,2.4668,1.0789
2016-08-31,107.89,2190199.0,62872.6404,48.0349,2.3025,1.0789
2016-09-30,108.04,2263031.0,62958.3758,48.1004,2.3056,1.0789
2016-10-31,109.31,5475183.0,63701.4161,48.6681,2.3328,1.0789
2016-11-30,100.53,1739200.0,58585.8694,44.7598,2.1455,1.0789
2016-12-31,93.23,926694.0,54327.677,41.5066,1.9896,1.0789
2017-01-31,97.54,1637810.0,56842.5826,43.4279,2.0817,1.0789
2017-02-28,100.49,2671260.0,58557.291,44.738,2.1445,1.0789
2017-03-31,118.14,4402164.0,68845.5412,66.9167,2.4759,1.0789
2017-04-30,129.47,4887084.0,75447.1685,73.3333,2.7133,1.0789
2017-05-31,133.54,6438342.0,77819.1817,75.6389,2.7986,0.0
2017-06-30,133.64,6202896.0,77876.3387,75.6944,2.8007,0.0
2017-07-31,136.09,4576773.0,79305.2623,77.0833,2.852,0.8827
2017-08-31,131.92,2404409.0,76876.0921,74.7222,2.7647,0.8827
2017-09-30,132.51,2111970.0,77219.0338,75.0556,2.777,0.8827
2017-10-31,151.05,3032427.0,88021.6965,85.5556,3.1655,0.8827
2017-11-30,147.22,3098822.0,85792.572,83.3889,3.0853,0.8827
2017-12-31,142.32,6927081.0,82934.7249,80.6111,2.9826,0.8827
2018-01-31,187.63,13271770.0,109341.2327,106.2778,3.9322,0.8827
2018-02-28,170.47,4091976.0,99338.7642,96.5556,3.5725,0.8827
2018-03-31,156.05,10166974.0,90936.6938,50.6688,3.1545,0.8827
2018-04-30,172.72,23060550.0,100653.3738,56.0828,3.4915,0.8827
2018-05-31,173.36,5459593.0,101024.8939,56.2898,3.5044,0.8827
2018-06-30,166.54,5429821.0,97052.4865,54.0764,3.3666,0.8827
2018-07-31,165.42,5490832.0,96395.1817,53.7102,3.3438,0.8827
2018-08-31,176.16,3705323.0,102653.8668,57.1975,3.5609,0.8827
2018-09-30,145.11,3709842.0,84563.6948,47.1178,2.9334,0.8827
2018-10-31,158.79,3401267.0,92537.0881,51.5605,3.21,0.8827
2018-11-30,191.26,3404986.0,111456.0357,62.1019,3.8663,0.8827
2018-12-31,194.15,4721685.0,113142.1655,63.0414,3.9247,0.8827
2019-01-31,197.98,6624733.0,115371.2862,64.2834,4.0021,0.8827
2019-02-28,181.99,4719065.0,106054.7048,59.0924,3.6789,0.8827
2019-03-31,202.0,12127289.0,117714.7208,89.5435,3.9325,0.8827
2019-04-30,185.23,3905528.0,107940.8838,82.1087,3.606,0.8827
2019-05-31,181.06,5823527.0,105511.7138,80.2609,3.5248,0.8827
2019-06-30,179.44,3014397.0,104568.6243,79.5435,3.4933,0.8827
2019-07-31,162.47,2142704.0,94680.4734,72.0217,3.163,0.8827
2019-08-31,157.81,3985557.0,91965.5187,69.9565,3.0723,0.8827
2019-09-30,179.34,4332539.0,104511.4673,79.5,3.4914,0.8827
2019-10-31,164.34,1728455.0,95766.4553,72.8478,3.1993,0.8827
2019-11-30,157.47,4455947.0,91765.4694,69.8043,3.0656,0.8827
2019-12-31,139.91,5994756.0,81534.3769,62.0217,2.7238,0.8827
2020-01-31,137.41,4249494.0,80076.8749,60.913,2.6751,0.8827
2020-02-29,129.32,1937918.0,75361.4272,57.3261,2.5176,0.8827
2020-03-31,64.54,3830086.0,37609.2674,25.3077,1.1991,0.8827
2020-04-30,74.1,3846256.0,43182.0692,29.0577,1.3767,0.8827
2020-05-31,65.08,6707331.0,37923.6306,25.5192,1.2091,0.8827
2020-06-30,62.33,19915516.0,36323.2363,24.4423,1.1581,0.8827
2020-07-31,63.61,29034304.0,37066.2765,24.9423,1.1818,0.8827
2020-08-31,86.02,65906812.0,50126.6376,33.7308,1.5981,0.8827
2020-09-30,80.6,28553825.0,46880.7958,31.6062,1.4975,0.0
2020-10-31,75.1,9142547.0,47395.2082,29.4494,1.3953,0.0
2020-11-30,89.85,22234472.0,56619.3299,35.2334,1.6693,0.0
2020-12-31,90.05,28617737.0,57661.6035,35.3119,1.6731,0.0
2021-01-31,93.0,15828925.0,59665.1224,36.4687,1.7279,0.0
2021-02-28,96.7,19739206.0,62178.0105,37.9196,1.7966,0.0
2021-03-31,92.95,21601842.0,59631.1645,36.4491,1.8724,0.0
2021-04-30,86.7,16135378.0,55386.421,36.4491,1.7465,0.0
2021-05-31,109.45,21641499.0,70837.2872,36.4491,2.2048,0.0
2021-06-30,111.95,25580705.0,72535.1845,36.4491,2.2551,0.0
2021-07-31,111.25,19362798.0,72059.7733,36.4491,2.241,0.0
