NFIL IN Equity,price,volume,mc,pe,bm,div
2016-02-29,257.5,2287095.0,12601.1452,23.0446,2.1404,3.7
2016-03-31,337.74,3021785.0,16527.8083,19.774,2.5611,3.7
2016-04-30,348.57,848100.0,17057.791,20.4081,2.6432,3.7
2016-05-31,414.78,3381635.0,20297.8745,24.2845,3.1453,3.7
2016-06-30,406.71,750590.0,19902.9589,23.8121,3.0841,3.7
2016-07-31,466.03,2897605.0,22805.8695,27.2851,3.5339,4.2
2016-08-31,475.61,3767385.0,23274.6828,27.846,3.6066,4.2
2016-09-30,444.66,763385.0,21760.0986,26.034,3.3719,4.2
2016-10-31,516.35,3145405.0,25268.3547,30.2313,3.9155,4.2
2016-11-30,474.77,1945720.0,23233.5768,27.7968,3.6002,5.9
2016-12-31,505.33,522370.0,24729.0734,29.5861,3.8319,5.9
2017-01-31,532.36,1792415.0,26062.4749,31.1686,4.0369,5.9
2017-02-28,507.3,741185.0,24835.6247,29.7014,3.8469,5.9
2017-03-31,608.65,1389350.0,29797.3645,109.038,17.8389,5.9
2017-04-30,628.12,1243185.0,30750.5485,112.526,18.4095,5.9
2017-05-31,582.72,1196360.0,28527.9228,104.3927,17.0789,5.9
2017-06-30,607.09,4328065.0,29877.1656,108.7585,17.7932,6.3
2017-07-31,702.3,2228504.0,34601.7828,125.8151,20.5837,6.3
2017-08-31,659.2,2274388.0,32478.2789,118.0939,19.3205,6.3
2017-09-30,698.15,1241528.0,34417.9103,125.0717,20.4621,6.3
2017-10-31,742.25,1464015.0,36591.9844,132.9721,21.7546,6.3
2017-11-30,692.45,975979.0,34169.333,124.0505,20.295,6.0
2017-12-31,830.45,1371716.0,40979.0203,148.7728,24.3396,6.0
2018-01-31,794.85,879801.0,39222.3184,142.3952,23.2962,6.0
2018-02-28,810.1,1733220.0,39956.8256,145.1272,23.7432,6.0
2018-03-31,772.85,3887594.0,38119.5317,21.174,3.8781,6.0
2018-04-30,772.0,1025669.0,38081.6599,21.1507,3.8739,6.0
2018-05-31,688.9,956730.0,33985.2626,18.874,3.4569,6.0
2018-06-30,630.15,1024475.0,31086.9694,17.2644,3.1621,6.0
2018-07-31,670.2,3822965.0,33062.742,18.3616,3.363,10.0
2018-08-31,688.8,981967.0,34039.4352,18.8712,3.4564,10.0
2018-09-30,690.2,1263487.0,34108.6211,18.9096,3.4634,10.0
2018-10-31,651.1,901793.0,32176.3593,17.8384,3.2672,10.0
2018-11-30,705.35,1174472.0,34857.3108,19.3247,3.5394,10.4
2018-12-31,698.9,1200868.0,34540.8366,19.1479,3.5071,10.4
2019-01-31,629.0,894296.0,31094.571,17.2329,3.1563,10.4
2019-02-28,594.6,583484.0,29394.0094,16.2904,2.9837,10.4
2019-03-31,707.6,693871.0,34980.1565,23.4538,3.2622,10.4
2019-04-30,670.6,967329.0,33151.0641,22.2274,3.0916,10.4
2019-05-31,738.45,824514.0,36505.2241,24.4763,3.4044,10.4
2019-06-30,707.0,720121.0,34950.4955,23.4339,3.2595,10.8
2019-07-31,622.8,741400.0,30790.4784,20.643,2.8713,7.8
2019-08-31,730.4,1083102.0,36110.0922,24.2095,3.3673,7.8
2019-09-30,733.65,1974032.0,36272.9802,24.3172,3.3823,7.8
2019-10-31,897.5,1990233.0,44374.02,29.7481,4.1377,7.8
2019-11-30,871.95,1687931.0,43110.7819,28.9012,4.0199,8.0
2019-12-31,1006.95,2318388.0,49792.9525,33.3759,4.6423,8.0
2020-01-31,1144.5,3566213.0,56594.701,37.935,5.2764,8.0
2020-02-29,1430.2,6796845.0,70722.3603,47.4047,6.5936,8.0
2020-03-31,1221.65,6324127.0,60409.7129,14.79,4.2795,8.0
2020-04-30,1573.2,3929454.0,77793.6073,19.046,5.511,8.0
2020-05-31,1565.6,2952817.0,77417.7928,18.954,5.4844,8.0
2020-06-30,1622.0,4208158.0,80206.7322,19.6368,5.682,8.0
2020-07-31,1760.9,3488217.0,87075.2372,21.3184,6.1685,8.0
2020-08-31,1951.95,3627375.0,96522.5221,23.6314,6.8378,7.0
2020-09-30,2202.35,2979428.0,108972.1018,26.6628,7.7149,7.0
2020-10-31,2241.55,2352842.0,110892.8744,27.1374,7.8523,7.0
2020-11-30,2687.1,3899163.0,132934.908,32.5315,9.4131,8.0
2020-12-31,2612.2,2257275.0,129229.4915,31.6247,9.1507,8.0
2021-01-31,2292.1,3297508.0,113393.6595,27.7494,8.0293,8.0
2021-02-28,2544.9,2764332.0,125976.4564,30.8099,8.9149,8.0
2021-03-31,2755.0,5578463.0,136376.7289,52.9502,8.3469,8.0
2021-04-30,3428.2,8466099.0,169701.1623,65.8889,10.3866,8.0
2021-05-31,3224.8,6552600.0,159632.5501,61.9796,9.7703,8.0
2021-06-30,3749.25,7946716.0,185617.5316,72.0594,11.3593,8.0
2021-07-31,3657.25,6498530.0,180981.4849,70.2912,11.0805,11.0
2021-08-31,4027.6,7176092.0,199308.5046,77.4092,12.2026,11.0
2021-09-30,3684.75,4668800.0,182342.341,70.8197,11.1638,11.0
2021-10-31,3338.4,7364181.0,165202.9774,64.163,10.1145,11.0
2021-11-30,3741.0,5013749.0,185213.6366,71.9008,11.3343,11.0
2021-12-31,4188.5,4097818.0,207381.2633,80.5016,12.6901,11.0
2022-01-31,3934.3,2777742.0,194837.6897,75.616,11.9199,11.0
2022-02-28,3890.95,4149307.0,192690.8748,74.7828,11.7886,11.0
2022-03-31,4082.2,4829828.0,202195.1012,76.8486,10.9686,11.0
2022-04-30,3931.8,2717171.0,194745.6516,74.0173,10.5645,11.0
2022-05-31,3924.45,4225439.0,194381.5994,73.879,10.5448,11.0
2022-06-30,3651.6,2343581.0,180867.0892,68.7425,9.8116,11.0
2022-07-31,4383.35,7232079.0,217212.3725,82.5179,11.7778,11.0
2022-08-31,4274.45,3252587.0,211815.9457,80.4678,11.4852,11.0
2022-09-30,4490.85,5185436.0,222545.666,84.5416,12.0667,11.0
2022-10-31,4551.75,4244771.0,225563.5871,85.6881,12.2303,11.0
2022-11-30,4342.45,2720162.0,215191.6513,81.7479,11.6679,11.0
2022-12-31,4069.25,2761261.0,201676.0586,76.6049,10.9338,11.0
2023-01-31,3946.15,2873417.0,195579.2244,74.2875,10.6031,11.0
2023-02-28,4128.1,4123349.0,204656.1304,77.7127,11.092,11.0
2023-03-31,4270.6,2283702.0,211720.7603,56.4148,9.6889,11.0
2023-04-30,4850.2,2629835.0,240455.2128,64.0713,11.0039,11.0
2023-05-31,4665.1,4143797.0,231278.6304,61.6262,10.584,11.0
2023-06-30,4502.0,2793600.0,223192.7277,59.4716,10.2139,11.0
2023-07-31,4264.75,4392591.0,211432.6791,56.3375,9.6757,12.0
2023-08-31,4604.85,4647212.0,228295.9148,60.8303,10.4473,12.0
2023-09-30,3766.7,5652215.0,186742.7217,49.7583,8.5457,12.0
2023-10-31,3438.25,7729719.0,170459.0658,45.4194,7.8005,12.0
2023-11-30,3701.1,3711700.0,183490.4525,48.8917,8.3969,15.0
2023-12-31,3853.2,3261609.0,191031.156,50.9009,8.742,15.0
2024-01-31,3417.5,5273332.0,169434.1649,45.1453,7.7535,15.0
2024-02-29,3021.1,6420738.0,149781.2891,39.9089,6.8541,15.0
2024-03-31,3114.3,3762820.0,154401.9955,57.0698,6.4796,15.0
2024-04-30,3419.25,6409905.0,169523.1154,62.6581,7.114,15.0
2024-05-31,3187.4,5935430.0,158060.0902,58.4094,6.6316,15.0
2024-06-30,3574.25,5917944.0,177243.6083,65.4984,7.4365,15.0
2024-07-31,3800.95,6069260.0,188485.4426,69.6527,7.9082,15.0
2024-08-31,3298.4,4493729.0,163564.473,60.4435,6.8626,15.0
2024-09-30,3441.35,3324016.0,170653.2256,63.063,7.16,15.0
2024-10-31,3329.85,5636943.0,165125.6632,61.0198,6.928,15.0
2024-11-30,3507.9,1998391.0,173955.0772,64.2826,7.2985,12.0
2024-12-31,3245.8,2667513.0,160957.664,59.4796,6.7532,12.0
2025-01-31,4148.7,10986700.0,205734.5516,76.0253,8.6317,12.0
2025-02-28,3762.25,4348343.0,186570.4478,68.9436,7.8277,12.0
2025-03-31,4210.85,2522315.0,208816.5779,72.3514,7.9512,12.0
2025-04-30,4521.6,4779266.0,224226.7092,77.6907,8.538,12.0
2025-05-31,4261.2,3847054.0,211313.4407,73.2165,8.0463,12.0
2025-06-30,4820.1,3405936.0,239029.9881,82.8196,9.1016,12.0
2025-07-31,5047.8,3674926.0,258411.1117,86.732,9.5316,12.0
2025-08-31,4687.5,1783876.0,240081.4406,80.5412,8.8512,12.0
2025-09-30,4621.5,1921303.0,236724.2014,79.4072,8.7266,12.0
2025-10-31,5687.4,7231563.0,291322.1299,97.7216,10.7393,12.0
2025-11-30,5735.5,6420336.0,293881.9957,98.5481,10.8301,13.5
2025-12-31,5920.0,3805543.0,303352.4861,101.7182,11.1785,13.5
2026-01-31,6099.0,3021487.0,312524.7994,104.7938,11.5165,13.5
2026-02-28,6256.5,6727605.0,320636.7032,107.5,11.8139,13.5
2026-03-31,6526.5,889917.0,334473.8182,112.1392,12.3237,13.5
