GUJGA IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2022-08-31,0.3158505681169901,-1.1506342809142096,-1.8596150075136668,1.7533574114152193,1.5633556810769957,0.1134982173711007,-0.5500795367462273,0.816031691309939,-1.663031996317614,-1.965126847554092,-0.48009636351332735,-1.6699995618038814,-1.9596877113357958,-0.35154894600361714,0.06463788027124119
2022-09-30,0.39207833410084847,0.6835034476482724,-1.4203994945485616,-2.46290421021601,1.3852004056240692,-0.08974841404441465,-0.6779845058754738,0.6415731918799027,-1.333962080631388,-1.548322405841746,-0.019517243065305175,-1.3660544060245416,-1.4447839243756304,-0.24427820701202502,0.0300458085846632
2022-10-31,0.07720329862233358,0.4843832654445452,-1.2267165194682177,-1.8306557165830666,1.3132606328723582,-1.2887646152954741,-0.5052390445118554,0.7642776927426466,-1.167520197959744,-1.3934578297274027,0.10149338713254033,-1.2124896773970584,-1.2291867434873223,-0.06028045839196231,-0.03882742374504782
2022-11-30,-0.49983758421036045,-0.016080719973424966,-1.288217552070372,-1.05546449512858,0.7276370438206099,-0.89884751315807,-0.930285166528576,1.5351598915018279,-1.15927846829774,-1.6168773639715563,-0.03527866268757392,-1.284847547896454,-1.306861229173614,-0.11178349111010773,-0.025788231103850152
2022-12-31,-0.3356737329107772,-0.4543889432344125,-1.1550359565185604,-1.2615266467264428,-2.7576738490953385,-0.6482267274517742,-0.522113135765547,2.0126422900052883,-1.0780384175781497,-1.7252892430877416,-0.3373240895166296,-1.7752399871210496,-1.1685587288703896,-0.17353487227125142,-0.061943242537455354
2023-01-31,-0.6011755990266476,-0.8615436721297293,-1.2051032966730009,-1.4828357853825662,-2.078598948569032,-1.1687005940312805,0.09551135831009398,2.8451238361771694,-1.0643915969482358,-2.080826700880459,-0.7044512521809495,-1.7483234691671123,-1.272885423470831,0.06951885786091631,0.09978641414665937
2023-02-28,0.7487120145068697,-0.10965270584674829,-0.8571030973878104,-0.30561500625990284,-1.5733635131933015,-0.9121881038143734,-0.04679800724772379,1.2849217015387502,-0.7235638718776799,-1.2314994665850207,-0.1068796809473951,-0.971704148339057,-0.8011047177512857,-0.2088915014680725,-0.09400384389026936
2023-03-31,-0.8791655254381162,-0.39863053548022925,-0.7220896946323003,0.047872221616738896,-1.2426118516776892,-1.6368416751584223,-1.2137588137459943,3.6794627317145023,-1.1773462929091651,-1.643434395075446,-0.5666655640373944,-0.7672048152762959,-0.6996771256307643,-0.10451889901089148,0.017577419179598354
2023-04-30,0.23340414516451852,0.1201007978294864,-0.570843240888278,-0.02602687538201899,-1.1872433464953185,-0.9666657808454627,-0.29741526366843374,2.364546799627784,-0.9594024652796437,-1.3581823758382903,-0.2399519991965896,-0.5731726607940653,-0.5011516771682827,-0.1591255185027337,0.07978777241337587
2023-05-31,0.7939653728781418,0.09568302805649424,-0.6129565070837812,-0.13701611495177077,-0.8392400155455255,0.7577030980176781,0.6618921119885771,1.331667587780028,-0.686183957804322,-0.7648819873312213,0.4853723014810686,-0.6434845899500383,-0.5786863488492864,-0.2798196842597535,-0.08557681087909887
2023-06-30,-0.766745301466156,0.17013365805420708,-0.21436795365256325,-0.22690145096513736,-0.5608478654897419,0.09805181769399572,1.1163241782959914,1.6430610041144145,-0.6904375079615778,-1.1430076209130866,-0.16443595832485822,-0.16380363397005515,0.004255547419587262,-0.23041986694112931,0.03725041597797121
2023-07-31,0.5192969410043028,0.3527878406782139,-0.19949145714926644,-0.1552193035718487,-0.5982224942452264,0.7844503920502592,0.9861962890583625,1.1353397228690751,-0.5092441681142528,-0.7665355239833676,0.2073456935080008,-0.1642241763398298,-0.016013723427724166,-0.014415699401639925,-0.07159324856206467
2023-08-31,-0.5602473036642066,-0.6318066303229382,-0.36864134772019425,-0.46415275841479975,-0.7904849007178673,2.4833827934082304,0.2479141429690429,1.4236671112181056,-0.5323273476242953,-1.1932504717595687,-0.23998148958236212,-0.39752946462064687,-0.32391243629552613,-0.2980187016137345,-0.060666349625939676
2023-09-30,-0.4126576605968418,-0.37377813662972437,-0.538888980066868,-0.5634447272422991,-0.9265139186235951,1.268053360493915,0.5164605666625357,1.5541564355915751,-0.5209010737890576,-1.5412946450098717,-0.7415128982888088,-0.681461179692541,-0.67075380308506,-0.4296992229146779,-0.033298346518735616
2023-10-31,-0.16725439230854652,-0.9471924283342551,-0.6012031220604447,-1.2124826553734591,-0.9045150337767637,0.25565007040517684,-0.10759264469799712,1.4448965832389942,-0.4470790280333808,-1.5929040700027068,-0.8287517162920345,-0.8057266362393012,-0.848125664443205,0.08227424123850625,0.05724669037644195
2023-11-30,0.7711159092250567,0.14783468202427885,-0.32956418206112753,-0.4497926985213111,-1.0213686496285266,-2.0825409871600336,-2.476890189045743,0.8129699971966988,-0.18138077122327748,-0.8969139925948835,0.24494229639486115,-0.5148904789414337,-0.4076760341816064,1.1770804235408214,0.0633979656067577
2023-12-31,0.847119671126735,1.1726626045570185,0.030496809271017097,-0.5469722548845554,-0.9111369636855725,1.0989840714744343,0.12276495056972309,0.2132047746377667,0.21187399961230366,-0.0360169463269449,1.1113838799158668,-0.07787909861713295,0.10588060539509284,-0.06385943224493756,0.23078492076439786
2024-01-31,2.5066374544419645,3.2681098720027504,1.490321853597014,0.19116931902623138,0.5118344759899293,2.4928632221015956,1.3052837976267475,-1.6284697780535067,2.028489114544206,3.8585565307865513,3.8857325144382897,1.0750061751149163,1.7700044294984387,2.700620778343805,-0.027821966326050582
2024-02-29,-0.20016214521145512,2.089982005582983,1.3774608505842936,0.7087131019179722,0.2925792993328455,0.7198104598090371,2.296419750125728,-1.5793290457789257,2.7851015810094557,2.932035172321936,2.108801245578652,1.2460261207182464,1.3878752717088392,0.1704357775706634,-0.038036308266597395
2024-03-31,-0.3502410454544109,1.1877144249135538,1.8180709319582897,1.0254819001915918,0.17202703559386465,-1.1702106449953087,-1.1944513026863157,-3.1291220813274516,1.1439681770944612,1.962456420630148,1.0121922749551562,1.656329254518429,1.5405486598195763,-1.3483076786129469,0.004308573379310888
2024-04-30,0.010404882680160541,-0.37301559953585584,1.552378175578801,-1.0976932823022016,0.04571900219663944,-0.05264803444622664,-1.0576424321368165,-2.463783878071427,1.225205490739323,1.7277317218941242,0.5216781333116048,1.4749154882178674,1.3506085649212627,-0.33688321134029664,0.008652542710719836
2024-05-31,0.03447243441439606,-0.2337030463082718,0.9858576977056223,-0.9937040776646905,0.0703318597891662,-0.16283147999092765,-0.46030988444778603,-2.124312342689309,1.391885486938202,1.6934463485659983,0.1574883838698599,0.9630702483789086,0.9233089409841846,-0.33491906382431735,0.13088665416615902
2024-06-30,1.3801415763502245,0.9877608887118816,2.3802027585047387,-0.19127091703006524,0.2654614742709555,0.4659738935030873,1.4481940074100563,-2.131856539513282,3.2083349914846813,2.529516889860076,1.0197055985540064,2.0948406103535286,1.7950185070735836,0.4310085876205633,0.07721737093675479
2024-07-31,0.7860377924653352,1.4566054790192442,2.3720529242409834,-0.2926263464310009,-0.8170287952921651,-0.035058610569114586,0.06949855741881636,-1.8535106605111815,3.651053338365546,2.3026167590323467,1.6268198657718531,3.129819563362172,1.7367715005846331,-0.7826135355677271,-0.11202742596378867
2024-08-31,-1.6787995174382275,0.4509618760550584,1.830617380535476,1.218943036334011,-0.16049319829989617,-0.4373544656068175,-0.16237522628786014,-1.31121720730723,1.5845082406219029,1.140845318725531,-0.05420378318226464,1.7385582862302407,1.5597614668496316,-1.4130848280058614,0.018689081929399474
2024-09-30,0.1010500747299962,-0.4654349958770481,2.203197434779622,0.7376228543202547,-0.1938401018457965,3.076604925220216,1.8999524078779704,-1.1781527039756077,1.7172575208212573,1.0624061124340332,-0.0974073942658087,2.1144329379389384,1.8257929321351916,7.3504234178931664,-0.17494263852374922
2024-10-31,-2.2870884857223723,-2.374374394326143,1.0721130976232294,0.7246593603037988,1.167394670755019,-0.598416943077118,-0.6598453151331862,-0.7012898085750433,-0.09392879325463302,-0.005135879751456669,-1.9035261426264607,0.7558645915384662,1.1427180642238082,-0.960465855586849,-0.07892772386165364
2024-11-30,-0.8937446704356214,-1.815017609349927,0.2712899426616045,0.6055729242789096,1.533983400380635,-0.7524790018224182,-0.47272367717103536,-0.4661089403112773,-0.7309358555413897,-0.4517210844626389,-2.2265529018200096,0.23517173795469812,0.425082702897155,-0.5899216090713758,0.03873957766426746
