ESCORTS IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2017-11-30,-0.8829293614466753,-0.2571390208745708,0.1203454436500447,-0.13297345663144503,-2.006650461352326,-0.8551034269410543,-0.49588022847219176,0.2520474750355962,-0.5056520011535094,-0.4584645671890666,-0.5436214976728998,1.0228028212974731,0.18640154380339694,-1.1183563266543386,0.09198217876119079
2017-12-31,0.2456423853563437,-0.01317098982463858,0.5768279526809155,-0.03598735299499583,-1.9236598964149814,0.8719116800759633,0.5143861619940489,-0.07214224224337742,-0.320816829882068,-0.3763172964696212,-0.2245142233502283,1.9393619766921355,0.4315208481524106,1.1961485421095843,0.030392534362365522
2018-01-31,-0.2467137346315649,-0.42092958139503883,0.019406555696546722,-0.6472609088939337,-1.7136810516070633,0.049858626581468446,0.2545656825178837,-0.2083499541581434,-0.35240483017465346,-0.40006891416749013,-0.25518771119313144,0.9126781349914111,-0.04543403076153809,-0.013102075214600148,0.09522618266017834
2018-02-28,0.17466286591879504,0.07798925663346883,-0.34520877949454154,-1.3963897774125464,-1.692077926261641,1.1279437535516488,0.679485478914369,-0.42167237921657097,-0.24674911057389146,-0.37924654542099795,-0.0943314481567272,0.47137697085068586,-0.40481366543399816,0.9617779943138206,-0.08743401512348113
2018-03-31,-1.4927628469620458,-0.7601082302826461,-1.0478608256496875,-0.14616204074267553,-0.9085105427967467,-1.9169281119142747,-1.3614266008523113,0.21812909526955912,-2.810878880265019,-0.9390905629329629,-0.9382906433382715,-0.9305581202006904,-0.7671047821815777,-0.8538570001153802,0.20506148187964074
2018-04-30,1.1097139481387561,-0.07715979266716817,-0.6754911073927709,1.0866876644436194,-0.347731267972813,0.03128164209512631,-0.15572581662686796,-0.26342110355530174,-1.5394354897768037,-0.5567636007507437,0.015019425586014086,-0.6685323280326178,-0.6204770019063779,0.04737624836106762,-0.07423052962183789
2018-05-31,-1.2497607189789306,-0.8299615496808489,-1.4121134252131575,1.4314954636493609,-0.19606884091520618,-0.20774577926214532,-0.5595340459240835,0.09744908880011442,-1.8538800382077876,-0.942561282907134,-0.788333787769549,-1.5546956373108805,-1.0537338943463905,-0.062435813602973116,-0.06742756358823117
2018-06-30,-1.1216667687998951,-0.6814975568511321,-1.368101067214002,1.1891236956886773,0.0021559545130734894,-1.716986913832317,0.08679334761718434,0.41421414019325764,-2.0606739686414866,-1.3071518066143526,-1.2635124429349933,-1.552637249813284,-0.9914367025051262,-0.5332219974293111,0.06269764345588325
2018-07-31,0.044121335109386754,-1.2591030672320105,-1.2548415506718746,-0.5025983949159557,0.13402905401866622,0.2605935901377412,-0.10935633019608378,0.1393918692461733,-1.6349814942716618,-1.0324758422726912,-0.9187604397938474,-1.4681068247603164,-0.9427029193933073,0.1313361501681659,-0.06487979661305608
2018-08-31,-0.9980834190164556,-1.1148264444823337,-1.2546888397609168,-0.5331774423042985,0.07296944989134661,-0.9916810754452193,-0.5128439757519598,0.3078256954054646,-1.9710077785251094,-1.460089354802907,-1.216831019223725,-1.444444210051598,-0.9344721915890427,-0.22649612725109405,-0.3518003823152484
2018-09-30,-3.422236495104545,-2.4245367061812706,-1.7280366295658263,2.215737245822338,2.3556032031153675,0.163996648193496,1.0741004053695882,1.9117243592831323,-3.6006276230076626,-3.846009774652205,-2.887979872836297,-1.8642784836726547,-1.3590896922988152,0.23938389870850765,0.02454110891611766
2018-10-31,0.030579634187499174,-2.3441460308740507,-1.679472493279722,1.6597198195988705,0.8058723506350051,2.6860672674748605,0.8151453520134978,1.496339063797267,-2.8730367643758967,-3.210946179216425,-2.085942955405076,-1.8183222228415878,-1.4076320179222344,0.01202396485858172,0.1168256397000562
2018-11-30,0.6934768038281437,-1.2598221408110475,-1.347274799621239,2.4532139434553186,1.4130079017888293,1.7817712814414732,1.3730214848324855,0.6321600957678598,-2.101153068726263,-2.174709507757113,-1.0133055039245777,-1.4673971415400435,-1.120323500513284,0.3263454136007116,0.001984690189324336
2018-12-31,-0.2282994611796474,0.28858273950680274,-1.354946338974374,-0.9560877970853434,1.3764727142347335,1.5572213048201382,0.773658654651388,0.47977644578110645,-1.979975637925137,-2.0877145673748054,-0.7534652994780768,-1.4523574539600155,-1.1692550295445796,0.2115639111541044,-0.06812327983685729
2019-01-31,-0.7913664331466308,-0.17049752001322915,-1.362897984380119,-0.4052469259505606,1.1074454509544118,2.3061112032004636,0.2960751941022243,0.8049891553402718,-2.083255619088174,-2.5836444901053497,-0.8052797481831303,-1.448551958806628,-1.22487292980416,-0.09456317437692154,-0.003036746943473666
2019-02-28,-0.2169812731661239,-0.7093967751292982,-1.3243718028370868,-1.262359802220532,1.1376022269897146,0.75092809898487,-0.26725209726731247,0.7977189316452978,-1.8297404574174205,-2.4451719799671556,-0.4863509641173236,-1.3856866161778085,-1.2290679855083317,0.09432912585593717,0.19106515420004339
2019-03-31,1.4341176152954966,0.19071675502433558,-0.9824402091616311,0.43207907773437354,-0.941491832672297,1.8950496520092208,0.4638483816508001,1.935492989968269,-1.598270505296755,-0.7163597942270604,0.5000733045333999,-1.0931090073965595,-0.8781886211605009,0.25313689968209757,-0.07449940414741175
2019-04-30,-0.7398199890639419,0.28664336268380314,-1.2156599155973478,0.4142854000842099,-0.493711025831375,-1.0566506327560101,-1.7897236651578454,2.5749854439384214,-1.6124206151120966,-1.4148228626254555,-0.1145425658246686,-1.3000235517210716,-1.2350066657188572,0.6155902037063803,-0.2116554553797854
2019-05-31,-1.8064934337186134,-0.7634211893830523,-1.255684146744617,1.567546450530862,0.39471336602653545,1.6179218427571551,0.8061666149147002,3.484323757583244,-1.7904431218077246,-3.1353713427318746,-1.2620918325453616,-1.2191612940576402,-1.5093537340727654,-0.8871967028371431,-0.10853377733206125
2019-06-30,-0.8345266104793856,-2.527308353604671,-1.3423952958782603,-0.7915830649352826,0.479535669323479,-0.05856883287494586,-0.7543925966586172,2.6169860678511307,-1.6469387363631034,-3.2061793709917983,-1.7412246028542777,-1.1883022491844126,-1.7466111759926086,0.21560086935324085,-0.13234705501644495
2019-07-31,-1.0071135211775655,-2.4778895952165727,-1.457999297403116,-1.019299315720024,0.6114615600714942,1.869122023690099,2.2266145069748906,2.2045588807455383,-1.5041479134457234,-2.983619648805902,-2.104186710807653,-1.1971685969435837,-2.2233853041898097,-1.5888731542712609,0.08217649964140052
2019-08-31,0.7695690326082849,-0.6551592424561514,-1.2359982112061096,0.10735224463748388,0.9167464438543764,0.9002697602849211,0.024704307888480305,1.1551199482099792,-1.1334694107853074,-1.9119937730366476,-1.1356524594579198,-0.9896325736967638,-1.646719471394098,-0.6269739473044578,0.12882856410692073
2019-09-30,1.0891595030616317,0.5542483725892168,-0.5490035203301933,0.4299832759470675,0.2997224881153629,2.4206824733821293,2.100687219678963,0.4076527256703414,-0.7716844060442642,-1.1115798687401162,0.23604588021891112,-0.5815559425248209,-0.37697624319899387,0.08373657954918684,0.1276231314390765
2019-10-31,1.0195565460832183,1.8314829023783639,-0.33006253402801095,-1.59035730086459,0.823807085294795,0.3412188888826871,-0.13560260649043113,-0.13784488136363277,-0.43350874350829244,-0.4660408526082185,1.4534253620662991,-0.4337624126751431,-0.06355785112458547,0.42385778490291187,-0.03417092321781457
2019-11-30,-0.21768535185482327,1.1443747900149273,-0.5228236099044594,-0.358102209394723,-0.19309247676011568,-1.0818605295032544,-1.109733336341419,-0.11518419687272985,-0.37372224493509953,-0.5323719678773349,1.0236983957780177,-0.5515094943409841,-0.38531345010979773,0.4345629642714984,-0.011998880932700002
2019-12-31,-0.05415526754801862,0.4500568055033109,-0.4819709284900928,-0.4534986090788069,-0.6914833409280875,-0.7515043882847792,-2.0245930605869273,-0.16508803432865995,-0.27659167305643234,-0.4885158211039027,0.6796046410821467,-0.5229493446475911,-0.35739513009863094,0.2968515822390186,0.2440791539119564
2020-01-31,1.9830293656109488,1.0181722042424028,0.2944135552199825,0.665480190850037,-0.8215086375699479,0.657940656063399,0.18213988375464735,-1.0396877948106018,0.46767423444425177,0.6392512004839555,1.963300291355273,0.13589922752187447,0.6248222909222688,1.0568838815860733,-0.02974173442088251
2020-02-29,-0.21290911433792034,0.9947029752855157,0.37418689392484655,0.587712442122267,-0.5138774347122458,0.30042458876902,1.245803135641304,-1.018409289714366,0.590691426070868,0.5783247143231117,1.016737344550207,0.20091700115140193,0.6862865433365849,0.7348774237737913,-0.16325062672847193
2020-03-31,-1.1563653670841505,0.30546916759428144,-0.5365817594262379,1.4606135420061017,0.496160269254812,0.19413380587916745,0.8491738301623227,-0.5837689592695758,-0.3361933718201978,-0.10739209759569522,-0.2600696679104718,-0.5291049385477204,-0.397610555266977,0.1336733004293151,0.07380069369502801
2020-04-30,0.5935402528578879,-0.4794176148505603,-0.04823764102213525,-0.14152893064708025,0.1707420312747877,-0.0977223064048139,-0.4547940114575813,-0.9307735337755682,0.040310385211795724,0.39709670028035937,0.16159826107067998,-0.11224804395967862,0.1701731613118948,0.4062103765383044,0.23602718646692614
2020-05-31,1.8845938507008932,0.8223513908593197,2.227229895015372,1.239136717882732,1.1241087671752403,0.08588323460204822,-0.15879487042590926,-1.8545664848114656,1.4672503426501018,1.8402226551917482,1.5818127544311937,1.7154959028277,1.9187316675877477,1.7214160244040275,0.14097662210766876
2020-06-30,1.0054900737887673,2.2035432467665665,3.6921308511477924,-0.7486223467317281,0.9821550782466905,-0.5859233364472679,-0.4676546099708756,-2.178487891069963,2.6828816713758328,2.370649133059438,1.9206883929057696,3.042906712705646,2.6655684870105425,0.46572876626614435,0.08653049215227894
2020-07-31,0.5510714118321693,1.9987198408851687,4.407476829254728,-0.7869878399877175,0.07154485498042723,-1.3697536207758496,-0.7495318553209125,-2.1894076577437276,3.3167775433857893,2.3279570061234853,1.8839762391331418,4.482592771780124,3.11809265637447,-2.6251140468140193,-0.0417777715293818
2020-08-31,-0.3477506470213289,0.6739703083723065,2.5749162825678398,-0.49230028142336557,0.10323469310529185,-2.109873357073118,-1.5629292371531156,-1.902955133348692,2.6505387894712196,2.051042617757593,0.9763833006784493,2.5923730905828233,2.1809944208728553,-4.458507076870466,0.19248337043504787
2020-09-30,1.2745152320034219,0.8292726701222413,2.517296139343108,-0.1278948849986459,-1.737051083264937,0.33704601435237347,0.05242676552120742,-1.978148742621043,3.222639490544131,2.0544440685134266,1.4753611340346855,3.67582014175289,1.8143901025819815,3.2976555127131735,-0.09334389395336999
2020-10-31,-0.9937579606888578,0.03130996070506839,1.3127728167677042,0.5312497361267167,-0.20631222325481674,-2.2134196859422492,-1.0880830441692837,-1.5299259676059418,1.8907937812924076,1.359490720339234,0.20611846269347278,1.262667497517962,1.1514749061433525,-2.1172411420202715,0.15610555203138174
2020-11-30,1.002566501424568,0.8216769895063425,1.8850752364703798,0.637972854630653,-0.8474665903211969,-2.079558772613215,-0.5520607108666415,-1.5330405745803624,2.1809179260984926,1.3784672877286832,0.7347780589178017,2.097922583614319,1.350067272077183,-3.2246888277226335,-0.1077893313882555
