IH IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2010-02-28,-0.1591742025715256,0.2616820703640524,2.6317472868275065,0.07973732666906636,-0.706559365868852,-0.9089921285644751,-1.5900411588350738,-0.8087238367279775,1.8124710082324886,1.2342243024958046,0.23638769149852706,2.4407752097652566,0.7512442600490002,-3.6788508555166013,0.132100303906699
2010-03-31,0.88775930457069,0.1173868878824349,2.3848790749687403,-0.4056581148983019,-0.9747666894882242,-0.17078883961832944,-0.1640157504163342,-0.7312661920516123,3.563761574788153,1.5399714709884695,0.6109031731823392,2.3664407444595152,0.7378618763373243,-0.8863380416011915,0.05698473150450277
2010-04-30,0.36671826848861583,0.5590404923470036,1.5358966130044505,-1.1047732487328104,-1.3575201248548299,-0.8755428588447911,-0.3694110898830459,-0.6520106743633951,2.934614440732362,1.5672091834763802,0.5443887699626685,1.6368709471511966,0.701942531677862,-2.0371172478368975,-0.03375760591138786
2010-05-31,-0.18570740828106228,0.5416008638982464,0.6692823123439554,-1.1697272801867664,-1.483953601655802,-0.7302454467292495,0.3640548288359397,-0.5820299089748996,2.2196724569870976,1.4277338576264205,0.2138844310555974,0.6810291686467331,0.6630275434134003,-0.7197317926893179,0.002419398434669626
2010-06-30,0.02955374503588215,0.10680540845261591,0.608971053223215,-1.9350238851533328,-2.4561223150513354,-0.9648322956016062,-1.0627943426137436,-0.5070161912318447,1.78484690962834,1.2889547912121153,0.1833776659443817,0.8967080545504019,0.648304591361078,-0.8414830235461631,-0.05796216803337258
2010-07-31,-0.4787784988795861,-0.3042609800712025,0.38728330557814006,-2.039927407458882,-2.395442913483849,-1.2334681311591662,-0.9936995326047203,-0.417171213104278,1.3939949532091005,1.0813361463395115,-0.16884914623055425,0.6608892079973104,0.6015768267899925,-0.7634551227931943,0.03865532031870856
2010-08-31,0.22485138176116948,-0.10503533456988015,0.5050012873208389,-1.5356929306730407,-2.173232424638336,0.23412513652354602,0.5917941622605114,-0.334630719626232,1.2805413202864249,1.0258451843305503,-0.12547992426630372,0.9466975710280718,0.5792043547090155,0.3609574473490764,-0.04166585947157979
2010-09-30,-0.3726124823863486,-0.30397770991993117,0.08726710326474081,-1.414899060449202,-2.5279939616287224,-0.17966928453887168,0.5274850925101079,-0.24409207472830935,1.0032843412884247,0.8350647796097553,-0.32313492091253065,0.4909938594602392,0.5343718830054721,0.08326988246098188,0.014082397163084215
2010-10-31,-0.013666269701244313,-0.0760786031556499,0.15854518249571722,-1.5074595566182991,-2.3906785830269586,-0.028083494835643555,1.2597208642341424,-0.1375458429165643,0.8838734961841458,0.7439490716758715,-0.25002386638944635,1.035719473685862,0.49586060519721376,0.15318742512993055,-0.09305551141263267
2010-11-30,-1.0991190508564694,-0.6857860528586696,-0.2803025563855311,-1.125468119907178,-1.8008781772620164,-0.15713474142082723,-0.5905297564796427,0.010438516261702065,0.5482551609194696,0.4525569237998798,-0.7088310782105696,-0.3803955529421989,0.4190015426453986,0.18311445775295038,0.05741350047009356
