APNT IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2017-03-31,0.5761257157784758,1.3682563313195963,-0.11753126073213191,-1.1460448640189471,1.0552984713128535,-0.2626585892520502,-0.833198662861595,1.133547346174628,-1.3783240474860186,-0.07724191853236803,0.6335422891673752,-0.49087282430228085,-0.02944852293768826,-0.22733070263637528,0.042806051990324
2017-04-30,0.47384829388284394,0.9414353241248696,0.3363541480055854,-1.5517471354447725,0.7996671976396116,-0.9552025975037156,-1.269295421836838,0.4337270910878652,-0.8101579945890237,0.3596269894534511,1.1053545244771936,-0.02153136202221036,0.3591885020276898,-1.1954511334651379,0.02707448626399833
2017-05-31,0.17225904511354648,0.6497840611688445,-0.487479608361264,-1.3104098897774674,-0.3271716071899035,0.40788316584062,0.6050064178756462,0.029631654024052635,-0.4542963871572401,0.48856950881425587,0.9826189866219326,-0.368903603100117,-0.5055898516111175,0.36162431852633703,-0.04281646826281707
2017-06-30,-0.91632835731601,-0.13426800562429417,-1.011293366350541,-0.15302534551034133,-1.1612755216020463,-0.6721448932213827,-0.4017776588969261,0.7072607539556413,-0.7485498358043811,-0.26161744077394494,-0.09761589171374674,-0.6076100494646005,-1.0288719241222146,-0.05226228502898603,0.05189604120908812
2017-07-31,0.5636730030671143,-0.09553244711904489,-1.406020938992659,-0.04082512857430914,-1.393257662348815,0.20087174729452148,0.9296216853643157,-0.17778317701834906,-0.15799619979998739,0.2615223546240873,0.15581384824436043,-1.2057431539660872,-1.487652824112368,0.4110368093976812,0.0058792144456049225
2017-08-31,-0.0969340506603717,-0.23698554806024294,-1.5919040072213306,-0.03164122503564254,-1.3256335274876725,-0.65867589869548,-0.9956657253377739,-0.3199006189784162,0.033789450219781844,0.1444471961204045,-0.025882780673055564,-1.5978205508245564,-1.6723148804625907,0.4691757236883612,-0.03204273699313818
2017-09-30,-0.8052758017552956,-0.12499215493430123,-1.7477443366798258,-0.12767694199061178,-1.0432415843869696,-0.14932973174189598,0.5367412160051547,0.15347787875101915,-0.1847352132826678,-0.46978984759835707,-0.5472297548567161,-1.9137456698831778,-1.834085349462213,0.5268816642650299,0.04251359115126459
2017-10-31,0.5298484608592264,-0.17647195600451726,-0.5747105043152175,-0.22873365563119036,-0.9629251387902337,-0.8392028744649801,-1.0391363092671904,-0.5647002159361654,0.43382439754144425,0.004226186314281397,-0.08552760400334664,-0.15622227368212613,-0.6227272445027379,-0.24294691149802336,-0.029302663645879173
2017-11-30,-0.7712585565115725,-0.5105070640547817,0.18283463486249277,-0.06394558125468955,-0.8104917788833479,-0.9858189068454581,-0.27115971849839277,-0.09773875913431035,0.19312358827835024,-0.580718662586463,-0.4685383119712987,0.8509145896800062,0.1966083014191872,-1.003225361521374,0.01019421039514956
2017-12-31,-0.04940473712660202,-0.143392403430369,1.1455914358462693,-0.39094186411352316,-1.036831592370812,-0.7583497458670523,-0.699557625709409,-0.3395799749490102,0.49772751279908417,-0.5533005658491256,-0.43539731931409936,2.7927573218859325,1.1789237459833815,-1.4566928512627297,-0.026413989728030537
2018-01-31,-0.660447932392468,-0.7281803022323798,-0.045514881504057365,-0.9953448739787558,-1.2320783438657252,1.6185973290143516,1.3061879512608343,0.045308237280111296,0.290376976789928,-1.07027356104571,-0.6882962318000726,0.9999665238059454,-0.02261823720642694,1.458489883592616,-0.0093943390303103
2018-02-28,-0.3527644390267248,-0.5181233952771408,-0.6970525709273957,-1.1136959680019276,-1.2475163397129145,0.4915213502595389,0.9079440140218993,0.15005005807104807,0.322612916902937,-1.2864208749822708,-0.6848011479851748,-0.092805655947671,-0.7098927987548472,0.4219007850697699,0.002368028271863481
2018-03-31,-0.16217476918818133,-0.5698721059711236,-1.1416239147960408,-1.2017796723721883,-1.3821639103060184,0.04857496386665199,0.5450391112481043,0.8101987123204328,-1.7009787251460795,-1.299778459388305,-0.6233127754265819,-0.7865851008403336,-1.1814610472897324,0.27084718902804944,0.07005145653130049
2018-04-30,1.0449332518876413,0.25352697697088705,-0.8754826031089036,-0.008683190510253364,-0.8634899571778717,-0.9149986560866658,-1.1682496949392522,-0.5853598431080198,-0.35797326309132804,0.11047946371527745,0.24692796865998887,-0.613071201677839,-0.9253381925544735,-0.12796338995731524,0.08219758463397688
2018-05-31,1.1806749479439387,1.0056902219860393,-0.3312988858998601,-0.030306673448721337,-0.4844950788620138,2.3927290074751206,0.7746728902907769,-2.290785781832632,1.6483829025087668,1.4331062423794798,1.0271687732843087,-0.11961281037256101,-0.44319243714336926,1.7630202989183028,-0.031297560543669896
2018-06-30,-0.7852494075841214,0.7189015177819378,-0.18132191454711086,0.8178525969624294,-0.19090178729906576,-0.2983680251383551,-0.15569113400822066,-1.2004837036091753,0.7134309610932071,0.49483932790510354,0.39692503816624236,-0.11467996348340503,-0.25268253776391614,-0.11271234927311904,0.13789136283647557
2018-07-31,2.3130024335157717,1.3103904108993298,0.7867855508781516,1.8541129515384054,0.6418123307672797,2.381368904548523,1.9606503547506275,-3.1203271990057533,4.298769489731942,2.273337364250467,1.7495535352688831,0.32543649573468447,0.4318532715866307,3.265934784559388,-0.055931143996430226
2018-08-31,-1.1491877943877182,0.16193338593690526,0.13063320451306057,2.465829508127485,1.1188136078139093,0.6707893710860501,-0.2902942984560411,-1.7515039431767156,2.206612360635704,0.9199221915801129,0.49145564152659804,-0.34140567473584515,-0.04743823148403773,0.6395742698805372,-0.059400372426407784
2018-09-30,-1.1174314718527594,-0.04725597791609693,-0.08692114128659643,2.3759576791713646,1.4968043727888314,0.8962191431182959,1.0264940432060847,-0.9016824242024187,1.0042288879929135,-0.06919660415274681,-0.5619951004453316,-0.5820887320390389,-0.175976366364788,0.6871351225345848,-0.04985777166981895
2018-10-31,-0.8908540228245877,-1.7599306226011804,-1.0854516509922725,-1.3994853609417703,1.4272365985390298,1.7413289137866215,0.23238573430324352,-0.18483018747244445,-0.05245467997619328,-0.9151375097011281,-1.2160503330061463,-1.1681868266578752,-1.0936592610467066,0.35212797836885423,0.08976076366079679
2018-11-30,1.4087012056613875,-0.32495079107968244,0.4787094638741837,1.1452027781152396,1.4378955603507215,0.6797930318620056,0.44384161487828694,-1.3011341328610355,2.0363681952428885,0.43361332160345706,-0.035611046653436985,-0.2736116060866267,0.26878016884752026,0.7309459089812647,0.019934459298698307
2018-12-31,0.10949285193773335,0.34222395371432396,0.5989239320248632,0.6690859369908323,1.3035678440358944,0.9963836184816609,0.494874813236521,-1.4096128225996511,2.1508810777368716,0.7002809942694284,-0.014576416980619532,-0.1783553322881504,0.3557788126812518,1.0999374349514859,0.028397435263946995
2019-01-31,0.19438759336151376,1.1743022912561498,1.321286015945874,-0.3588495261496356,0.20872741646191892,1.2659001913326766,0.05191101588296454,-1.559656896387808,2.3390836697560293,1.0389326966151544,0.4505142820282939,0.8405716130116224,0.9132804625022682,1.8484080711295001,-0.00525233658314979
2019-02-28,-0.4055317812842096,-0.05097932906398968,1.2731885928182831,-0.9637600273763917,-0.0030157921479170174,-0.6768474497529388,-0.8195189148017221,-1.138455811044663,1.7767113311128317,0.6077153916709774,0.20522304239978165,1.0447712936193037,0.920194942150884,-0.9346326491863876,0.060406919247522
2019-03-31,0.9258885907369506,0.44357834932023416,2.058418897388796,-0.3765752042829621,-0.250611716599048,-0.6102877421176452,-1.0100848410240915,-0.4885370993669108,0.4751232693776127,1.40571202572768,0.8893653335803751,2.1026246669792283,1.7724502258721417,-1.03736946707973,-0.019994914824915975
2019-04-30,-0.6553879314867186,-0.09496832689958953,0.6917917531570419,-0.06005639096179444,-0.5991785275874304,-0.22626038546224542,-0.8840898777143983,-0.031193821524234572,0.006999091119756111,0.5440398428081262,-0.05967971004514549,1.142510193446406,0.6069435287959154,-0.25232745647518423,-0.03891867081175604
2019-05-31,-0.9712101507651916,-0.4888392846815244,-0.7506984227309043,0.23317418990117222,-0.7910408794286792,0.5702965378195559,1.1221573874425936,0.6989255870446425,-0.7495601841087971,-0.4275742322677294,-0.8989299500704384,-0.41152276406123217,-0.7756835307628581,0.13579205736331285,-0.03554949543000089
2019-06-30,-0.8383665502220611,-1.7455861789561355,-0.7518703108670525,-1.3837038873308736,-0.5729125456379408,-0.7755478640777111,0.23921261748577075,1.385333074444075,-1.3731563926378778,-1.2148096182940955,-1.4837100542757973,-0.5353256016890757,-0.741874823783289,-0.4421819068347139,0.11331027774517621
2019-07-31,2.0084881400193697,0.13753480631692566,-1.0130262706323756,1.427448869953976,0.5792718067639715,1.3050721832589296,0.8927935315790386,-0.4339932219636008,0.684023570848414,0.7085203456215127,0.5686193885916322,-1.0501829117786705,-1.079884444401138,0.2037725208505161,0.06064395748165003
2019-08-31,0.8871677894455519,1.4178530476595808,0.36520980314526663,0.9298556266452386,0.6369114073347562,-0.34443769096074456,-0.44299076232223633,-1.0842031310046178,1.62136005025457,1.2737685937612282,1.3122692941781706,-0.08902902366638624,0.15119101312530023,-0.32666234043091236,0.08645693960686407
2019-09-30,1.2891443182273068,2.8100280535748148,2.372675816072578,-0.7584935386118887,0.780295948518224,-0.034555866877679337,0.47281037654499497,-1.7113000505433633,2.4344401553366093,1.8678393483438185,2.3931207133262493,1.118222909893603,1.6718497771550693,0.28102228977823773,0.026571171955644693
2019-10-31,0.14099193765138268,1.4018154433469654,3.331097896099792,-0.6070506711712318,0.5091784532654163,-0.4794444204260409,-1.0187674296341136,-1.4171423617163605,1.9713129833721559,1.402464022649956,1.8513020595088197,2.1122153706499565,2.527383236822441,-0.6822278275031983,-0.05886645620471351
2019-11-30,-1.3354557201345105,0.045679886834167155,0.7838495203417878,0.8120621261992281,0.7233286349108589,-0.9774825630140754,-0.5457251184440738,-0.5268913687584373,0.8973897283792394,0.2857295950161158,0.1138820968752807,0.1751166727593261,0.546004470576428,-1.1356547220853277,0.045151033459794036
2019-12-31,0.4867171715285127,-0.41831505407943864,1.0348171848924497,0.1934006368599583,0.21421164768359505,-1.1780738963661168,-0.9767888979664389,-0.7060788923672634,1.1169220853686743,0.47697233424943236,0.12251523633726329,0.7160091254525027,0.7066068853182873,-1.5035725349647338,0.005976669748552
2020-01-31,-0.20389556248812168,-0.6283446904885468,0.7740755734689484,0.07243876289939197,-0.3179986837319833,-0.11470572840331243,-0.1513955613777582,-0.5302757143705141,0.9130729585327046,0.24778755116139542,-0.25043659339071533,1.075225733966453,0.5080327278245904,0.1556455256922369,0.0012800536031014795
2020-02-29,-0.3099791250889651,-0.016109451066427742,0.7995530247930306,-0.9084928213792306,-0.4937002979043224,0.2043300794601921,0.41233835260163343,-0.34653595896285977,0.709413668535767,0.0011009683503957553,-0.5552982545674279,1.2941882847288115,0.5614535215404786,0.6242348519424097,-0.07592150822079581
2020-03-31,-1.6464909632237044,-1.3571762090266712,-0.734476259849707,-0.1941273405518368,-0.6105949224223342,2.6453828844703415,2.7278994963611085,3.633100244023575,-0.7301241770748558,-1.2525509688000445,-1.6853916449141373,-0.5610959309198813,-0.6004587129568567,1.6116402867269202,0.05384928099452412
2020-04-30,0.6088507262556917,-0.8096933804932757,0.008811468751161344,0.4194570493028832,-0.388185100456897,0.24507614431609176,0.7180211223715213,2.481556721575971,-0.36127212165084965,-0.7156082058159707,-0.6835136833386161,0.1535992626169117,0.2977088621438792,0.48228056055919394,-0.04393756861019808
2020-05-31,-0.9845460587078841,-1.2348651497931702,-0.10053614231667649,0.46759108698875124,-0.6389072761746689,1.5991922011971844,1.9273150978897844,2.63127486666404,-0.9805303527500108,-1.5868461448171427,-1.3033329892139083,0.16378539165044625,0.27750830714516606,1.941027424971792,0.0025811825459687507
2020-06-30,-0.13338912345510712,-0.3177945276403484,0.32450754145530164,-0.21270371032059385,-1.027447837814631,0.8152384755830243,-0.33152627111145383,2.1561445607242264,-0.9773302395909822,-1.535352251392443,-1.0130918925276624,0.9594208911806213,0.8468694082799023,1.365208358724642,0.016486069620415315
2020-07-31,0.07488962767521998,-0.6685891778902162,-0.8335797050754838,-0.7891809243626495,-0.942426610353977,-0.09949818966298941,0.11741877288544819,1.6625976909480356,-0.7799478185123934,-1.2698532203439752,-0.5647756272048537,-0.5107282363052643,-0.7407062076536238,-0.132968899859592,0.10167550642169498
2020-08-31,1.778759759040005,1.0129812797768811,-0.3186605366650884,0.04908290047625342,0.3514593193204678,0.02120318891552995,-1.1176455656019544,0.6409644665694384,0.4598490844487273,0.18983981539086592,1.1618603713623734,-0.5198182161854183,-0.3024828519101402,0.16659571201104123,0.04494386547375753
2020-09-30,0.5727239337359951,1.4224088747628292,-0.7810323942468148,-0.2565416660498928,-0.6096870389035453,-0.05242319546662013,-0.7863841718618072,0.25591785181002397,0.8443132651041774,0.6219320357461141,1.3967405519446012,-0.6154772983241954,-0.9170283031774924,-0.05392727386062748,0.10734706311442456
2020-10-31,1.6907877461506722,2.2563482128967283,0.14179159277539033,-0.5629484488924608,0.11990974517831367,-0.09035501339534044,0.0005438115109710778,-0.4875523873783953,1.6930320729099184,1.804104821005527,2.532715904335642,0.015419283026695249,-0.10573031778435954,0.19181739395569714,0.0017168161802484094
2020-11-30,-0.4215161132919693,1.0330200555123588,0.8549699330256337,0.2242351663468311,-0.6385289769619507,-0.4783626666109908,-0.4181240035599792,-0.38372223545857714,1.1679228646400974,1.1366902584694643,1.41016023105181,1.372248804337557,0.6108319256488088,-0.30221630118126463,0.2214719522893579
2020-12-31,3.843858788905385,2.796456903178213,3.3288259654823134,3.2154087057613028,2.3914708071396515,-0.8618046665061455,-0.6012891966389703,-1.3812482944424938,2.1893176849538523,2.757757966171234,3.739936081652515,1.6073609485175018,2.0465089873623397,-1.3712799569703542,-0.13833322934271275
2021-01-31,-2.5237925525798777,0.09539039605235702,0.8861771476578929,5.7748748061400175,6.293954141016861,-0.20364646724428184,-0.12830476487096218,-0.5161415951483536,0.590202796900032,0.40217711867142864,0.12335128006493794,-0.8153958039036492,0.5817457131160748,0.14548725485037528,-0.05557993935834812
2021-02-28,-1.0419904009321441,-0.4077992220359358,0.228653656986341,3.782589331961363,4.02267338992275,0.3473491731750631,0.4100421971071478,-0.1798558116735486,0.1044923883121664,-0.4006565161957048,-0.9178772939344776,-1.170257124221231,0.04691689151403029,0.8372650543782185,0.10819331662957121
