BOOT IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2012-03-31,-0.4033523510091613,-0.2981117948135722,-1.1576488427670664,-0.8322199523409044,-1.879430346268851,0.038891678853317554,0.9259528343372307,2.3633625704387695,-1.9717799429822542,-0.14030643338856416,-0.534317761693998,-0.25928836133879163,-0.9148554734507475,-0.0294563904515291,0.062339894699939814
2012-04-30,0.5974394625269582,0.2777576413362839,-1.3329214158568339,-0.5921288927803683,-1.4010423740036306,0.9088283133470487,1.335579224030969,1.6952738910848086,-0.8158995505421893,0.08457440892394624,0.16439487045506015,-1.424868911547657,-1.0399475129515041,0.03456871444812516,-0.15982820724882943
2012-05-31,-2.7600315644148616,-1.6840611515721882,-1.4010845701513475,1.443241831769121,0.34712120982291045,1.1989930446469506,0.05156421686786311,3.211161770852501,-3.704036951245276,-1.6550816648524493,-1.9982259848373463,-1.6181637669640325,-1.1067851217916609,-0.05342045869393335,0.06354614431383135
2012-06-30,0.6777449782044909,-0.8723536358861165,-1.2272562188447882,1.6807754353144673,0.5629906162920811,-0.8474163795076661,-0.3092879041560715,2.166518835323831,-1.9680800065804729,-1.1546323057773369,-0.9667688037469709,-1.3936401424434453,-0.9912365089453942,0.36502392969842296,-0.014386775261549451
2012-07-31,-0.35033217911085635,-1.5777649783581438,-1.2218163191936349,1.1634828520487974,0.6057019707097088,-0.6415434371718005,-0.636523507001932,2.2062045692992966,-1.9850467261160545,-1.4338890494312346,-1.1379822452602326,-1.2938313898383802,-1.004643165415612,0.5709841710720189,0.0996958511934776
2012-08-31,1.226358926370412,1.1523532493392774,-0.9034037283222736,-0.16345907932660061,0.8878821634368982,0.779231305581031,-0.0662058776734626,1.2038223087837008,-0.3698626352347245,-0.6254088331425429,0.47043410422602877,-1.0030185555343232,-0.7879020981134774,0.5214300257461433,-0.005110159750958945
2012-09-30,-0.26434260133261167,0.4364403575827239,-0.7210133894666273,-0.045510080102518495,0.8237259920127278,0.06533959040263272,0.3784363354266831,1.352980396734657,-0.45351401036997285,-0.8595941197875335,0.26337251035287984,-0.9160649339958569,-0.6729680295353945,0.2898148317042929,-0.10730270573083066
2012-10-31,-1.6231097792204163,-0.5159599116347898,-1.1678862979578584,0.8372838101371719,0.9473477145029318,2.3096451791126675,0.7849128343423736,2.9497623310688055,-2.0181438377601646,-2.037713959579,-1.184469969929424,-1.1989672537093943,-1.1034925047088004,0.34786673806063256,0.0275775467919803
2012-11-30,0.2536889679398821,-1.1975034054936442,-1.026168590296626,0.001238453610289934,-0.008758900783867866,-1.718044831530807,-0.8304732857022733,1.9661651475283008,-1.3492294584929256,-1.7089737777369967,-0.8151414453338537,-1.1538937876041964,-1.0328832583146819,0.27999480412775696,0.0031076906513535538
2012-12-31,0.016309976419895855,-1.0435384233191496,-0.9878332707584068,0.050154081862971295,-0.16937915062927653,-0.9731062887258519,-0.21632527195572768,3.5823018113709977,-3.0219660537971698,-1.6627155631433541,-0.7453990242324744,-1.1197875435562168,-0.962796011192672,0.4971352797204015,-0.023546557926218833
2013-01-31,-0.41428030511034336,-0.08052395169975642,-1.0675532182863987,-1.0138010451191677,-0.13355247543806312,-1.6740589089659172,-1.1366513734854549,2.649221757213857,-2.436803799446268,-1.8627630220295752,-1.106780863673275,-1.17867969300752,-1.1027051315546852,0.6234575989559652,-0.05968842344658723
2013-02-28,-1.0113654282336975,-1.0021487725456546,-1.5507127419610331,-0.798539469675401,-0.722676096089151,-0.6760955803053854,0.5579235097114351,2.326327836025353,-2.171591609867347,-2.4257394655113163,-1.66067318006808,-1.8024638237660549,-1.9536526193872545,1.0611924161414106,-0.01845978618367857
2013-03-31,-0.33269702514495386,-1.2941524281469299,-1.4709444735064454,-0.9823997712012071,-0.6941621985491514,3.1259302921785292,1.3954464194418272,2.3065019111036147,-2.34108817428041,-2.455691023275365,-1.3335809802725689,-1.7076124248943316,-1.9776791022316218,-1.1367596362328996,0.04917590663512754
2013-04-30,0.7478569233084511,-0.42997328395869877,-1.448464864095484,-0.0966665800474166,-0.9344144683610545,2.4824639447101684,1.6541491598256959,1.4888615595255694,-1.5841629281556562,-1.7643477661485782,-0.3179016198961357,-1.8107249957190092,-1.8905166873670576,-1.3775675754081775,0.007754309900292998
2013-05-31,0.21429391767723152,0.5033993914398099,-0.503361237498425,-0.6061262919338958,-0.9474280844421342,-0.1214988769808957,0.2874500252266361,1.1524917138284665,-1.215870151501366,-1.6508111334910107,0.0950651786775723,-0.4161875081905699,-0.31789549982088516,0.2930571372009223,0.029197124711476105
2013-06-30,0.5415586531143475,1.276920627559172,-0.6893880448533478,-0.9015249851962462,-0.7715176132134817,-0.15453657446089689,-1.013397229951837,0.8047378101590011,-0.8913287828290987,-1.3298492465561607,0.9060425256939912,-0.6520352798385856,-0.608649848053118,0.6736688372324382,-0.04079773017592282
2013-07-31,-0.7365965919134638,0.026029440706734384,-0.8240302919364931,-0.40882270338418863,-0.6164256340612632,3.1457633837911554,0.5835388083194133,0.8260490127265342,-0.7983809812308797,-1.9614577323548295,0.1181266177352021,-0.7836058949505952,-0.8366880877867257,-0.4627887660182085,-0.018765520317730166
2013-08-31,-0.30480910046479587,-0.3936132052415299,-1.6300885761275326,-0.3759474941200949,-0.8614971815859891,-0.8770415650007138,-0.6951657306818887,0.7406413999325715,-0.659146680061095,-3.036356531775581,-0.3427862864812829,-1.7296104773971817,-2.026574701004416,2.2082891176927797,0.0001454228170962973
2013-09-30,0.05819609369950852,-0.7760082209579547,-1.5122462383820445,-0.8414446465111168,-0.8424394179606994,0.167681230387352,0.444194035424698,0.5666550114576845,-0.4798421405049737,-2.4036257404407553,-0.4141171822577226,-1.5650803977355876,-1.788867013329542,0.33626591835219527,-0.026784190592255105
2013-10-31,-0.4665819222948678,-0.56000397535309,-0.7893485030826427,-1.025221157384824,-1.0393980076016631,-0.8158089606430738,-2.456998833253721,0.5529961496065774,-0.3871459721751605,-2.542805537283534,-0.8918409874017634,-0.9726332726229228,-0.8413240766555877,1.0801558894711578,0.13088609862759562
2013-11-30,2.460898662589449,1.5961557643316566,0.22512333552344024,1.0225532245881856,0.4415361456475266,2.0447877825606326,2.1672860571182295,-0.3497408552399196,0.16322085944768977,0.2598243236597468,2.1322634307056694,-0.027332798803032674,0.3910657276571228,1.0346075858960104,0.09983851633949896
2013-12-31,1.6080857982749717,2.8043255967448704,1.2138556246159633,0.9238353467734894,0.7636956655972326,0.9765845068283298,0.6943906347549254,-1.0704310321583976,0.699690703722643,1.8438571634347258,3.748088195304055,0.3549722323311132,1.3480960070702381,1.9231597037009858,-0.026861367430794862
2014-01-31,-0.5114316051105284,2.3503935659106943,1.1578626749212868,0.850456314524367,0.6065196756160519,-0.9485709777615823,0.26914771581532076,-0.9697878955513174,0.6577612588338845,1.1142106558523426,1.752966506476787,0.4076834081798848,1.3086253212714796,-1.2758164365094156,0.04911349854711539
2014-02-28,0.6876428332029969,1.1648358088094175,2.551578800361082,0.2065616417255322,0.40843401915555727,-1.0056259357907928,-1.9605500300100855,-1.3373039324394584,0.9436838618551098,1.5876935728195898,1.7857467332769459,1.2973770691502922,2.543454089007139,-2.960096824762543,0.017674143520462694
2014-03-31,0.19867860357100317,0.2525676432041652,2.9405184462323977,-0.590095070065205,0.286455660248852,-0.505861778172182,-1.0526372670822541,-0.09036718309969756,1.2241275101976152,1.4782789470305826,1.2500564267995224,1.9072700576061634,3.4193761306108157,-1.4174004124182753,0.03768018912537225
2014-04-30,0.4933963897238473,0.9233710581974429,2.390049833074883,-1.2732282413561138,-0.1629797184353851,0.21787428583124516,0.9142550472271186,-0.4980550136470974,1.4934929756421425,1.597239760430941,0.9872327159752547,2.363172315232813,2.5252353535402183,0.9613687500990615,-0.048794279065561844
2014-05-31,-0.837521992135421,-0.09094664996513453,1.5221353725967348,-0.365568144343292,-0.36753221692678606,-0.6158859795864031,0.31579628291866574,-0.2379905282449971,1.304306668008641,0.8344129937606525,-0.13376158852965045,1.6621276111253336,1.6901330221342212,-1.1910395461870429,0.22415119509665737
2014-06-30,3.91409715268165,2.0698470145794845,3.3100969629267634,2.6186522806474595,1.718991302176936,1.5559017353232139,1.409644213074775,-2.0745797004711517,2.541511540268356,2.166009425828615,2.9919317441766897,1.8304838494897175,2.8030351201947363,7.518532874477437,-0.033496794583930393
2014-07-31,-0.712183994130591,1.1116426532648371,2.691227755801047,2.93117503327621,1.6814708973251238,0.5710239678809957,0.28430836832672096,-1.7225912166981545,1.985074100923841,1.3031601453571744,1.2352987114733371,1.6621623023282472,2.4773085230649867,1.6742803612651553,0.2079800075551145
2014-08-31,2.7507326526892877,3.6422147428190335,4.2948626736892415,2.344147770636951,2.5624132348867494,0.37127674394891486,0.9990086147850329,-2.9121628742063703,2.828236178800043,1.7645392307005148,3.3386957802307107,2.2605734300755733,3.188356435998157,2.0374449705817756,0.20423068872972838
2014-09-30,2.3440964889998726,2.710693245557718,4.806969010247832,1.8828905533345368,2.635936000909977,0.8729581209937353,-0.2833707340644653,-3.137941257761569,2.9661047638027647,1.713376873254284,4.091622539725254,2.8343668473974586,3.1850076976204487,6.071091932227413,-0.0233634994053384
2014-10-31,-0.5963066939316781,2.355369743429411,3.31203326713264,1.5543139968573636,2.6121970380782744,-0.8033125156676498,-0.7956569924629592,-2.2904954461914393,2.051224258055635,1.0935253877158133,1.7050911371824433,2.213402778207435,2.64925070214317,-2.9646171776040013,0.12810118558398587
2014-11-30,1.1597142626295476,1.5036855394079753,2.6122689769290344,1.1126581069981758,1.7270547025140288,2.179399494621821,0.9577102561985854,-2.0634346874046563,1.9062069626977243,1.012138167997777,1.6895128034172207,2.261238591947863,1.8855233636864392,7.8002922663538445,0.07705830167484433
