GUJS IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2015-12-31,-0.3473766738015917,0.49340114641789046,-0.7076736810837618,-0.882964119081145,-0.3884284852407306,-0.39384205690428264,-0.05795754422284435,0.4323968238297925,0.4261202285355274,-0.010358535669504449,-0.33916692259690556,-0.6495711142546422,-0.6241202286006093,-0.30725152096062575,0.014503517465894813
2016-01-31,-0.2570629252276191,-0.31913009951498655,-0.8869435240152814,-1.6357201999845408,-0.7370509406987334,0.3511246605793438,-0.15213394684903617,0.47284438359869746,0.39172208924861296,-0.07879845190395354,-0.27943191909385323,-0.7331463901959482,-0.8287294209664865,-0.07541508780725091,-0.09074896371500725
2016-02-29,-1.8500969639878049,-1.7490687619458414,-1.270007132429153,-0.3454311475100303,-0.24959332385597516,-1.0864189771534392,-0.1718470340623613,1.073170211932682,-0.4627117556331997,-0.9053118486776406,-1.6059692921123452,-1.156235305651354,-1.269305411036344,-0.31132085355373307,0.11070686065134377
2016-03-31,1.0481632406375467,-0.6861203967517322,-1.1562233042027141,0.9120137059001987,0.047275334808973064,-0.571183134135928,-0.2770399322058355,-0.05559430948308775,-0.10736946473593233,-0.3244446132871771,-0.5000072535841573,-1.0823347748006247,-1.2936712129839942,-0.2774864825918655,-0.028634740962025593
2016-04-30,-0.8370644459211443,-1.0617967924880136,-1.1800843894781468,1.1040102978294395,-0.12718663116423443,-0.9099717203518646,-1.015595416683306,0.19960579965263334,-0.6393125994455248,-0.8545942398636425,-0.9653785351993556,-1.076048313287542,-1.2966032696039813,-0.362705128698587,-0.03849476030833221
2016-05-31,-0.920447188457321,-0.46067752887421526,-1.3524718374767775,0.4286555021961797,-0.10827192193514155,-0.4638022858482444,0.4060522605435069,0.5531600240334086,-1.4805165537186997,-1.4642679291460268,-1.3331442254234118,-1.2278377727474057,-1.416377817436057,-0.223759397201773,0.07835768940784929
2016-06-30,0.7448027545952335,-0.7425698563676069,-0.9689462511229544,-0.1423576485219467,0.3115083243086123,-0.9482659227532654,-0.4518597353242686,-0.6333653876671975,-0.24624510427859012,-0.4017108879535198,-0.3184669839597385,-0.9677697504127347,-1.0840766204364485,-0.4262447577277834,-0.07760325708236415
2016-07-31,-1.6000966386067312,-1.250033494171964,-1.4768699082280816,0.4524855092173353,0.8171621382654959,-0.24975103392107323,0.5181250818812371,0.8919539138952827,-2.0601229276970683,-1.8346684879297994,-1.3472860648197174,-1.3959182430484154,-1.4606587332372807,-0.03984738220060839,0.13522678720976755
2016-08-31,1.872901650910344,0.8860755494081234,-0.7132380351101001,1.616501953168835,1.1935709058144923,0.5815253098523545,0.43657651764217104,-2.239401464565431,1.2431620260440963,0.9182054336096938,0.5122554515134653,-0.8655472305810045,-0.8561136515415585,0.15530078847084197,0.0288934236549812
2016-09-30,0.07475870294950486,0.31921588124562916,-0.36604167188534165,1.7167872153282886,0.8027659068158428,-0.6559328898556726,0.3672538426578053,-2.3119347555049625,1.7303834481354283,1.3723415695399053,0.7094117341749459,-0.5608294143958859,-0.5777393151821147,-0.3937607152527548,0.014928020584236673
2016-10-31,-0.09845926790740817,1.3983343239634183,-0.6348597512367864,0.006439843481615547,0.690726387984616,1.7653794220724093,0.5879586540272387,-2.0030908975316586,1.679078716913207,1.5857042455388948,0.5610694103192415,-0.73665753824075,-0.773321919355151,0.5454213412904615,-0.01077664946176067
2016-11-30,-0.4816031270647021,-0.3758048214840514,-0.7916033933630191,-1.7429705246159157,0.5343834650469997,-0.8481330994625488,-0.6521740992651376,-1.2195402600834242,0.8571997737003032,0.8726358182798988,-0.1080814565345346,-0.8314704092119317,-0.871445192140386,-0.14299211112801907,-0.1157535477037784
2016-12-31,-2.190562533382381,-2.230899008065608,-1.1601108805475517,0.18541460283541558,1.7506288368150196,0.4965412535703871,0.609633564794594,1.0452974919660403,-1.9020433825010106,-2.0135137705480357,-2.1224123638262116,-1.096575347068587,-1.1408893939252298,0.264120392489246,0.08566879455479778
2017-01-31,1.1907798207992903,-1.0987679459609805,-0.830149282104427,1.330994982026215,1.4620190273976905,3.55668331877071,0.3575206346350567,-0.443418676927079,0.11768408512476389,0.062374179810644324,-0.7773641912484887,-0.8582175137032794,-0.8618598077277506,0.6664767459453318,0.01434651277458416
2017-02-28,0.06038015110668134,-0.6929191188040663,-0.3354426839730265,1.2917131493243885,0.047859631968007084,3.013857726848795,1.6204895932609482,-0.47891274341346246,0.3461059876926939,0.23278737443466954,-0.4810731056740339,-0.4034253260960449,-0.46422068728112775,1.9512094887321467,0.04463472329812059
2017-03-31,0.5008453997277429,1.6213070139733181,-0.642235296309069,-1.1456820579421692,0.12692772016566245,2.8110335626634204,1.2730776186070993,1.4306668993438911,-1.2551162843977692,1.020410659942593,0.44294340168671487,-0.5888524547561336,-0.6318165189782381,1.549907916541965,0.11399188860311457
2017-04-30,1.5620478304818892,1.905847965522287,0.4312216262641962,-0.6058896596928751,0.9965323114579565,2.7240454788713175,1.0556172256192151,-0.436490589817665,1.3132245005856233,2.9550923919910623,2.7190043053377115,-0.11243002996020696,0.08313936485238577,3.2738183749425946,-0.0603484168706103
2017-05-31,-1.1309295265342125,0.7461355736160538,0.39996295187418995,0.6832308510207845,1.3433333035101467,-0.23348578620736973,-0.7190431080947027,0.7480837114167541,-0.3319337144895486,0.8264004802685223,0.6510421677553204,-0.19876229798918021,0.16478565105834395,-0.23265363840351416,0.035455507979180144
2017-06-30,0.2992278546428633,0.5854567642647939,0.17076709833728002,0.6076431337688701,-0.6515014184920129,-0.27134161656266137,-1.0096892145641208,0.21994873614534546,0.377644663117864,1.102590192084723,0.5582908188578649,0.1737653431544697,-0.060368298336304846,-0.3050360551592288,0.09811256237646215
2017-07-31,1.1639279543782148,0.32278280783368596,2.291658630297863,0.25611313578561773,-0.6730484276320859,1.4252939114853935,-0.36388541833051236,-1.1564954101550384,2.114796211872073,2.0245473299164867,1.727532208946826,1.9715557467490592,1.3726338287143756,3.0863771221225242,-0.01944325670422782
2017-08-31,-0.5160486807218075,0.8507192594847461,0.42693791060404723,-0.5992210884466606,-0.39981378266505313,0.2991086747496023,0.8638723735206099,-0.5653949016411389,1.1016659953749772,1.0387662315337973,0.4772790703061124,0.39736239909246157,0.09042317910897685,0.23368144670478158,0.0475428146251427
