PSYS IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2017-12-31,1.311035266727019,0.7656699723138978,1.8556880753900453,-0.17500707442770932,-0.3728531902366212,-0.1298799662698683,0.8474767534363898,-1.101920305324239,1.972472497558079,2.4163710842396493,1.4606468062786033,1.8054592701034708,1.8400772389751303,0.08496170955233685,0.09285084005074444
2018-01-31,1.1991447508988875,2.0203461367003257,2.9872321334263314,-0.4969696333066895,-0.3921291061425586,1.9892948002306743,1.6882744090273951,-2.203796201432992,3.860861216196834,3.2363859387720395,2.356132004904004,2.824604462687183,2.6946232085952144,4.898952017646521,0.08208510717796552
2018-02-28,0.991690856629406,2.5896986458932587,2.626037602902523,-1.7400158874299942,-0.7854538334473979,0.6274707700653748,1.431752702787509,-2.6049353612714805,4.333983114734681,3.022582396052467,2.4816536750191465,2.9560897329288003,2.235265025121678,1.5319577611691564,-0.20884710417576446
2018-03-31,-3.005468434281611,-0.5483891641573874,1.1112559642856654,2.648049762396205,1.8310505909367214,0.015100613086194516,0.38339407029579836,-0.2885963251392315,0.34611495240823614,0.5334461166911648,-0.8497135949311371,0.5556225072811088,1.238370785245804,0.2695204806504622,0.1515827657828869
2018-04-30,2.121434300050275,0.06904824453296231,2.538628710227977,3.041454183778284,2.2613665407606462,1.267772616074741,-0.13206471674442702,-2.169905994529375,2.9340005563301452,1.9215354082939637,0.8379663683817906,1.154099038732038,2.3361880955558485,2.807614075923746,-0.02456694879286282
2018-05-31,-0.3523961010647219,-0.923858112338071,1.6822684209197618,2.5619518891656448,2.1758786780521095,-0.05245924570441783,-0.3216190864622439,-1.8909936797935443,2.417680346078696,1.4573275186292538,0.07623215999971093,0.8280944544630132,1.6256250731685828,0.2375734300202759,0.029260865212976363
2018-06-30,0.3308796153486024,1.568800361982458,0.8707764204741161,0.4096853496414363,1.9042604510034769,-0.6860938882637797,-0.5792715426489669,-1.6723352586505567,2.0640730760484893,1.4519163729839324,0.2390992030290342,0.46190559445678203,0.8709523698722869,-0.36078954460964335,0.02914737706157026
2018-07-31,0.28898164859024966,0.2100740970906947,1.4568644121037277,-0.9418875176382033,1.6536083023513115,0.2956451432167804,-0.6146999011129329,-1.731788253584968,2.4070444147749415,1.376808795843774,0.49984396887791516,0.807195040195054,1.382411429758498,0.7135313152098649,-0.009452525494352429
2018-08-31,-0.22317810078474373,0.3192408042394617,1.5463033438964353,-1.147776267527563,1.4284585061390151,-0.16738227411991213,-0.15008752568252082,-1.373406813462487,1.8585824531203983,1.0713531015715765,0.40385187909687437,0.9260397935721318,1.4855978378217003,0.16537819653508162,-0.04852437059282286
2018-09-30,-0.7958087005946318,-0.6063962686962806,0.5749309533940387,-0.7534710211047613,-0.12329125947941849,-0.370419838535558,0.4030206605676513,-0.652116053075068,0.5600292083589412,0.6110284862842611,-0.7184034789181947,0.7402614379673328,0.6351710857290161,-0.0906339740452951,-0.3307050328990552
2018-10-31,-4.419988528078384,-4.708395162341495,-1.1508883083761916,2.209645349368777,2.0578761773534424,1.2358803637015356,0.4304413056308394,2.286635756139102,-2.497764664773963,-1.421430196659683,-4.533433225697961,-0.6197549247476655,-1.3680913635994887,-0.9847557583951843,0.06682007953822156
2018-11-30,0.705784917859481,-2.6709889020444573,-0.7897211805278412,2.502172997569149,2.1180710219536585,-0.845132470259004,-0.20942174930132734,1.2294183787627415,-1.3962316945797655,-0.9634357164299798,-2.2527601534252137,-0.4270788463209255,-0.8282246011416112,0.06510764547170585,0.027880001507514546
2018-12-31,0.272441327135493,-1.7106177984335469,-1.1054031450599875,2.3860556081354125,1.858489889675038,-1.3424226822051877,-0.42446117676680234,0.8943797840441035,-1.2212079058088343,-0.8222740942105515,-1.3696959757670943,-0.6030504657104219,-1.2011533813957718,0.4663615642286451,-0.033577078954843964
2019-01-31,-0.32864054307431645,0.4546735349449708,-1.6040286505063148,-0.6232756255381371,1.5448767858250276,1.6135119496504935,0.06942331173594891,1.0567140164023459,-1.1711578941393204,-1.0441059471497787,-1.0742997748277128,-0.8841441158398587,-1.8659481508023257,-2.110057376495962,0.08451698806845748
2019-02-28,0.8123652881886517,0.5325361312035484,-1.5097991491838485,-0.4967577026547475,1.7019414828158697,-0.8506200544888041,-0.17080771635945785,0.438696384931158,-0.5772234507916064,-0.5676423402610294,0.22461724302292374,-0.8428548114559332,-1.5978087173747164,0.39800791355985643,-0.039951138579153764
2019-03-31,-0.3961659426298054,0.05993736544439438,-0.7066767913608496,-0.32648309691667465,1.539308631907415,-1.2689178642880468,-0.31946780017925447,0.8792132557230435,-0.6655747676750556,-0.8441824457136892,0.24586071764918405,-0.4464961511695625,-0.7117532857095629,0.28428466117938656,0.01061789087385228
2019-04-30,0.08048973519423322,0.3475036607230471,-1.34346121772484,-0.4460042296205201,-1.26858953933546,-0.8509863509094504,-1.556599743858969,0.7811965952342744,-0.553256202788749,-0.8838736966969477,0.13479980792267796,-1.9478124885699684,-1.4773308598450816,0.3627596911555378,-0.08920556798637025
