SF IN Equity,price,volume,mc,pe,bm,div
2006-08-31,66.9,11384208.0,14057.5901,23.8707,4.3992,1.275
2006-09-30,69.1,3187774.0,14519.8726,24.6557,4.5439,1.275
2006-10-31,77.9,3360062.0,16369.0026,27.7956,5.1226,1.275
2006-11-30,85.15,3422372.0,17892.4335,30.3825,5.5993,1.275
2006-12-31,90.13,3520792.0,18937.8223,32.1576,5.9265,1.275
2007-01-31,77.85,2442201.0,16358.4962,27.7778,5.1193,1.275
2007-02-28,67.6,2130547.0,14204.68,24.1205,4.4453,1.275
2007-03-31,63.75,1904492.0,13395.6857,18.9294,3.6502,1.3
2007-04-30,64.95,3205898.0,13647.8398,19.2857,3.7189,1.3
2007-05-31,67.1,1750098.0,14099.6158,19.9241,3.842,1.3
2007-06-30,63.0,3194231.0,13238.0894,18.7067,3.6073,1.3
2007-07-31,56.7,1779974.0,11914.2804,16.836,3.2465,1.3
2007-08-31,52.3,1473263.0,10989.7155,15.5295,2.9946,0.875
2007-09-30,53.25,1789209.0,11189.3163,15.8116,3.049,0.875
2007-10-31,49.2,4964582.0,10338.2979,14.609,2.8171,0.875
2007-11-30,49.35,2461794.0,10369.8171,14.6536,2.8257,0.9
2007-12-31,64.95,12464793.0,13647.814,19.2857,3.7189,0.9
2008-01-31,40.6,11776185.0,8531.197,12.0554,2.3247,0.9
2008-02-29,39.9,2503423.0,8384.1074,11.8476,2.2846,0.9
2008-03-31,32.35,2970445.0,6797.641,9.4315,1.6432,0.9
2008-04-30,33.5,2438253.0,7039.2882,9.7668,1.7016,0.9
2008-05-31,31.15,5293941.0,6545.4874,9.0816,1.5823,0.9
2008-06-30,24.15,2262905.0,5074.5913,7.0408,1.2267,0.9
2008-07-31,23.5,3782654.0,4938.0081,6.8513,1.1937,0.9
2008-08-31,26.95,9908709.0,5662.9498,7.8571,1.3689,0.9
2008-09-30,26.2,4868544.0,5505.3538,7.6385,1.3308,0.9
2008-10-31,18.35,1559319.0,3855.8489,5.3499,0.9321,0.9
2008-11-30,16.25,786897.0,3414.5801,4.7376,0.8254,0.9
2008-12-31,16.85,695205.0,3540.6569,4.9125,0.8559,0.9
2009-01-31,15.1,1739331.0,3172.9329,4.4023,0.767,0.45
2009-02-28,14.05,696206.0,2952.2985,4.0962,0.7137,0.45
2009-03-31,14.85,770846.0,3120.4009,10.0899,0.6811,0.45
2009-04-30,20.25,3238669.0,4255.0921,13.7589,0.9287,0.45
2009-05-31,31.0,2695169.0,6513.9682,21.063,1.4217,0.45
2009-06-30,26.35,3413606.0,5536.873,17.9036,1.2085,0.95
2009-07-31,37.7,7381063.0,7921.8258,25.6154,1.729,0.95
2009-08-31,37.95,5734436.0,7974.3578,25.7852,1.7405,0.5
2009-09-30,41.0,5971543.0,8615.2482,27.8576,1.8804,0.5
2009-10-31,47.2,5225221.0,9918.0419,32.0702,2.1647,0.5
2009-11-30,53.05,6136114.0,11147.2907,36.045,2.433,0.5
2009-12-31,55.7,3625031.0,11704.1299,37.8455,2.5545,0.5
2010-01-31,59.15,8472604.0,12429.0716,40.1896,2.7128,0.5
2010-02-28,51.95,1753563.0,10916.1499,35.2976,2.3826,0.9
2010-03-31,51.6,2164870.0,10842.6051,23.0357,2.2706,0.9
2010-04-30,52.4,1661738.0,11010.7075,23.3929,2.3058,0.9
2010-05-31,49.65,1130940.0,10432.8555,22.1652,2.1848,0.9
2010-06-30,45.5,1960981.0,9560.8243,20.3125,2.0022,0.9
2010-07-31,49.35,2915420.0,10369.8171,22.0313,2.1716,0.9
