CANF IN Equity,price,volume,mc,pe,bm,div
2007-08-31,10.64,5984506.0,1186.0989,3.9415,0.7476,0.4593
2007-09-30,11.17,4485021.0,1245.488,4.1389,0.7851,0.4593
2007-10-31,13.59,15513586.0,1515.89,5.0374,0.9555,0.4593
2007-11-30,13.98,15686996.0,1558.9085,5.1804,0.9827,0.4593
2007-12-31,15.35,3376971.0,1711.5218,5.6875,1.0789,0.4593
2008-01-31,12.73,4949975.0,1419.6105,4.7175,0.8949,0.4593
2008-02-29,14.23,1446287.0,1586.5633,5.2723,1.0001,0.4593
2008-03-31,12.46,5415142.0,1389.9073,4.8936,0.6325,0.4593
2008-04-30,12.87,809762.0,1434.9743,5.0523,0.653,0.4593
2008-05-31,13.48,2061958.0,1502.5748,5.2903,0.6837,0.4593
2008-06-30,12.83,2162781.0,1430.8773,5.0378,0.6511,0.4593
2008-07-31,13.02,1719867.0,1451.3623,5.11,0.6604,0.0
2008-08-31,12.93,903933.0,1442.144,5.0775,0.6562,0.0
2008-09-30,11.56,1576624.0,1289.5308,4.5402,0.5868,0.4593
2008-10-31,7.41,1072346.0,826.5698,2.9102,0.3761,0.4593
2008-11-30,8.01,790851.0,893.146,3.1446,0.4064,0.4593
2008-12-31,9.14,731915.0,1019.1288,3.5882,0.4638,0.4593
2009-01-31,9.39,409361.0,1046.7835,3.6855,0.4763,0.4593
2009-02-28,9.4,841339.0,1047.8078,3.6891,0.4768,0.4593
2009-03-31,9.54,1268864.0,1064.1958,3.3756,0.432,0.4593
2009-04-30,10.18,2410717.0,1134.869,3.5997,0.4607,0.4593
2009-05-31,16.85,8121267.0,1878.4746,5.9584,0.7626,0.4593
2009-06-30,14.54,4392494.0,1621.3878,5.1429,0.6583,0.4593
2009-07-31,14.75,1490874.0,1644.9455,5.2177,0.6678,0.4593
2009-08-31,14.5,843113.0,1617.2908,5.13,0.6566,0.3674
2009-09-30,15.32,3352296.0,1708.4491,5.4191,0.6936,0.3674
2009-10-31,15.24,5928020.0,1699.2308,5.3899,0.6899,0.3674
2009-11-30,15.4,1938654.0,1717.6673,5.4483,0.6973,0.3674
2009-12-31,16.07,10943746.0,1792.4376,5.6855,0.7277,0.3674
2010-01-31,15.46,3848577.0,1723.8128,5.4678,0.6998,0.3674
2010-02-28,15.06,1733938.0,1679.7701,5.3281,0.682,0.3674
2010-03-31,14.74,2068789.0,1643.9213,4.195,0.5985,0.3674
2010-04-30,17.62,6107532.0,1964.5116,5.0131,0.7152,0.3674
2010-05-31,16.15,5497881.0,1800.6316,4.5949,0.6555,0.3674
2010-06-30,21.66,15975715.0,2415.1816,6.1631,0.8792,0.3674
2010-07-31,24.91,65357463.0,2777.7661,7.0883,1.0112,0.3674
2010-08-31,25.9,41843998.0,2888.3851,7.3706,1.0515,0.3674
2010-09-30,27.19,19527354.0,3031.7801,7.7365,1.1037,0.3674
2010-10-31,27.84,16818311.0,3104.5018,7.9221,1.1302,0.3674
2010-11-30,22.89,7661299.0,2552.4311,6.5133,0.9292,0.3674
2010-12-31,21.88,2990718.0,2439.7636,6.2258,0.8882,0.3674
2011-01-31,20.18,25938939.0,2250.2773,5.7423,0.8192,0.3674
2011-02-28,19.0,18555363.0,2119.1733,5.4077,0.7715,0.3674
2011-03-31,19.68,12090618.0,2194.9678,5.2241,0.7059,0.3674
2011-04-30,21.89,29021754.0,2440.7878,5.8092,0.7849,0.3674
2011-05-31,21.13,11951811.0,2355.7751,5.6068,0.7576,0.3674
2011-06-30,19.99,21148211.0,2228.7681,5.3046,0.7168,0.3674
2011-07-31,20.12,20065528.0,2243.1076,5.3387,0.7214,0.3674
2011-08-31,17.41,1576210.0,1940.9538,4.6196,0.6242,0.4593
2011-09-30,17.22,1549771.0,1920.4688,4.5708,0.6176,0.4593
2011-10-31,19.03,8348274.0,2122.2461,5.051,0.6825,0.4593
2011-11-30,16.97,2690737.0,1891.7898,4.5025,0.6084,0.4593
2011-12-31,16.21,652012.0,1807.8013,4.3026,0.5814,0.4593
2012-01-31,18.99,1535243.0,2117.1248,5.0389,0.6809,0.4593
2012-02-29,19.07,1953558.0,2126.3431,5.0608,0.6838,0.4593
2012-03-31,20.66,6162641.0,2303.5608,5.2645,0.6632,0.4593
2012-04-30,20.33,6582399.0,2266.6875,5.1802,0.6526,0.4593
2012-05-31,19.21,991103.0,2141.7278,4.8947,0.6166,0.4593
2012-06-30,19.78,746003.0,2205.2319,5.0398,0.6349,0.4593
2012-07-31,18.98,2211401.0,2116.1213,4.8361,0.6093,0.5511
2012-08-31,18.84,5363778.0,2100.7574,4.801,0.6048,0.5511
2012-09-30,19.69,1323402.0,2196.0135,5.0187,0.6323,0.5511
2012-10-31,22.7,17374943.0,2530.9466,5.7842,0.7287,0.5511
2012-11-30,25.43,10196306.0,2835.1518,6.4794,0.8163,0.5511
2012-12-31,28.02,5458526.0,3125.0174,7.1419,0.8997,0.5511
2013-01-31,30.87,8654912.0,3442.538,7.8675,0.9912,0.5511
2013-02-28,27.47,1576406.0,3063.5618,7.0014,0.8821,0.5511
2013-03-31,24.97,2260686.0,2783.9388,5.1438,0.7104,0.5511
2013-04-30,27.38,1346525.0,3053.3192,5.6416,0.7791,0.5511
2013-05-31,26.75,2376609.0,2982.6452,5.511,0.7611,0.5511
2013-06-30,25.79,892648.0,2876.1289,5.3142,0.7339,0.5511
2013-07-31,23.64,2150163.0,2636.4515,4.8713,0.6728,0.7348
2013-08-31,21.05,1441752.0,2347.6095,4.3376,0.599,0.7348
2013-09-30,23.27,912598.0,2594.4567,4.7937,0.662,0.7348
2013-10-31,27.2,1328992.0,3032.8411,5.6037,0.7739,0.7348
2013-11-30,27.61,1103787.0,3078.9329,5.6889,0.7857,0.7348
2013-12-31,31.94,2852978.0,3561.3605,6.5802,0.9088,0.7348
2014-01-31,30.1,1542831.0,3356.508,6.2017,0.8565,0.7348
2014-02-28,31.82,1480787.0,3548.0451,6.5556,0.9054,0.7348
2014-03-31,35.03,2867681.0,3906.5369,5.1596,0.8643,0.7348
2014-04-30,43.86,8492780.0,4890.8531,6.4597,1.0821,0.7348
2014-05-31,63.57,13915559.0,7088.9203,9.3628,1.5684,0.7348
2014-06-30,74.25,8684007.0,8280.1375,10.9361,1.832,0.7348
2014-07-31,72.84,8969579.0,8122.4011,10.7278,1.7971,1.1941
2014-08-31,70.07,2808581.0,7813.0738,10.3193,1.7286,1.1941
2014-09-30,78.33,8938013.0,8734.91,11.5368,1.9326,1.1941
2014-10-31,88.25,4257002.0,9841.1134,12.9978,2.1773,1.1941
2014-11-30,91.12,4851379.0,10160.6833,13.4199,2.248,1.1941
2014-12-31,91.83,4143610.0,10239.5515,13.5241,2.2655,1.1941
2015-01-31,123.62,38044681.0,16460.5153,18.2066,3.0499,1.1941
2015-02-28,122.92,5680480.0,16367.4129,18.1035,3.0326,1.1941
2015-03-31,121.48,4507490.0,16169.1345,14.6538,2.0965,1.1941
2015-04-30,143.35,17484085.0,19080.0579,17.2919,2.474,1.1941
2015-05-31,136.3,8514065.0,18141.6944,16.4415,2.3523,1.1941
2015-06-30,154.34,7946700.0,20542.8401,18.6176,2.6636,1.4
2015-07-31,161.49,9485150.0,21494.5137,19.4801,2.787,1.4
2015-08-31,155.53,6687355.0,20701.2305,18.7612,2.6842,1.4
2015-09-30,182.75,7016630.0,24324.2454,22.0446,3.154,1.4
2015-10-31,191.07,8102160.0,25431.6474,23.0483,3.2975,1.4
2015-11-30,193.41,2009705.0,25743.1042,23.3305,3.3379,1.4
2015-12-31,215.74,3560500.0,28715.2525,26.0241,3.7233,1.4
2016-01-31,211.96,7620470.0,28212.1333,25.5682,3.6581,1.4
2016-02-29,188.76,3577845.0,25124.1836,22.7696,3.2577,1.4
2016-03-31,230.94,3640615.0,30738.3908,19.5646,3.5022,1.4
2016-04-30,240.43,4487500.0,32001.5229,20.3685,3.6461,1.4
2016-05-31,241.79,5226975.0,32182.5389,20.4837,3.6668,1.4
2016-06-30,244.45,3753060.0,32536.5898,20.7091,3.7071,1.4
2016-07-31,267.38,7544515.0,35588.6004,22.6516,4.0548,2.0
2016-08-31,298.27,5588430.0,39700.0967,25.2686,4.5233,2.0
2016-09-30,325.04,6247780.0,43263.2143,27.5364,4.9293,2.0
2016-10-31,372.85,7282335.0,49626.7846,31.5868,5.6543,2.0
2016-11-30,338.55,16248760.0,45061.4132,28.681,5.1341,2.0
2016-12-31,316.23,5533140.0,42090.5943,26.7901,4.7957,2.0
2017-01-31,372.06,8708430.0,49521.6363,31.5198,5.6423,2.0
2017-02-28,387.03,8834465.0,51514.1597,32.788,5.8693,2.0
2017-03-31,424.29,11569900.0,56473.509,24.0046,5.2447,2.0
2017-04-30,523.45,15101575.0,69671.8262,29.6147,6.4704,2.0
2017-05-31,542.75,17198570.0,72240.6795,30.7066,6.709,2.0
2017-06-30,646.51,20065255.0,86051.2606,36.577,7.9916,2.0
2017-07-31,617.78,12124700.0,82227.2629,34.9515,7.6364,2.0
2017-08-31,573.11,11619600.0,76281.6321,32.4243,7.0843,2.0
2017-09-30,530.91,9282995.0,70664.7612,30.0368,6.5626,2.0
