LT IN Equity,price,volume,mc,pe,bm,div
2002-11-30,34.9,47601036.0,51000.2262,13.473,0.6223,1.5556
2002-12-31,36.34,31180536.0,53101.4057,14.0281,0.648,1.5556
2003-01-31,31.58,20941776.0,46151.3505,12.1921,0.5632,1.5556
2003-02-28,34.07,38111180.0,49781.7908,13.1511,0.6075,1.5556
2003-03-31,31.42,25192094.0,45915.1232,9.2483,0.5465,1.5556
2003-04-30,34.13,15720395.0,49881.2549,10.0472,0.5938,1.5556
2003-05-31,37.89,22869801.0,55364.2144,11.1516,0.659,1.5556
2003-06-30,41.69,41224775.0,60921.7719,12.271,0.7252,1.5556
2003-07-31,49.78,33123803.0,72748.1178,14.6526,0.8659,1.5556
2003-08-31,49.2,37806345.0,71890.3247,14.4823,0.8559,1.6667
2003-09-30,54.87,46927778.0,80169.5839,16.1501,0.9544,1.6667
2003-10-31,69.21,53617964.0,101128.7897,20.3723,1.2039,1.6667
2003-11-30,68.37,38522147.0,99898.0891,20.1244,1.1893,1.6667
2003-12-31,89.74,52946181.0,131113.134,26.4127,1.5609,1.6667
2004-01-31,85.0,60330303.0,124188.8887,25.0178,1.4785,1.6667
2004-02-29,95.84,74417472.0,140026.3906,28.2082,1.667,1.6667
2004-03-31,97.73,51907982.0,142798.575,7.3261,2.0667,1.6667
2004-04-30,96.54,43473650.0,141058.1902,7.2368,2.0415,1.6667
2004-05-31,75.65,48947175.0,84634.8438,5.6705,1.5996,1.6667
2004-06-30,77.45,56406969.0,86714.2761,5.8056,1.6378,1.6667
2004-07-31,85.78,91395900.0,96038.1912,6.4299,1.8139,1.6667
2004-08-31,92.48,47048274.0,103539.785,6.9321,1.9556,1.6667
2004-09-30,94.95,48788658.0,106307.7295,7.1174,2.0078,1.7778
2004-10-31,92.14,27742608.0,103166.4145,6.9071,1.9485,1.7778
2004-11-30,100.35,14289183.0,117266.5362,7.5222,2.122,2.8889
2004-12-31,109.11,54925623.0,127504.5546,8.179,2.3073,2.8889
2005-01-31,111.69,78274620.0,130584.8833,8.3726,2.3619,2.8889
2005-02-28,120.92,94127211.0,141366.8234,9.0639,2.5569,2.8889
2005-03-31,111.06,69420132.0,129859.2322,12.0717,3.9162,2.8889
2005-04-30,107.4,55008639.0,125584.7262,11.6744,3.7873,2.8889
2005-05-31,116.44,65078658.0,136184.2386,12.6575,4.1063,2.8889
2005-06-30,125.81,81174258.0,147592.4053,13.6751,4.4364,2.8889
2005-07-31,140.89,60099606.0,167185.0338,15.3146,4.9683,2.8889
2005-08-31,148.23,52531578.0,176130.5544,16.1129,5.2272,1.9444
2005-09-30,168.77,55391643.0,200834.9682,18.3455,5.9515,1.9444
2005-10-31,155.42,58489335.0,185671.8969,16.8938,5.4806,1.9444
2005-11-30,187.24,65816793.0,225319.7207,20.3528,6.6027,1.9444
2005-12-31,205.02,74101428.0,248732.6731,22.2853,7.2296,1.9444
2006-01-31,241.34,80874954.0,294021.9866,26.2341,8.5107,1.9444
2006-02-28,266.33,183325122.0,328140.2825,28.9498,9.3917,1.9444
2006-03-31,270.3,141718338.0,334148.6207,25.9513,6.78,1.9444
2006-04-30,301.64,100105740.0,371476.305,28.9606,7.5662,1.9444
