MRCO IN Equity,price,volume,mc,pe,bm,div
2018-12-31,373.4,36713985.0,482008.7662,53.804,16.0233,4.5
2019-01-31,366.75,34787624.0,473424.518,52.8458,,4.5
2019-02-28,339.7,36652866.0,438506.636,48.9481,,4.75
2019-03-31,346.65,36258663.0,447478.1436,40.1215,15.0413,4.75
2019-04-30,359.4,37823017.0,463936.6646,41.5972,15.5945,4.75
2019-05-31,371.95,65910456.0,480137.0128,43.0498,16.1391,4.75
2019-06-30,370.55,23060773.0,478329.8027,40.9448,16.0913,4.75
2019-07-31,366.8,27502088.0,473518.4052,40.5304,,4.75
2019-08-31,391.1,52078039.0,504888.3541,43.2155,,4.75
2019-09-30,394.25,38911997.0,508954.8289,42.3015,14.3952,4.75
2019-10-31,365.85,43961077.0,472292.008,39.2543,13.3582,4.75
2019-11-30,359.9,39801566.0,464610.8888,38.6159,13.141,5.5
2019-12-31,341.6,41886798.0,440986.6064,35.8824,12.5111,5.5
2020-01-31,315.35,44915006.0,407099.3159,33.125,,5.5
2020-02-29,298.75,66765405.0,385669.6389,31.3813,,6.0
2020-03-31,274.85,79630332.0,354829.6454,34.6595,11.7379,6.75
2020-04-30,287.0,76038886.0,370522.1913,36.1917,12.2568,6.75
2020-05-31,343.8,92634254.0,443861.3941,43.3544,14.6825,6.75
2020-06-30,351.9,67669339.0,454318.8615,41.4488,14.7765,6.75
2020-07-31,363.45,75029907.0,469241.546,42.8092,,6.75
2020-08-31,368.9,55996194.0,476280.0089,43.4511,,6.75
2020-09-30,363.0,57180093.0,468712.5725,42.1114,12.742,6.75
2020-10-31,356.65,85236877.0,460517.4859,41.3747,12.5191,6.75
2020-11-30,367.7,64341319.0,474785.5869,42.6566,12.907,7.0
2020-12-31,402.65,64065910.0,519931.7213,45.2925,14.1619,7.0
2021-01-31,415.6,55705298.0,536653.7275,46.7492,,7.0
2021-02-28,397.55,54371883.0,513366.4867,44.7188,,3.75
2021-03-31,411.3,40813324.0,531129.1221,45.2974,16.3758,7.5
2021-04-30,411.45,33234422.0,531325.9575,45.3139,16.3818,7.5
2021-05-31,475.2,84074089.0,613657.4093,52.3348,18.92,7.5
2021-06-30,530.8,58143574.0,685468.0184,59.7075,21.4084,7.5
2021-07-31,546.7,48480378.0,706001.0805,61.4961,,7.5
2021-08-31,544.45,61578749.0,703105.2824,61.243,,7.5
2021-09-30,547.5,67789801.0,707044.0667,59.3174,17.9121,7.5
2021-10-31,568.45,46944655.0,734098.9949,61.5872,18.5975,7.5
2021-11-30,538.35,33189116.0,695522.0674,58.3261,17.6128,7.5
2021-12-31,512.65,25796015.0,662531.6339,55.4216,16.5888,7.5
2022-01-31,482.55,26905530.0,623631.4054,52.1676,,7.5
2022-02-28,514.7,33631964.0,665317.8644,55.6432,,12.5
2022-03-31,503.7,39070989.0,651176.9519,53.0211,19.4078,12.5
2022-04-30,521.7,38078731.0,674447.1229,54.9158,20.1013,12.5
2022-05-31,533.65,41661091.0,689895.9309,56.1737,20.5618,12.5
2022-06-30,477.9,34727408.0,617889.7072,49.6778,18.3328,12.5
2022-07-31,518.0,27212959.0,669736.071,53.8462,,12.5
2022-08-31,525.6,28372137.0,679569.7728,54.6362,,12.5
2022-09-30,537.85,39437572.0,695417.2118,56.3194,18.4873,12.5
2022-10-31,524.55,26438110.0,678220.8766,54.9267,18.0301,12.5
2022-11-30,507.35,39626193.0,655993.2143,53.1257,17.4389,12.5
2022-12-31,509.85,27008947.0,659245.935,52.6705,17.7156,12.5
2023-01-31,498.1,27353181.0,644052.9572,51.4566,,6.25
2023-02-28,491.9,23066632.0,636041.3478,50.8161,,6.25
2023-03-31,479.8,24785957.0,620421.8846,47.6465,16.2922,4.5
2023-04-30,496.4,29686219.0,641887.0852,49.2949,16.8559,4.5
2023-05-31,543.05,33580568.0,702244.9218,53.9275,18.44,4.5
2023-06-30,530.95,27857740.0,686612.5235,50.6149,17.7591,4.5
2023-07-31,560.55,40670930.0,724890.5736,53.4366,,4.5
2023-08-31,570.05,36455774.0,737261.9217,54.3422,,4.5
2023-09-30,561.65,30924280.0,726548.4675,51.5275,17.1852,4.5
2023-10-31,536.55,30353745.0,694079.1956,49.2248,16.4172,4.5
2023-11-30,538.65,28118088.0,696840.9518,49.4174,16.4815,7.5
2023-12-31,548.5,35710696.0,709667.734,48.3686,16.7079,7.5
2024-01-31,527.85,29455178.0,682959.7349,46.5476,,7.5
2024-02-29,522.6,37716132.0,676223.5733,46.0847,,7.5
2024-03-31,497.2,30908384.0,643427.4289,43.3857,16.7377,9.5
2024-04-30,518.0,28555690.0,670344.7469,45.2007,17.4379,9.5
2024-05-31,595.55,100408803.0,770830.0385,51.9677,20.0485,9.5
2024-06-30,613.0,70118501.0,793611.0484,51.7981,20.5905,9.5
2024-07-31,674.1,68807855.0,872713.2263,56.961,,9.5
2024-08-31,647.15,59769514.0,837858.7416,54.6837,,9.5
2024-09-30,695.4,63039455.0,900364.0896,56.242,19.271,9.5
2024-10-31,640.0,54795233.0,828635.3427,51.7614,17.7358,9.5
2024-11-30,644.95,49413971.0,835312.9022,52.1618,17.8729,6.5
2024-12-31,639.5,36967289.0,828311.7879,51.2649,17.7967,6.5
2025-01-31,670.65,41909098.0,868658.7968,53.762,,6.5
2025-02-28,600.6,33889548.0,778004.6412,48.1465,,10.0
2025-03-31,651.65,33167589.0,844211.0104,51.4552,21.238,3.5
2025-04-30,710.45,53872569.0,920386.2692,56.0981,23.1544,3.5
2025-05-31,716.45,59325847.0,928444.5258,56.5719,23.3499,3.5
2025-06-30,722.35,43130315.0,936163.3102,56.0396,23.8453,3.5
2025-07-31,709.8,45524711.0,921196.4398,55.0659,,3.5
2025-08-31,725.85,42950567.0,942076.9086,56.3111,,10.5
2025-09-30,697.4,45211541.0,905179.0795,54.188,22.3746,10.5
2025-10-31,719.95,33180668.0,934448.7842,55.9402,23.0981,10.5
2025-11-30,717.4,34837177.0,931177.8409,55.742,23.0163,10.5
2025-12-31,750.6,36587558.0,974344.5968,56.6918,23.7125,10.5
2026-01-31,729.8,41539556.0,947344.3735,55.1208,,10.5
2026-02-28,788.65,34883924.0,1023774.744,59.5657,,7.0
2026-03-31,779.25,2982984.0,1011572.268,58.8557,,7.0
