CPBI IN Equity,price,volume,mc,pe,bm,div
2016-03-31,170.85,6391792.0,37958.2578,22.468,7.1777,2.25
2016-04-30,184.05,5262856.0,40890.9414,24.2039,7.7323,2.25
2016-05-31,163.0,7237034.0,36214.1997,21.4357,6.8479,2.25
2016-06-30,195.55,7735147.0,43445.931,25.7163,8.2154,2.25
2016-07-31,235.35,19378599.0,52288.4165,30.9503,9.8875,2.25
2016-08-31,217.0,7307245.0,48211.5419,28.5371,9.1165,1.0
2016-09-30,250.55,5482297.0,55665.4462,32.9492,10.526,1.0
2016-10-31,250.0,3737714.0,55543.251,32.8768,10.5029,1.0
2016-11-30,181.7,6699545.0,40368.8349,23.8949,7.6335,1.0
2016-12-31,168.55,7820127.0,37447.2598,22.1656,7.0811,1.0
2017-01-31,196.05,7625484.0,43557.0175,25.782,8.2364,1.0
2017-02-28,250.15,5636434.0,55576.577,32.8966,10.5092,1.0
2017-03-31,259.5,5580668.0,57653.8946,30.28,8.0645,1.0
2017-04-30,257.2,4857074.0,57142.8967,30.0117,7.9931,1.0
2017-05-31,264.4,4421540.0,58742.5423,30.8518,8.2168,0.0
2017-06-30,294.25,8167796.0,65374.4065,34.3349,9.1445,0.0
2017-07-31,295.2,5043402.0,65585.4708,34.4457,9.174,0.0
2017-08-31,252.6,9426691.0,56120.9008,29.4749,7.8501,1.0
2017-09-30,249.3,7708306.0,55387.7299,29.0898,7.7475,1.0
2017-10-31,282.35,12533668.0,62730.5477,32.9463,8.7746,1.0
2017-11-30,316.4,8647910.0,70295.5366,36.9195,9.8328,1.0
2017-12-31,339.25,7434664.0,75372.1896,39.5858,10.5429,1.0
2018-01-31,321.15,5967115.0,71350.8583,37.4737,9.9804,1.0
2018-02-28,329.4,6650980.0,73183.7829,38.4364,10.2368,1.0
2018-03-31,326.6,6469832.0,72561.6985,44.4959,8.5211,1.0
2018-04-30,325.95,4413766.0,72417.2861,44.4074,8.5041,1.0
2018-05-31,279.35,7117829.0,62064.0248,38.0586,7.2883,1.0
2018-06-30,251.5,5649343.0,55876.507,34.2643,6.5617,1.0
2018-07-31,250.4,6293678.0,55632.1167,34.1144,6.533,1.0
2018-08-31,223.35,4254544.0,49622.3373,30.4292,5.8273,1.0
2018-09-30,180.55,6461498.0,40113.3333,24.5981,4.7106,1.0
2018-10-31,175.05,7951499.0,38891.3819,23.8488,4.5671,1.0
2018-11-30,174.35,4762377.0,38735.8608,23.7534,4.5488,1.0
2018-12-31,177.85,6237667.0,39513.4663,24.2302,4.6402,1.0
2019-01-31,162.45,5926830.0,36092.0022,22.1322,4.2384,1.0
2019-02-28,167.35,2141138.0,37180.6499,22.7997,4.3662,1.0
2019-03-31,208.3,4375789.0,46278.6338,31.1826,4.7469,1.0
2019-04-30,173.35,4215519.0,38513.6878,25.9506,3.9504,1.0
2019-05-31,170.85,4136393.0,37958.2553,25.5763,3.8935,1.0
2019-06-30,167.4,3372461.0,37191.7585,25.0599,3.8148,1.0
2019-07-31,126.25,3998179.0,28049.34,18.8997,2.8771,1.0
2019-08-31,135.6,3702113.0,30126.6574,20.2994,3.0902,1.0
2019-09-30,159.2,6885567.0,35369.94,23.8323,3.628,1.0
2019-10-31,163.2,3054338.0,36258.632,24.4311,3.7191,1.0
2019-11-30,173.15,7574843.0,38469.2532,25.9207,3.9459,1.0
2019-12-31,160.6,3007447.0,35680.9822,24.0419,3.6599,1.0
2020-01-31,170.7,7242751.0,37924.9294,25.5539,3.8901,1.0
2020-02-29,156.8,4459048.0,34836.7248,23.4731,3.5733,1.0
2020-03-31,110.95,7060352.0,24650.0932,16.3643,2.2743,1.0
2020-04-30,121.7,6621522.0,27038.4529,17.9499,2.4946,1.0
2020-05-31,101.7,9831841.0,22594.9931,15.0,2.0846,1.0
2020-06-30,118.1,14406003.0,26238.6313,17.4189,2.4208,1.0
2020-07-31,128.45,20463507.0,28538.1218,18.9454,2.633,1.0
2020-08-31,149.15,16633724.0,33137.103,21.9985,3.0573,1.0
2020-09-30,162.3,12619017.0,36058.6779,23.9381,3.3268,1.0
2020-10-31,172.6,5708198.0,38347.0598,25.4572,3.538,1.0
2020-11-30,200.25,8733309.0,44490.1433,29.5354,4.1047,1.0
2020-12-31,233.05,10056876.0,51777.4172,34.3732,4.7771,1.0
2021-01-31,264.15,9163630.0,58686.9974,38.9602,5.4145,1.0
2021-02-28,306.2,8022300.0,68029.372,45.1622,6.2765,1.0
2021-03-31,318.25,4238033.0,70706.5566,36.92,5.6135,1.0
2021-04-30,350.0,9410571.0,77760.5493,40.6032,6.1735,0.0
2021-05-31,397.9,8604292.0,88402.6359,46.1601,7.0184,0.0
2021-06-30,404.55,6047372.0,89880.0863,46.9316,7.1357,0.0
2021-07-31,422.7,5949439.0,93912.5229,49.0371,7.4559,0.0
2021-08-31,402.55,6043790.0,89435.7371,46.6995,7.1004,1.0
2021-09-30,472.65,9320648.0,105010.0637,54.8318,8.3369,1.0
2021-10-31,540.1,6205301.0,119995.6319,62.6566,9.5266,1.0
2021-11-30,601.6,8845894.0,133659.2708,69.7912,10.6114,1.0
2021-12-31,597.9,6378691.0,132837.2307,69.3619,10.5462,1.0
2022-01-31,589.4,4515880.0,130948.7603,68.3759,10.3962,1.0
2022-02-28,593.45,3529319.0,131848.5609,68.8457,10.4677,1.0
2022-03-31,716.3,16295536.0,159142.5127,50.8375,10.2856,1.0
2022-04-30,635.15,4049469.0,141113.1746,45.0781,9.1204,1.0
2022-05-31,573.95,4460281.0,127516.1876,40.7346,8.2416,1.0
2022-06-30,525.7,2755014.0,116796.3408,37.3101,7.5487,1.0
2022-07-31,591.05,5324912.0,131315.3451,41.9482,8.4871,1.0
2022-08-31,671.05,5940349.0,149089.1849,47.626,9.6359,1.0
2022-09-30,635.85,4493780.0,141268.6957,45.1278,9.1304,1.5
2022-10-31,598.1,3057352.0,132881.6653,42.4485,8.5884,1.5
2022-11-30,542.4,3807173.0,120506.6298,38.4954,7.7885,1.5
2022-12-31,514.5,3253155.0,114308.0034,36.5153,7.3879,1.5
2023-01-31,518.4,2016243.0,115174.478,36.7921,7.4439,1.5
2023-02-28,505.65,1880687.0,112341.7724,35.8872,7.2608,1.5
2023-03-31,466.2,3205772.0,103577.0479,27.5369,5.4307,1.5
2023-04-30,521.0,2663919.0,115752.1278,30.7738,6.0691,1.5
2023-05-31,557.15,3341337.0,123783.6814,32.909,6.4902,1.5
2023-06-30,661.8,4282767.0,147034.0848,39.0904,7.7092,1.5
2023-07-31,658.55,2919776.0,146312.0226,38.8984,7.6714,1.5
2023-08-31,684.95,3473955.0,152177.3895,40.4578,7.9789,1.5
2023-09-30,647.3,3150431.0,143812.5764,38.2339,7.5403,1.0
2023-10-31,618.9,2066589.0,137502.8635,36.5564,7.2095,1.0
2023-11-30,644.9,2363575.0,143279.3613,38.0921,7.5124,1.0
