KMB IN Equity,price,volume,mc,pe,bm,div
2002-10-31,1.46,10288800.0,8653.9361,,,0.021
2002-11-30,1.56,44844100.0,9207.5748,,,0.021
2002-12-31,1.72,24791300.0,10211.2301,,,0.021
2003-01-31,1.61,28023100.0,9533.2447,,,0.021
2003-02-28,1.71,145840500.0,10116.4898,,,0.021
2003-03-31,1.58,26024000.0,9352.6459,,,0.021
2003-04-30,1.44,16644600.0,8538.4713,,,0.021
2003-05-31,1.51,77227300.0,8932.2358,,,0.021
2003-06-30,1.6,139954200.0,9459.2288,,,0.021
2003-07-31,2.16,125894400.0,12775.14,,,0.021
2003-08-31,2.1,83225400.0,12410.9819,,,0.021
2003-09-30,2.72,114414600.0,16088.0906,,,0.021
2003-10-31,3.41,182594000.0,20176.7275,,,0.021
2003-11-30,3.44,46426600.0,20432.9942,,,0.021
2003-12-31,3.84,75862400.0,22885.3474,,,0.021
2004-01-31,3.98,114253500.0,23706.8269,,,0.021
2004-02-29,3.89,57636300.0,23182.9849,,,0.021
2004-03-31,4.04,26520600.0,24055.0628,,,0.021
2004-04-30,3.95,17108400.0,23513.3626,,,0.021
2004-05-31,3.2,262436900.0,19060.7055,,,0.021
2004-06-30,3.48,34864000.0,20694.7354,,,0.021
2004-07-31,3.54,40097500.0,21084.6406,,,0.024
2004-08-31,3.47,101232800.0,20681.6771,,,0.024
2004-09-30,3.65,177053750.0,21816.8435,,,0.024
2004-10-31,3.6,60953500.0,21523.6385,,,0.024
2004-11-30,5.2,58863850.0,31136.4094,,,0.024
2004-12-31,5.69,47951850.0,34100.5066,,,0.024
2005-01-31,5.77,63152350.0,34580.2886,,,0.024
2005-02-28,6.58,77729150.0,39468.0678,,,0.024
2005-03-31,6.79,215031400.0,41835.6845,,,0.024
2005-04-30,6.06,36408400.0,37373.1872,,,0.024
2005-05-31,7.47,123641950.0,46055.1617,,,0.024
2005-06-30,7.86,655283150.0,48447.6376,,,0.024
2005-07-31,8.52,162895500.0,52554.3102,,,0.025
2005-08-31,10.0,308810230.0,61692.5679,,,0.025
2005-09-30,9.99,125660180.0,61610.0873,,,0.025
2005-10-31,8.61,112788600.0,53146.7678,,,0.025
2005-11-30,10.64,145222600.0,65684.5875,,,0.025
2005-12-31,11.17,351397880.0,69034.4451,,,0.025
2006-01-31,11.7,157610380.0,72356.6876,,,0.025
2006-02-28,11.47,141678920.0,70903.3695,,,0.025
2006-03-31,13.96,357481340.0,86370.5132,,,0.025
2006-04-30,15.54,75689340.0,97197.6171,,,0.025
2006-05-31,14.72,144164000.0,95474.0062,,,0.025
2006-06-30,12.2,376894660.0,79211.0392,,,0.025
2006-07-31,14.2,266215740.0,92241.9485,,,0.03
2006-08-31,15.62,157366400.0,101472.301,,,0.03
2006-09-30,16.67,124439900.0,108354.9695,,,0.03
2006-10-31,17.36,75126520.0,113018.2909,,,0.03
2006-11-30,19.07,157523500.0,124282.7773,,,0.03
2006-12-31,19.99,95368200.0,130298.0996,14.2227,,0.03
2007-01-31,23.34,277082940.0,152180.8617,16.608,,0.03
2007-02-28,21.24,248701020.0,138528.6553,15.1156,,0.03
2007-03-31,23.97,329762080.0,156346.8706,28.9144,,0.03
2007-04-30,27.18,428692020.0,177251.8235,32.7805,,0.03
2007-05-31,28.62,315025260.0,186644.3764,34.5175,,0.03
2007-06-30,33.65,282536600.0,219502.0052,37.8331,,0.035
2007-07-31,37.04,373306240.0,241766.4873,41.6358,,0.035
2007-08-31,35.34,624709840.0,230997.9458,39.733,,0.035
2007-09-30,46.11,389304520.0,301436.47,41.382,,0.035
2007-10-31,50.04,443543080.0,344217.324,44.9112,,0.035
2007-11-30,61.68,333019120.0,424283.3074,55.3509,,0.035
2007-12-31,64.83,283779280.0,446226.9792,46.9017,,0.035
2008-01-31,51.43,588224280.0,354057.5049,37.2074,,0.035
2008-02-29,40.11,486507500.0,276098.0552,29.0142,,0.035
2008-03-31,31.3,715100480.0,215709.4784,21.2927,,0.035
2008-04-30,39.58,591095580.0,272839.8001,26.9314,,0.035
2008-05-31,34.65,618182340.0,238831.7266,23.5737,,0.035
2008-06-30,23.08,694881660.0,159191.1068,15.7643,,0.035
2008-07-31,26.53,1203453940.0,183051.5857,18.1229,,0.0375
2008-08-31,30.26,962985660.0,208353.8176,20.6763,,0.0375
2008-09-30,27.71,1417269000.0,191356.799,20.8719,,0.0375
2008-10-31,16.86,1031648340.0,116467.1903,12.7006,,0.0375
2008-11-30,16.76,1068970500.0,115795.5833,12.6271,,0.0375
2008-12-31,17.88,892232760.0,123497.7357,18.138,,0.0375
2009-01-31,14.19,819228100.0,98041.4701,14.3962,,0.0375
2009-02-28,12.97,491275300.0,89645.3195,13.1634,,0.0375
2009-03-31,14.11,1124358200.0,97540.5939,14.9788,1.4748,0.0375
2009-04-30,19.26,1083025720.0,133159.1559,20.4485,2.0133,0.0375
2009-05-31,33.93,1424515420.0,234644.901,36.0165,3.5461,0.0375
2009-06-30,31.59,862871340.0,218775.2108,28.8098,3.5079,0.0375
