MAXF IN Equity,price,volume,mc,pe,bm,div
2009-08-31,146.98,14471764.0,42893.028,,2.4792,0.0
2009-09-30,146.98,15627225.0,42893.028,,2.4792,0.0
2009-10-31,142.88,7794499.0,41696.3915,,2.41,0.0
2009-11-30,177.07,18714513.0,51676.1074,,2.9868,0.0
2009-12-31,176.79,10295400.0,51594.7826,,2.9821,0.0
2010-01-31,166.44,8632697.0,48574.1468,,2.8075,0.0
2010-02-28,155.41,7654285.0,45356.0079,,2.6215,0.0
2010-03-31,164.97,9539451.0,48148.0368,,2.1983,0.0
2010-04-30,142.64,24857507.0,41629.9266,,1.9007,0.0
2010-05-31,129.7,11657168.0,37853.8378,,1.7283,0.0
2010-06-30,122.41,20706882.0,35727.6093,,1.6312,0.0
2010-07-31,122.61,18128044.0,35785.703,,1.6339,0.0
2010-08-31,122.85,23753296.0,35855.4154,,1.637,0.0
2010-09-30,135.11,24600341.0,39433.9857,,1.8004,0.0
2010-10-31,126.0,22319777.0,36790.6572,,1.6789,0.0
2010-11-30,118.63,21358808.0,34640.1764,,1.5808,0.0
2010-12-31,117.52,12394495.0,34314.6983,,1.566,0.0
2011-01-31,115.73,5550695.0,33791.6083,,1.5421,0.0
2011-02-28,112.38,9163910.0,32815.1738,,1.4975,0.0
2011-03-31,127.19,10262599.0,37139.3838,340.7332,2.0794,0.0
2011-04-30,133.44,6192848.0,38964.3864,357.4765,2.1816,0.0
2011-05-31,133.84,5892618.0,39080.6286,358.543,2.1881,0.0
2011-06-30,145.98,19023490.0,42626.0158,391.0699,2.3866,0.0
2011-07-31,145.22,6292510.0,46797.2895,389.0437,2.3743,0.0
2011-08-31,154.74,13953013.0,49863.2303,414.532,2.5298,0.0
2011-09-30,150.4,12295308.0,48464.956,402.9076,2.4589,0.0
2011-10-31,150.96,6410408.0,48644.5509,404.4007,2.468,0.0
2011-11-30,132.05,3924658.0,42551.1538,353.7439,2.1588,0.0
2011-12-31,116.36,27608399.0,37496.8413,311.7255,1.9024,0.0
2012-01-31,129.5,17494369.0,41730.9628,346.9186,2.1172,0.0
