AL IN Equity,price,volume,mc,pe,bm,div
2014-05-31,16.18,1027719438.0,86072.8852,,2.1576,0.3
2014-06-30,18.25,1280199674.0,97114.6927,,2.4344,0.3
2014-07-31,17.08,861554220.0,97186.6813,,2.2777,0.3
2014-08-31,18.23,519011558.0,103732.1971,,2.4311,0.0
2014-09-30,20.58,848305190.0,117107.8165,,2.7446,0.0
2014-10-31,23.23,522047900.0,132190.9618,,3.0981,0.0
2014-11-30,26.2,855467706.0,149123.9268,,3.4949,0.0
2014-12-31,25.7,690079882.0,146278.0503,,3.4282,0.0
2015-01-31,32.85,1061927200.0,186974.0837,,4.382,0.0
2015-02-28,34.92,728816088.0,198784.437,,4.6588,0.0
2015-03-31,36.65,724116902.0,208602.7449,152.7083,4.624,0.0
2015-04-30,34.8,534968642.0,198073.002,145.0,4.3906,0.0
2015-05-31,35.73,640253640.0,203337.8734,148.8542,4.5073,0.0
2015-06-30,36.28,489967506.0,206468.3375,151.1458,4.5767,0.225
2015-07-31,42.23,626202018.0,240334.2675,175.9375,5.3274,0.225
2015-08-31,45.15,877305608.0,256982.6448,188.125,5.6964,0.225
2015-09-30,46.13,773962564.0,262532.1039,192.1875,5.8194,0.225
2015-10-31,46.85,534279806.0,266658.6248,195.2083,5.9109,0.225
2015-11-30,47.3,880843116.0,269219.9136,197.0833,5.9677,0.225
2015-12-31,43.95,478170384.0,250152.5413,183.125,5.545,0.225
2016-01-31,44.8,405261996.0,254990.5312,186.6667,5.6523,0.225
2016-02-29,43.83,486110314.0,249441.0721,182.6042,5.5292,0.225
2016-03-31,54.3,607332870.0,309062.1841,45.3215,5.8716,0.225
2016-04-30,53.4,392208668.0,303939.6064,44.5703,5.7743,0.225
2016-05-31,54.48,517254818.0,310058.2408,45.4675,5.8905,0.225
2016-06-30,49.18,531668180.0,279891.9503,41.0439,5.3174,0.225
2016-07-31,47.63,709237416.0,271069.7333,39.7502,5.1498,0.475
2016-08-31,43.78,552084368.0,249156.4845,36.5368,4.7335,0.475
2016-09-30,39.8,510944096.0,226531.7666,33.2191,4.3037,0.475
2016-10-31,45.68,392024550.0,259970.8151,38.1226,4.9389,0.475
2016-11-30,39.75,617997876.0,226247.179,33.1773,4.2983,0.475
2016-12-31,40.05,390286038.0,227954.7048,33.4277,4.3307,0.475
2017-01-31,45.38,464039624.0,258263.2892,37.8722,4.9065,0.475
2017-02-28,45.33,416953780.0,257978.7015,37.8305,4.9011,0.475
2017-03-31,42.28,492553198.0,240618.8551,15.317,3.7638,0.475
2017-04-30,42.7,401936848.0,243037.8501,15.471,3.8017,0.475
2017-05-31,47.25,589150952.0,268935.3259,17.1196,4.2068,0.475
2017-06-30,46.93,406325370.0,274655.3015,17.0018,4.1778,0.475
2017-07-31,54.75,698088638.0,320455.5729,19.837,4.8745,0.78
2017-08-31,53.55,442296470.0,313431.8891,19.4022,4.7677,0.78
2017-09-30,61.55,538631944.0,360256.4477,22.3007,5.4799,0.78
2017-10-31,65.6,353239728.0,383961.3805,23.7681,5.8405,0.78
2017-11-30,58.93,685042034.0,344959.2184,21.3496,5.2462,0.78
2017-12-31,59.55,461542010.0,348618.0985,21.5761,5.3018,0.78
2018-01-31,63.05,596435102.0,369107.8273,22.8442,5.6135,0.78
2018-02-28,70.75,726343660.0,414185.2303,25.6341,6.299,0.78
2018-03-31,72.72,687355672.0,425747.2915,24.1611,5.7374,0.78
2018-04-30,82.23,733953224.0,481975.1746,27.3173,6.4868,0.78
2018-05-31,74.03,835075878.0,434545.5932,24.593,5.8399,0.78
2018-06-30,62.9,587754654.0,369239.0113,20.897,4.9623,0.78
2018-07-31,56.4,1662609540.0,331082.3567,18.7375,4.4495,1.215
2018-08-31,64.53,1088429062.0,378829.795,21.4369,5.0905,1.215
2018-09-30,59.55,654794954.0,349621.2986,19.7841,4.698,1.215
2018-10-31,57.35,921429364.0,336704.9786,19.0532,4.5244,1.215
2018-11-30,56.18,1147495126.0,329806.4895,18.6628,4.4317,1.215
2018-12-31,51.25,743114614.0,300891.5458,17.0266,4.0432,1.215
2019-01-31,40.65,1084661770.0,238658.3675,13.505,3.2069,1.215
2019-02-28,43.25,1230971086.0,253923.1094,14.3688,3.4121,1.215
2019-03-31,45.65,985580458.0,268013.6403,12.8955,3.0646,1.215
2019-04-30,43.48,950494774.0,255244.0966,12.2811,2.9186,1.215
2019-05-31,44.43,1129031734.0,260821.5985,12.5494,2.9823,1.215
2019-06-30,43.63,784618464.0,256124.7548,12.3234,2.9286,1.215
2019-07-31,34.92,980027086.0,205046.5802,9.8658,2.3446,1.55
2019-08-31,32.23,1766873010.0,189194.7329,9.1031,2.1633,1.55
2019-09-30,34.35,1883943860.0,201670.7239,9.7034,2.306,1.55
2019-10-31,38.38,1372473176.0,225301.7184,10.8404,2.5762,1.55
2019-11-30,39.58,1154270304.0,232346.9839,11.1794,2.6567,1.55
2019-12-31,40.75,628077590.0,239245.473,11.5113,2.7356,1.55
2020-01-31,40.98,702950604.0,240566.4603,11.5749,2.7507,1.55
2020-02-29,34.95,1064125874.0,205193.3566,9.8729,2.3463,1.55
2020-03-31,21.53,1885687860.0,126374.4492,37.4348,1.6225,0.25
2020-04-30,26.18,1368977968.0,153674.8529,45.5217,1.973,0.25
2020-05-31,21.23,1569259734.0,124613.1329,36.913,1.5999,0.25
2020-06-30,23.48,2614257162.0,137823.0056,40.8261,1.7695,0.25
2020-07-31,24.33,1614112224.0,142813.402,42.3043,1.8336,0.25
2020-08-31,33.83,2821406726.0,198588.4202,58.8261,2.5497,0.25
2020-09-30,37.2,2559458470.0,218403.2293,64.6957,2.8041,0.25
2020-10-31,39.48,1740931242.0,231759.8784,68.6522,2.9755,0.25
2020-11-30,46.08,1538014388.0,270508.8385,80.1304,3.473,0.25
2020-12-31,47.73,1198143732.0,280196.0785,83.0,3.5974,0.25
2021-01-31,55.4,1729450388.0,325256.4222,96.3478,4.1759,0.25
2021-02-28,64.43,1422944764.0,378242.6895,112.0435,4.8562,0.25
2021-03-31,56.75,1056837392.0,333182.3534,98.8261,4.2379,0.25
2021-04-30,56.35,1035129800.0,330833.9316,,4.208,0.25
2021-05-31,61.73,709889124.0,362390.8505,,4.6094,0.0
2021-06-30,61.3,981920182.0,359895.6523,,4.5776,0.0
2021-07-31,66.4,672006548.0,389838.0223,,4.9585,0.0
2021-08-31,61.38,856670686.0,360335.9731,,4.5832,0.3
2021-09-30,66.9,835651110.0,392773.5495,,4.9958,0.3
2021-10-31,71.2,868670460.0,418019.0841,,5.3169,0.3
2021-11-30,59.85,765086052.0,351382.6149,,4.4694,0.3
2021-12-31,61.23,520950976.0,359455.3149,,4.572,0.3
2022-01-31,66.28,545184244.0,389104.1404,,4.9492,0.3
2022-02-28,59.33,663089316.0,348300.3113,,4.4302,0.3
2022-03-31,58.63,1082854720.0,344190.5731,,4.7124,0.3
2022-04-30,63.55,452903904.0,373105.5168,,5.1083,0.3
2022-05-31,68.75,842783256.0,403635.0005,,5.5263,0.3
2022-06-30,73.9,712967432.0,433870.9314,,5.9403,0.3
2022-07-31,74.5,526440356.0,437393.5641,,5.9885,0.5
2022-08-31,77.0,601260830.0,452071.2005,,6.1895,0.5
2022-09-30,76.33,673584646.0,448108.2387,,6.1352,0.5
2022-10-31,76.65,456522086.0,450108.3114,,6.1613,0.5
2022-11-30,74.4,555171930.0,436895.7387,,5.9805,0.5
2022-12-31,71.7,387029840.0,421040.6514,,5.7634,0.5
2023-01-31,74.75,442245856.0,438951.0278,,6.0086,0.5
2023-02-28,72.75,454042820.0,427206.5187,,5.8478,0.5
2023-03-31,69.6,308849210.0,408708.9168,32.9078,4.778,0.5
2023-04-30,72.97,350161214.0,428527.7759,34.5035,5.0097,0.5
