IRB IN Equity,price,volume,mc,pe,bm,div
2016-10-31,23.56,361538450.0,82784.0504,13.021,1.7149,0.4
2016-11-30,18.65,458735170.0,65545.4273,10.3096,1.3578,0.4
2016-12-31,19.6,431515500.0,68884.2024,10.8347,1.427,0.2
2017-01-31,23.14,361279870.0,81325.5328,12.7916,1.6847,0.2
2017-02-28,23.18,299483700.0,81448.5403,12.8109,1.6873,0.4
2017-03-31,23.64,480179360.0,83082.7829,11.611,1.576,0.2
2017-04-30,26.09,906023200.0,91675.7357,12.8119,1.7391,0.2
2017-05-31,22.74,705573010.0,79919.7328,11.169,1.516,0.2
2017-06-30,20.91,355226710.0,73488.1976,10.2701,1.394,0.5
2017-07-31,22.53,506282850.0,79181.6878,11.0658,1.502,0.75
2017-08-31,21.41,373768130.0,75245.4476,10.5157,1.4274,0.75
2017-09-30,21.29,549240850.0,74806.1351,10.4543,1.419,0.75
2017-10-31,24.26,491640900.0,85244.2005,11.9131,1.617,0.75
2017-11-30,22.98,457575160.0,80745.6375,11.2844,1.5317,0.75
2017-12-31,23.8,697291730.0,83645.1,11.6896,1.5867,0.75
2018-01-31,24.12,344726210.0,84769.74,11.8468,1.608,0.75
2018-02-28,22.86,318541050.0,80341.47,11.2279,1.524,0.8
2018-03-31,22.3,278460540.0,78373.35,8.5212,1.3768,0.8
2018-04-30,28.17,1063065020.0,98985.8925,10.7623,1.7389,0.8
2018-05-31,23.05,623520950.0,81009.225,8.8078,1.4231,0.8
2018-06-30,21.09,344913010.0,74120.805,8.0588,1.3021,0.5
2018-07-31,20.09,462891460.0,70606.305,7.6767,1.2403,0.25
2018-08-31,19.03,404675180.0,66880.935,7.2717,1.1749,0.5
2018-09-30,13.72,531792840.0,48218.94,5.2426,0.8471,0.5
2018-10-31,13.96,525992520.0,49062.42,5.3344,0.8619,0.5
2018-11-30,14.93,500180650.0,52453.9125,5.7031,0.9215,0.5
2018-12-31,16.42,421227370.0,57690.5175,6.2724,1.0134,0.5
2019-01-31,14.48,295623740.0,50872.3875,5.5311,0.8937,0.5
2019-02-28,13.43,709383740.0,47182.1625,5.1299,0.8288,0.25
2019-03-31,14.49,488019890.0,50907.5325,5.9905,0.8061,0.25
2019-04-30,12.2,553526650.0,42876.9,5.0455,0.679,0.25
2019-05-31,12.38,852106180.0,43491.9375,5.1179,0.6887,0.25
2019-06-30,9.59,1325941630.0,33704.055,3.9661,0.5337,0.25
2019-07-31,9.37,292273030.0,32913.2925,3.873,0.5212,0.25
2019-08-31,7.63,238412370.0,26815.635,3.1555,0.4246,0.25
2019-09-30,7.44,237848020.0,26147.88,3.0769,0.4141,0.0
2019-10-31,7.92,338212900.0,27817.2675,3.2734,0.4405,0.0
2019-11-30,7.62,330201040.0,26762.9175,3.1493,0.4238,0.0
2019-12-31,7.45,261285960.0,26183.025,3.0811,0.4146,0.0
2020-01-31,10.66,791285700.0,37446.9975,4.4065,0.593,0.0
2020-02-29,8.4,506478860.0,29521.8,3.4739,0.4675,0.0
2020-03-31,5.33,331465370.0,18714.7125,2.5963,0.28,0.0
2020-04-30,6.95,259863620.0,24425.775,3.3886,0.3655,0.0
2020-05-31,6.05,187698690.0,21262.725,2.9498,0.3182,0.0
2020-06-30,8.86,983353600.0,31120.8975,4.3174,0.4657,0.0
2020-07-31,12.09,1222639730.0,42472.7325,5.8922,0.6355,0.5
2020-08-31,11.89,674585830.0,41769.8325,5.7947,0.625,0.5
2020-09-30,11.31,264072790.0,39748.995,5.5144,0.5948,0.5
2020-10-31,11.38,120726520.0,39977.4375,5.5461,0.5982,0.5
2020-11-30,11.86,162562280.0,41681.97,5.7825,0.6237,0.5
2020-12-31,11.86,134812110.0,41664.3975,5.7801,0.6234,0.5
2021-01-31,10.85,217688710.0,38114.7525,5.2877,0.5703,0.5
