NTCPH IN Equity,price,volume,mc,pe,bm,div
2017-12-31,961.7,7115578.0,177419.5159,34.4759,10.1638,7.25
2018-01-31,946.9,7396472.0,174696.7967,33.9454,10.0074,7.25
2018-02-28,798.7,10108785.0,147354.8786,28.6325,8.4411,14.0
2018-03-31,753.65,7359222.0,139043.4509,19.1964,4.5259,14.0
2018-04-30,807.85,4422265.0,149042.9932,20.5769,4.8513,14.0
2018-05-31,807.8,5503497.0,149033.7685,20.5756,4.851,14.0
2018-06-30,805.7,6913698.0,148646.3324,20.5222,4.8384,14.0
2018-07-31,781.45,3062436.0,144172.3674,19.9045,4.6928,14.0
2018-08-31,779.7,4574415.0,143849.504,19.8599,4.6823,8.5
2018-09-30,751.5,6566238.0,138646.7901,19.1416,4.5129,8.5
2018-10-31,754.15,4754216.0,139242.0064,19.2091,4.5289,8.5
2018-11-30,714.6,4380274.0,131939.7172,18.2017,4.2914,8.5
2018-12-31,680.05,3364983.0,125572.5008,17.3217,4.0839,8.5
2019-01-31,692.4,5493434.0,127852.9513,17.6363,4.158,8.5
2019-02-28,575.6,3704582.0,106349.0849,14.6612,3.4566,5.0
2019-03-31,573.45,9057815.0,105951.8463,16.3937,3.0036,5.0
2019-04-30,545.3,4312550.0,99726.9151,15.5889,2.8562,5.0
2019-05-31,531.3,5543919.0,97166.5322,15.1887,2.7828,5.0
2019-06-30,534.9,4954609.0,97824.9164,15.2916,2.8017,4.75
2019-07-31,515.05,5603305.0,94194.6591,14.7241,2.6977,4.75
2019-08-31,542.05,4512303.0,98524.1653,15.496,2.8391,2.5
2019-09-30,581.95,3878616.0,105776.4745,16.6366,3.0481,2.5
2019-10-31,589.2,2453053.0,107168.0266,16.8439,3.0861,2.5
2019-11-30,593.75,3256934.0,107995.6141,16.974,3.1099,2.25
2019-12-31,593.45,3359119.0,107941.0479,16.9654,3.1084,2.25
2020-01-31,633.85,5158475.0,115289.2968,18.1204,3.32,2.25
2020-02-29,601.65,5088592.0,109541.1972,17.1998,3.1513,14.0
2020-03-31,505.55,3897205.0,92044.4648,19.9585,2.4392,14.0
2020-04-30,610.7,8929185.0,111188.9123,24.1098,2.9466,14.0
2020-05-31,579.75,7907984.0,105553.9085,22.8879,2.7972,14.0
