IIB IN Equity,price,volume,mc,pe,bm,div
2017-05-31,1480.7,22473173.0,885964.2468,30.8094,4.2895,4.5
2017-06-30,1478.95,16444488.0,885177.2111,29.0389,4.1169,4.5
2017-07-31,1645.75,23322728.0,985066.455,32.314,4.5812,6.0
2017-08-31,1656.75,18791502.0,991869.3473,32.5299,4.6119,6.0
2017-09-30,1682.2,28899071.0,1007312.736,31.256,4.5851,6.0
2017-10-31,1627.15,31134479.0,974348.4239,30.2332,4.4351,6.0
2017-11-30,1661.95,29398072.0,996046.9672,30.8798,4.5299,6.0
2017-12-31,1648.9,24735994.0,988903.6219,28.9942,4.3107,6.0
2018-01-31,1753.1,31234445.0,1051724.752,30.8264,4.5831,6.0
2018-02-28,1680.75,26561423.0,1008635.987,29.5542,4.3939,6.0
2018-03-31,1796.75,24995388.0,1078451.011,29.8563,4.5231,6.0
2018-04-30,1898.0,19884712.0,1139259.443,31.5387,4.778,6.0
2018-05-31,1955.45,26281904.0,1173851.555,32.4934,4.9226,6.0
2018-06-30,1932.2,21321135.0,1160166.269,30.4523,4.652,6.0
2018-07-31,1995.15,25603163.0,1198060.12,31.4444,4.8035,7.5
2018-08-31,1906.6,20791439.0,1145702.459,30.0489,4.5903,7.5
2018-09-30,1690.05,35442731.0,1016220.646,26.3782,4.0062,7.5
2018-10-31,1425.1,90964028.0,857384.0417,22.2429,3.3782,7.5
2018-11-30,1631.8,45501808.0,981962.3414,25.469,3.8681,7.5
2018-12-31,1599.3,27898702.0,962866.6207,24.6729,3.6469,7.5
2019-01-31,1505.55,59458977.0,907059.5831,23.2266,3.4331,7.5
2019-02-28,1473.85,31909463.0,888205.3163,22.7376,3.3608,7.5
2019-03-31,1780.0,65547349.0,1072782.625,32.4226,4.0198,7.5
2019-04-30,1606.5,43307657.0,968584.615,29.2623,3.628,7.5
2019-05-31,1605.35,101527308.0,967975.2278,29.2413,3.6254,7.5
2019-06-30,1410.5,102815114.0,850705.7771,24.1814,3.0491,7.5
2019-07-31,1412.85,115344943.0,978978.4332,24.2217,3.0542,7.5
2019-08-31,1395.75,105654443.0,967149.9389,23.9285,3.0172,7.5
2019-09-30,1383.55,103148127.0,958696.2551,21.8812,2.8588,7.5
2019-10-31,1313.2,136837160.0,910064.4313,20.7686,2.7134,7.5
2019-11-30,1569.1,100031944.0,1087459.335,24.8158,3.2421,7.5
2019-12-31,1510.0,62382809.0,1046536.038,22.9658,3.0637,7.5
2020-01-31,1258.85,133719563.0,872471.4515,19.146,2.5541,7.5
2020-02-29,1104.05,160797690.0,765594.48,16.7916,2.24,7.5
2020-03-31,351.3,541178934.0,243639.1048,5.4601,0.7012,7.5
2020-04-30,468.15,607929360.0,324687.4774,7.2762,0.9344,7.5
2020-05-31,393.65,504818130.0,273019.8381,6.1183,0.7857,7.5
2020-06-30,474.8,870090408.0,329305.1548,9.3062,0.9281,7.5
2020-07-31,523.75,573110913.0,363255.2124,10.2656,1.0238,7.5
2020-08-31,630.2,419268916.0,437085.2932,12.352,1.2319,7.5
2020-09-30,527.4,419964916.0,398879.6255,13.1521,1.0056,0.0
2020-10-31,585.7,425274978.0,443063.2315,14.606,1.1167,0.0
2020-11-30,857.65,571140912.0,648789.0667,21.3878,1.6352,0.0
2020-12-31,894.95,276005386.0,677571.1019,27.8108,1.6715,0.0
