TRE IN Equity,price,volume,mc,pe,bm,div
2020-03-31,36.4,18214177.0,9025.202,2.7327,0.7014,1.1
2020-04-30,37.2,8949077.0,9223.5581,2.7928,0.7168,1.1
2020-05-31,40.65,6208867.0,10078.9687,3.0518,0.7833,1.1
2020-06-30,54.5,14547637.0,13513.0085,4.0916,1.0502,1.1
2020-07-31,54.2,8961295.0,13438.625,4.0691,1.0444,1.1
2020-08-31,70.25,32709631.0,17418.144,5.274,1.3537,1.1
2020-09-30,74.5,9137025.0,18471.9107,5.5931,1.4356,1.1
2020-10-31,71.6,7865184.0,17752.8703,5.3754,1.3797,1.1
2020-11-30,71.7,8149640.0,17333.8409,5.3829,1.3816,1.1
2020-12-31,71.35,16974244.0,17249.2266,5.3566,1.3749,1.1
2021-01-31,71.45,9044850.0,17273.4021,5.3641,1.3768,1.1
2021-02-28,87.3,19338490.0,21105.2205,6.5541,1.6822,1.1
2021-03-31,84.5,28968433.0,20428.3062,7.0358,1.3132,1.1
2021-04-30,122.45,36210303.0,29602.9124,10.1957,1.903,0.0
2021-05-31,149.45,40876740.0,36130.3001,12.4438,2.3226,0.0
2021-06-30,192.6,59858647.0,46562.0328,16.0366,2.9931,0.0
2021-07-31,186.85,25285456.0,45171.9423,15.5579,2.9038,0.0
2021-08-31,173.25,12739902.0,41884.0728,14.4255,2.6924,0.0
2021-09-30,185.05,11037984.0,44736.7831,15.408,2.8758,1.75
2021-10-31,191.25,29926106.0,46235.6648,15.9242,2.9722,1.75
2021-11-30,206.5,29848662.0,49922.4302,17.194,3.2092,3.0
2021-12-31,221.4,19178051.0,53524.5814,18.4346,3.4407,3.0
2022-01-31,266.5,33244121.0,64427.7368,22.1898,4.1416,3.0
2022-02-28,248.85,24631403.0,60160.7591,20.7202,3.8673,3.0
2022-03-31,311.15,37882725.0,75222.1025,17.7395,3.9326,3.0
2022-04-30,320.35,25327814.0,77446.2495,18.264,4.0489,3.0
2022-05-31,292.6,30332876.0,70737.5452,16.6819,3.6981,3.0
2022-06-30,236.45,17226089.0,57162.9958,13.4806,2.9885,3.0
2022-07-31,253.0,10458857.0,61164.0428,14.4242,3.1976,3.0
2022-08-31,235.65,16710562.0,56969.5917,13.435,2.9784,5.0
2022-09-30,254.2,32378398.0,61454.149,14.4926,3.2128,3.25
2022-10-31,251.45,13430383.0,60789.3224,14.3358,3.178,3.25
2022-11-30,295.55,16952067.0,71450.7228,16.8501,3.7354,2.0
2022-12-31,281.9,78034290.0,68150.7655,16.0718,3.5629,2.0
2023-01-31,285.7,8776643.0,69069.4349,16.2885,3.6109,2.0
2023-02-28,269.85,6802668.0,65237.6164,15.3848,3.4106,2.0
2023-03-31,271.15,12185501.0,59354.184,3.6357,2.227,2.0
2023-04-30,286.65,10634459.0,62747.1025,3.8435,2.3544,2.0
2023-05-31,275.05,9830980.0,60207.8861,3.688,2.2591,2.0
2023-06-30,283.1,17354405.0,61970.0147,3.7959,2.3252,2.0
2023-07-31,299.65,22251743.0,65592.7761,4.0178,2.4611,2.0
2023-08-31,314.3,19707258.0,68799.6313,4.2143,2.5815,2.0
2023-09-30,379.7,53588514.0,83115.5584,5.0912,3.1186,3.25
2023-10-31,356.4,21030769.0,78015.2358,4.7788,2.9272,3.25
2023-11-30,387.3,11548286.0,84779.183,5.1931,3.181,3.25
2023-12-31,344.7,26773866.0,75454.1296,4.6219,2.8311,3.25
2024-01-31,342.25,10299121.0,74917.8295,4.589,2.811,3.25
2024-02-29,329.85,14049216.0,72203.4947,4.4228,2.7092,4.5
2024-03-31,311.1,13090441.0,68099.1578,17.2355,2.3475,4.5
2024-04-30,362.35,22557845.0,79317.6787,20.0748,2.7342,4.5
2024-05-31,328.2,7995118.0,71842.3131,18.1828,2.4765,4.5
2024-06-30,396.05,39378328.0,86694.5402,21.9418,2.9885,4.5
2024-07-31,422.8,22405787.0,92550.0609,23.4238,3.1904,4.5
2024-08-31,476.85,41372737.0,104381.496,26.4183,3.5982,4.5
2024-09-30,475.55,33901595.0,104096.9287,26.3463,3.5884,5.75
2024-10-31,414.9,12278245.0,90820.7669,22.9861,3.1308,5.75
2024-11-30,399.1,7395057.0,87362.179,22.1108,3.0116,5.75
2024-12-31,453.1,49152362.0,99182.6693,25.1025,3.419,5.75
2025-01-31,383.2,14867586.0,83881.7013,21.2299,2.8916,5.75
2025-02-28,348.85,12869405.0,76362.5561,19.3269,2.6324,1.25
2025-03-31,384.45,10754149.0,84155.3238,34.6048,2.7049,1.25
2025-04-30,409.2,10861759.0,89573.0485,36.8325,2.8791,1.25
2025-05-31,438.15,13179294.0,95910.1447,39.4384,3.0828,1.25
2025-06-30,379.45,8341391.0,83060.834,34.1547,2.6698,1.25
2025-07-31,343.85,11845748.0,75268.0663,30.9503,2.4193,1.25
2025-08-31,351.9,5779667.0,77030.1949,31.6749,2.4759,1.25
2025-09-30,333.5,8228222.0,73002.4723,30.0187,2.3465,2.5
2025-10-31,357.05,3615966.0,78157.5195,32.1385,2.5122,2.5
2025-11-30,355.85,5774891.0,77894.8419,32.0304,2.5037,2.5
2025-12-31,390.3,16307449.0,85435.8769,35.1313,2.7461,2.5
2026-01-31,375.4,7153930.0,82174.2972,33.7902,2.6413,2.5
2026-02-28,394.9,5096649.0,86442.8076,35.5454,2.7785,1.5
2026-03-31,397.95,3726631.0,87110.449,35.8199,2.7999,1.5
