VTEX IN Equity,price,volume,mc,pe,bm,div
2011-07-31,43.07,1571620.0,13701.0835,2.5323,0.5946,0.9
2011-08-31,38.21,16668405.0,12155.0592,2.2465,0.5275,0.9
2011-09-30,38.44,2035585.0,12228.225,2.2601,0.5307,0.9
2011-10-31,41.13,855245.0,13083.9462,2.4182,0.5678,0.9
2011-11-30,34.61,2539785.0,11009.856,2.0349,0.4778,0.9
2011-12-31,34.95,6658005.0,11118.0141,2.0549,0.4825,0.9
2012-01-31,39.25,6441875.0,12485.8957,2.3077,0.5419,0.9
2012-02-29,39.66,1105195.0,12616.3216,2.3318,0.5475,0.9
2012-03-31,40.23,1421330.0,12797.6454,8.8965,0.5699,0.9
2012-04-30,43.05,560810.0,13694.7213,9.5201,0.6098,0.9
2012-05-31,46.69,2514300.0,14852.6489,10.3251,0.6614,0.9
2012-06-30,45.01,1724390.0,14318.2208,9.9536,0.6376,0.9
2012-07-31,47.46,2885755.0,15097.5951,10.4954,0.6723,0.9
2012-08-31,43.44,4677035.0,13818.7849,9.6064,0.6154,0.9
2012-09-30,47.99,3810120.0,15266.1945,10.6126,0.6798,0.9
2012-10-31,49.12,5567990.0,15625.661,10.8625,0.6958,0.9
2012-11-30,50.19,4888460.0,15966.0409,11.0991,0.711,0.9
2012-12-31,49.2,4337885.0,15651.11,10.8801,0.697,0.9
2013-01-31,54.23,5688665.0,17251.2133,11.9925,0.7682,0.9
2013-02-28,55.71,4059670.0,17722.0191,12.3198,0.7892,0.9
2013-03-31,52.54,1079130.0,16713.6041,4.6088,0.6552,0.9
2013-04-30,54.56,1231710.0,17356.1903,4.786,0.6804,0.9
2013-05-31,53.0,1259495.0,16859.9356,4.6491,0.661,0.9
2013-06-30,53.99,2843820.0,17174.8623,4.736,0.6733,0.9
2013-07-31,57.01,16053990.0,18135.5603,5.0009,0.711,0.9
2013-08-31,61.68,4116320.0,19621.143,5.4105,0.7692,1.2
2013-09-30,66.78,4869180.0,21243.5137,5.8579,0.8328,1.2
2013-10-31,70.99,4832360.0,22582.7649,6.2272,0.8853,1.2
2013-11-30,78.33,4307485.0,24917.7063,6.8711,0.9769,1.2
2013-12-31,75.35,4589140.0,23969.7328,6.6096,0.9397,1.2
2014-01-31,71.94,3153770.0,22884.9712,6.3105,0.8972,1.2
2014-02-28,69.16,8389505.0,22000.6201,6.0667,0.8625,1.2
2014-03-31,70.65,13691145.0,22474.6068,3.0744,0.7051,1.2
2014-04-30,66.69,3351985.0,21214.8837,2.9021,0.6656,1.2
2014-05-31,74.79,19543055.0,23791.5902,3.2546,0.7464,1.2
2014-06-30,95.41,25432450.0,30351.0579,4.1519,0.9522,1.2
2014-07-31,94.72,23309565.0,30131.5606,4.1218,0.9453,1.2
2014-08-31,89.27,10107525.0,28397.8507,3.8847,0.891,1.2
2014-09-30,88.42,12711220.0,28127.4556,3.8477,0.8825,2.2
2014-10-31,87.57,6601655.0,27857.0604,3.8107,0.874,2.2
2014-11-30,84.6,8831275.0,26912.2681,3.6815,0.8443,2.2
2014-12-31,91.27,7094225.0,29034.0745,3.9717,0.9109,2.2
2015-01-31,87.87,5095285.0,27952.494,3.8238,0.877,2.2
2015-02-28,101.27,5110175.0,32215.0005,4.4069,1.0107,2.2
2015-03-31,108.29,5035925.0,34448.3393,8.4575,1.0029,2.2
2015-04-30,129.75,7463960.0,41275.021,10.1336,1.2016,2.2
2015-05-31,127.31,5895395.0,40498.828,9.943,1.179,2.2
2015-06-30,135.41,4317525.0,43075.5345,10.5756,1.2541,2.2
