PIDI IN Equity,price,volume,mc,pe,bm,div
2002-04-30,5.13,10334120.0,5180.387,9.9383,1.9842,0.0
2002-05-31,4.97,5048080.0,5020.1168,9.6308,1.9228,0.0
2002-06-30,5.12,1397600.0,5163.9814,9.9068,1.9779,0.0
2002-07-31,5.38,2894000.0,5426.4712,10.4104,2.0785,0.0
2002-08-31,5.65,1023560.0,5704.1046,10.943,2.1848,0.175
2002-09-30,5.43,584760.0,5481.9979,10.5169,2.0997,0.175
2002-10-31,5.56,459280.0,5609.4568,10.7614,2.1485,0.175
2002-11-30,5.72,698640.0,5777.2989,11.0834,2.2128,0.175
2002-12-31,5.74,742080.0,5789.9186,11.1076,2.2177,0.175
2003-01-31,6.0,4218600.0,6057.4562,11.6209,2.3201,0.175
2003-02-28,5.62,1053440.0,5675.0793,10.8873,2.1737,0.175
2003-03-31,5.45,873760.0,5502.1894,9.6669,1.7981,0.175
2003-04-30,5.54,430560.0,5595.5752,9.8309,1.8287,0.175
2003-05-31,6.27,2679200.0,6324.9939,11.1125,2.067,0.175
2003-06-30,6.65,2525000.0,6711.1567,11.7909,2.1932,0.175
2003-07-31,6.73,1471360.0,6789.3988,11.9284,2.2188,0.1875
2003-08-31,7.28,3711640.0,7344.6657,12.9039,2.4003,0.1875
2003-09-30,7.4,3733120.0,7465.8148,13.1168,2.4399,0.1875
2003-10-31,7.58,3580240.0,7647.5385,13.4361,2.4992,0.1875
2003-11-30,7.5,1682200.0,7571.8203,13.303,2.4745,0.1875
2003-12-31,9.42,5134000.0,9513.9922,16.7152,3.1092,0.1875
2004-01-31,7.6,3463840.0,7672.7779,13.4804,2.5075,0.1875
2004-02-29,8.5,6861080.0,8581.3963,15.0768,2.8044,0.1875
2004-03-31,7.42,2563680.0,7491.0542,12.1985,2.3792,0.1875
2004-04-30,7.45,2458160.0,7517.5555,12.2417,2.3876,0.1875
2004-05-31,6.59,1796080.0,6654.368,10.8361,2.1135,0.1875
2004-06-30,6.98,1518240.0,7050.6266,11.4813,2.2393,0.1875
2004-07-31,6.87,2154320.0,6933.4279,11.2902,2.2021,0.2
2004-08-31,7.51,6029960.0,7579.5719,12.3424,2.4073,0.2
2004-09-30,7.98,3485560.0,8051.5599,13.111,2.5572,0.2
2004-10-31,7.35,1961120.0,7416.7739,12.0773,2.3556,0.2
2004-11-30,8.4,11498960.0,8483.1639,13.8138,2.6943,0.2
2004-12-31,9.42,4489680.0,9510.4319,15.4866,3.0205,0.2
2005-01-31,10.26,8269720.0,10357.2339,16.8655,3.2895,0.2
2005-02-28,10.59,6128040.0,10692.9259,17.4121,3.3961,0.2
2005-03-31,10.37,6836040.0,10469.5519,13.8791,2.8964,0.2
2005-04-30,10.25,13498920.0,10347.1379,13.7168,2.8626,0.2
2005-05-31,11.78,20122240.0,11888.0399,15.7595,3.2888,0.2
2005-06-30,12.77,9732200.0,12888.8059,17.0862,3.5657,0.2
2005-07-31,13.4,9751200.0,13527.3779,17.9327,3.7424,0.25
2005-08-31,16.96,9108720.0,17120.2918,22.6957,4.7364,0.25
2005-09-30,20.89,55024180.0,21088.0195,27.9556,5.834,0.25
2005-10-31,18.21,16347812.0,18387.3396,24.3754,5.0869,0.25
2005-11-30,18.79,12990528.0,18967.8595,25.145,5.2475,0.25
2005-12-31,20.36,19712884.0,20557.9795,27.2529,5.6874,0.25
2006-01-31,21.58,13861252.0,21782.1195,28.8757,6.0261,0.25
2006-02-28,23.26,10737968.0,23485.8194,31.1343,6.4974,0.25
2006-03-31,25.93,12168292.0,26173.8794,21.4629,6.333,0.25
2006-04-30,28.93,20495128.0,28950.2793,23.9466,7.0658,0.25
2006-05-31,25.3,9938252.0,25542.8794,20.9455,6.1803,0.25
2006-06-30,22.35,6825484.0,22564.5595,18.5032,5.4597,0.25
2006-07-31,23.25,12243224.0,23473.1994,19.2483,5.6795,0.3125
2006-08-31,24.46,3595424.0,24697.3394,20.2521,5.9757,0.3125
2006-09-30,25.43,6275328.0,25669.0794,21.049,6.2108,0.3125
2006-10-31,26.39,7339996.0,26640.8194,21.8458,6.4459,0.3125
2006-11-30,32.2,32495716.0,32509.1192,26.6579,7.8658,0.3125
2006-12-31,30.64,12974716.0,30931.6193,25.3643,7.4841,0.3125
2007-01-31,29.88,3839976.0,30161.7993,24.733,7.2979,0.3125
2007-02-28,27.93,14629132.0,28193.0793,23.1187,6.8215,0.3125
2007-03-31,28.28,9982104.0,28546.4393,25.5456,5.9397,0.3125
2007-04-30,28.66,3549548.0,28937.6593,25.8957,6.0211,0.3125
2007-05-31,30.81,6682980.0,31108.2992,27.8382,6.4728,0.3125
2007-06-30,30.56,3152616.0,30855.8993,27.6123,6.4203,0.3125
2007-07-31,34.88,15867088.0,35209.7991,31.5085,7.3262,0.3125
2007-08-31,37.28,7953240.0,37632.8391,33.6768,7.8304,0.375
2007-09-30,40.16,6808972.0,40548.059,36.2856,8.4369,0.375
2007-10-31,51.71,10420224.0,52208.9387,46.7207,10.8633,0.375
2007-11-30,49.25,7764880.0,49722.7988,44.4959,10.346,0.375
2007-12-31,48.65,7781128.0,49117.0388,43.9538,10.2199,0.375
2008-01-31,44.49,6057620.0,44914.5789,40.1931,9.3455,0.375
2008-02-29,40.01,10919484.0,40396.619,36.1501,8.4054,0.375
2008-03-31,33.38,16449324.0,33695.3992,19.5825,5.4765,0.375
2008-04-30,37.59,3903528.0,37948.3391,22.0541,6.1677,0.375
2008-05-31,36.41,2546372.0,36762.0591,21.3647,5.9749,0.375
2008-06-30,32.46,1920012.0,32774.1392,19.0471,5.3267,0.375
2008-07-31,34.51,3195100.0,34935.9417,20.2499,5.6631,0.375
2008-08-31,34.74,1778364.0,35163.7022,20.3819,5.7,0.4375
2008-09-30,32.54,2471048.0,32936.7099,19.0911,5.339,0.4375
2008-10-31,23.25,9104028.0,23535.2311,13.6417,3.8151,0.4375
2008-11-30,22.68,4000664.0,22953.177,13.3044,3.7207,0.4375
2008-12-31,27.03,2093336.0,27356.5428,15.8567,4.4345,0.4375
2009-01-31,24.09,1321364.0,24383.0056,14.1331,3.9525,0.4375
2009-02-28,21.63,2536148.0,21890.2956,12.6883,3.5484,0.4375
2009-03-31,21.18,1467900.0,21434.775,19.1586,3.0881,0.4375
2009-04-30,22.4,17082968.0,22674.8033,20.2669,3.2667,0.4375
2009-05-31,31.01,7560588.0,31392.9615,28.0593,4.5227,0.4375
2009-06-30,28.81,11518180.0,29165.9719,26.0688,4.2019,0.4375
2009-07-31,35.69,6396384.0,36125.3144,32.2891,5.2045,0.4375
2009-08-31,38.17,10016776.0,38643.3311,34.5397,5.5673,0.4375
2009-09-30,36.5,6947904.0,36947.7822,33.0242,5.323,0.4375
2009-10-31,41.16,14460376.0,41667.4818,37.2427,6.003,0.4375
2009-11-30,48.6,13638716.0,49196.2251,43.972,7.0876,0.4375
2009-12-31,48.8,6343200.0,49398.6787,44.1529,7.1168,0.4375
2010-01-31,48.83,30265268.0,49423.9854,44.1755,7.1204,0.4375
2010-02-28,49.29,19151848.0,49892.1593,44.594,7.1879,0.4375
2010-03-31,57.6,34789348.0,58306.7074,20.8812,6.6869,0.4375
2010-04-30,59.0,9274362.0,59723.8843,21.3887,6.8494,0.4375
2010-05-31,55.88,5878732.0,56560.543,20.2558,6.4867,0.4375
2010-06-30,65.38,11517798.0,66177.1007,23.6998,7.5895,0.4375
2010-07-31,68.0,9573506.0,68834.3074,24.6514,7.8943,0.75
2010-08-31,72.25,13398734.0,73136.4516,26.1921,8.3877,0.75
2010-09-30,76.93,7445076.0,77868.8102,27.8869,8.9304,0.75
2010-10-31,72.78,10487940.0,73667.8929,26.3824,8.4486,0.75
2010-11-30,75.05,4062166.0,75970.8054,27.2072,8.7127,0.75
2010-12-31,76.08,3196648.0,77008.3814,27.5787,8.8317,0.75
2011-01-31,67.6,2597106.0,68429.3997,24.5064,7.8478,0.75
2011-02-28,68.7,10031010.0,69542.8958,24.9052,7.9755,0.75
2011-03-31,74.83,2911332.0,75743.0448,24.4127,6.9828,0.75
2011-04-30,78.72,7347768.0,79690.8948,25.6852,7.3468,0.75
2011-05-31,75.35,7065906.0,76274.4862,24.584,7.0318,0.75
2011-06-30,82.7,9263170.0,83733.9317,26.9821,7.7177,0.75
2011-07-31,85.88,13847356.0,86988.6285,28.0179,8.014,0.875
2011-08-31,81.7,12838416.0,82937.1038,26.6558,7.6244,0.875
2011-09-30,82.03,4385862.0,83267.0249,26.7618,7.6548,0.875
2011-10-31,81.05,3075546.0,82289.8365,26.4437,7.5638,0.875
2011-11-30,77.0,4744202.0,78177.8829,25.1223,7.1858,0.875
2011-12-31,72.13,7577728.0,73228.3091,23.5318,6.7309,0.875
2012-01-31,67.45,6306662.0,68481.7948,22.0065,6.2946,0.875
2012-02-29,76.0,12247612.0,77162.5857,24.7961,7.0925,0.875
2012-03-31,88.45,4102448.0,89803.0356,27.6839,6.8003,0.875
2012-04-30,91.0,7139512.0,92392.0434,28.482,6.9964,0.875
2012-05-31,83.1,9648584.0,84371.1957,26.0094,6.389,0.875
2012-06-30,82.93,8101316.0,84193.5187,25.9546,6.3755,0.875
2012-07-31,83.6,10181410.0,84878.8443,26.1659,6.4274,0.95
2012-08-31,94.95,9805516.0,96402.4673,29.7183,7.3,0.95
2012-09-30,103.08,19389266.0,104828.6968,32.2613,7.9247,0.95
2012-10-31,96.15,11080922.0,98190.9927,30.0939,7.3923,0.95
2012-11-30,107.28,8283364.0,109619.1067,33.5759,8.2476,0.95
2012-12-31,109.05,10567000.0,111807.2797,34.1315,8.3841,0.95
2013-01-31,116.23,16734640.0,119163.6963,36.3772,8.9357,0.95
