MMTC IN Equity,price,volume,mc,pe,bm,div
2022-06-30,39.2,51540705.0,58800.0,,,0.0
2022-07-31,40.15,48138949.0,60225.0,,,0.0
2022-08-31,44.6,45333654.0,66900.0,,,0.0
2022-09-30,34.45,54621473.0,51675.0,,,0.0
2022-10-31,34.45,27444715.0,51675.0,,,0.0
2022-11-30,41.9,111314153.0,62850.0,,,0.0
2022-12-31,37.8,66802446.0,56700.0,,,0.0
2023-01-31,34.2,30660520.0,51300.0,,,0.0
2023-02-28,30.85,15297094.0,46275.0,,,0.0
2023-03-31,27.9,29838647.0,41850.0,2.6775,2.9644,0.0
2023-04-30,28.25,57698191.0,42375.0,2.7111,3.0016,0.0
2023-05-31,29.95,58065508.0,44925.0,2.8743,3.1822,0.0
2023-06-30,31.55,53158201.0,47325.0,3.0278,3.3522,0.0
2023-07-31,38.05,119624192.0,57075.0,3.6516,4.0428,0.0
2023-08-31,42.1,213943139.0,63150.0,4.0403,4.4731,0.0
2023-09-30,58.4,437319317.0,87600.0,5.6046,6.205,0.0
2023-10-31,55.15,698251550.0,82725.0,5.2927,5.8597,0.0
2023-11-30,50.3,79612929.0,75450.0,4.8273,5.3444,0.0
2023-12-31,59.8,174453119.0,89700.0,5.739,6.3538,0.0
2024-01-31,80.85,286604375.0,121275.0,7.7591,8.5903,0.0
2024-02-29,77.3,177635708.0,115950.0,7.4184,8.2132,0.0
2024-03-31,66.45,46185783.0,99675.0,51.9141,6.1313,0.0
2024-04-30,74.1,63440874.0,111150.0,57.8906,6.8371,0.0
2024-05-31,70.3,48219338.0,105450.0,54.9219,6.4865,0.0
2024-06-30,78.96,165522854.0,118440.0,61.6875,7.2856,0.0
2024-07-31,111.16,822747276.0,166740.0,86.8438,10.2566,0.0
2024-08-31,100.94,247662596.0,151410.0,78.8594,9.3136,0.0
2024-09-30,89.59,60632479.0,134385.0,69.9922,8.2664,0.0
2024-10-31,78.8,45140272.0,118200.0,61.5625,7.2708,0.0
2024-11-30,78.62,61356046.0,117930.0,61.4219,7.2542,0.0
2024-12-31,72.56,64030734.0,108840.0,56.6875,6.695,0.0
2025-01-31,69.36,101295507.0,104040.0,54.1875,6.3998,0.0
2025-02-28,49.28,31335254.0,73920.0,38.5,4.547,0.0
2025-03-31,52.18,55808490.0,78270.0,89.9655,4.5982,0.0
2025-04-30,56.19,102069691.0,84285.0,96.8793,4.9516,0.0
2025-05-31,85.77,503911073.0,128655.0,147.8793,7.5582,0.0
2025-06-30,72.77,74487721.0,109155.0,125.4655,6.4126,0.0
2025-07-31,64.63,21174066.0,96945.0,111.431,5.6953,0.0
2025-08-31,60.79,13492427.0,91185.0,104.8103,5.3569,0.0
2025-09-30,64.74,63239627.0,97110.0,111.6207,5.705,0.0
2025-10-31,68.73,77615246.0,103095.0,118.5,6.0566,0.0
2025-11-30,60.52,25004149.0,90780.0,104.3448,5.3331,0.0
2025-12-31,67.23,283735994.0,100845.0,115.9138,5.9244,0.0
2026-01-31,65.1,285184578.0,97650.0,112.2414,5.7367,0.0
2026-02-28,61.82,44462349.0,92730.0,106.5862,5.4477,0.0
2026-03-31,56.82,6258901.0,85229.9995,97.9655,5.0071,0.0
