VOLT IN Equity,price,volume,mc,pe,bm,div
2002-01-31,4.46,741600.0,1475.7471,,,0.12
2002-02-28,4.35,1042790.0,1439.3498,,,0.12
2002-03-31,4.88,2246860.0,1614.7188,7.9546,0.7765,0.12
2002-04-30,4.89,2578490.0,1618.0277,7.9709,0.7781,0.12
2002-05-31,4.67,3518230.0,1545.233,7.6123,0.7431,0.12
2002-06-30,5.67,7581990.0,1874.4636,9.2342,0.9015,0.12
2002-07-31,4.69,3874860.0,1551.8507,7.6449,0.7463,0.18
2002-08-31,4.49,1234960.0,1485.6737,7.3189,0.7145,0.18
2002-09-30,4.76,1092500.0,1575.0126,7.759,0.7575,0.18
2002-10-31,4.8,2957190.0,1588.248,7.8242,0.7638,0.18
2002-11-30,4.85,1109410.0,1603.1379,7.8975,0.771,0.18
2002-12-31,4.72,1110180.0,1561.7772,7.6938,0.7511,0.18
2003-01-31,5.12,3160410.0,1694.1313,8.3458,0.8147,0.18
2003-02-28,5.7,1620500.0,1884.3901,9.2831,0.9062,0.18
2003-03-31,5.16,1285640.0,1707.3667,7.0619,0.9158,0.18
2003-04-30,5.11,558130.0,1690.8224,6.9934,0.907,0.18
2003-05-31,5.8,3387380.0,1917.4786,7.9309,1.0285,0.18
2003-06-30,8.0,15167540.0,2648.7345,10.9555,1.4208,0.18
2003-07-31,8.4,4396800.0,2777.7797,11.4892,1.49,0.25
2003-08-31,10.07,11893210.0,3330.3576,13.7747,1.7864,0.25
2003-09-30,9.32,7009110.0,3083.8483,12.7551,1.6542,0.25
2003-10-31,10.74,10365580.0,3552.0506,14.6917,1.9053,0.25
2003-11-30,14.01,55806780.0,4634.0446,19.1669,2.4857,0.25
2003-12-31,14.26,26223680.0,4716.7658,19.5091,2.5301,0.25
2004-01-31,11.47,20232510.0,3793.5966,15.6907,2.0349,0.25
2004-02-29,12.14,4011830.0,4015.2896,16.6077,2.1538,0.25
2004-03-31,11.54,3694180.0,3818.413,11.9438,1.7777,0.25
2004-04-30,12.61,7795830.0,4172.46,13.0512,1.9425,0.25
2004-05-31,10.18,2114350.0,3370.0638,10.5414,1.569,0.25
2004-06-30,10.5,3511450.0,3472.6382,10.8622,1.6167,0.25
2004-07-31,11.75,6752270.0,3887.8989,12.1611,1.81,0.3
2004-08-31,13.33,18001810.0,4409.0428,13.7912,2.0527,0.3
2004-09-30,15.24,23262990.0,5041.0331,15.768,2.3469,0.3
2004-10-31,14.84,6382120.0,4908.6791,15.3541,2.2853,0.3
2004-11-30,17.81,18285300.0,5893.062,18.4331,2.7436,0.3
2004-12-31,19.84,26690320.0,6564.7586,20.5342,3.0563,0.3
2005-01-31,21.41,13635820.0,7082.5936,22.1539,3.2973,0.3
2005-02-28,22.49,30683470.0,7443.2583,23.2821,3.4653,0.3
2005-03-31,22.89,9464550.0,7573.9579,14.4954,3.4499,0.3
2005-04-30,24.27,17513010.0,8030.5792,15.3693,3.6579,0.3
2005-05-31,24.91,7682470.0,8240.6912,15.7714,3.7536,0.3
2005-06-30,23.28,9442070.0,7701.3486,14.7392,3.5079,0.3
2005-07-31,24.58,25778460.0,8131.4991,15.5624,3.7039,0.5
2005-08-31,40.03,54697140.0,13245.3269,25.3495,6.0332,0.5
2005-09-30,47.52,95434890.0,15723.6557,30.0926,7.1621,0.5
2005-10-31,43.74,38721760.0,14472.9103,27.6989,6.5924,0.5
2005-11-30,55.08,37870610.0,18225.1463,34.88,8.3015,0.5
2005-12-31,60.11,86491100.0,19891.1524,38.0685,9.0603,0.5
2006-01-31,67.16,31195920.0,22222.2373,42.5298,10.1222,0.5
2006-02-28,81.92,49969230.0,27106.1,51.8768,12.3467,0.5
2006-03-31,101.15,47714920.0,33469.0187,45.4417,12.3336,0.5
2006-04-30,100.47,13668400.0,33369.7532,45.1362,12.2507,0.5
2006-05-31,99.39,23707080.0,32886.6611,44.651,12.119,0.5
2006-06-30,77.51,23914050.0,25645.2427,34.8192,9.4505,0.5
2006-07-31,79.57,24791280.0,26328.5202,35.7469,9.7023,0.6
2006-08-31,94.16,32722250.0,31154.4781,42.2992,11.4807,0.6
2006-09-30,103.65,87236337.0,34296.1996,46.5648,12.6384,0.6
2006-10-31,93.25,19712688.0,30854.9987,41.8926,11.3703,0.6
2006-11-30,110.4,99119228.0,36529.6714,49.5973,13.4615,0.6
2006-12-31,114.45,47412240.0,37869.7544,51.4167,13.9553,0.6
2007-01-31,103.35,27015056.0,34196.9342,46.43,12.6018,0.6
2007-02-28,94.95,22352443.0,31417.5027,42.6563,11.5776,0.6
2007-03-31,84.75,24989656.0,28042.4787,13.9114,6.6179,0.6
2007-04-30,95.0,33042622.0,31434.0469,15.5939,7.4182,0.6
2007-05-31,95.25,43385051.0,31516.7681,15.6349,7.4378,0.6
2007-06-30,111.25,60973785.0,36810.9234,18.2612,8.6872,0.6
2007-07-31,141.65,99504350.0,46869.8184,23.2513,11.061,1.0
2007-08-31,136.55,57491896.0,45182.3064,22.4141,10.6627,1.0
2007-09-30,163.05,45985117.0,53950.8008,26.764,12.732,1.0
2007-10-31,217.85,68030790.0,72083.2994,35.7592,17.0112,1.0
2007-11-30,243.15,50944250.0,80454.6901,39.9121,18.9868,1.0
2007-12-31,246.45,43678484.0,81546.6107,40.4537,19.2445,1.0
2008-01-31,192.45,38969166.0,63678.8201,31.5899,15.0278,1.0
2008-02-29,203.35,34075652.0,67285.4667,33.3791,15.8789,1.0
2008-03-31,179.65,26009685.0,59443.492,28.6226,10.2982,1.0
2008-04-30,191.7,28838602.0,63430.6564,30.5424,10.9889,1.0
2008-05-31,143.5,48774717.0,47481.9989,22.863,8.2259,1.0
2008-06-30,123.75,36826726.0,40947.02,19.7164,7.0938,1.35
2008-07-31,122.55,42492156.0,40549.9579,19.5252,7.025,1.35
2008-08-31,123.8,32208680.0,40963.5642,19.7243,7.0967,1.35
2008-09-30,92.3,32930451.0,30540.6864,14.7056,5.291,1.35
2008-10-31,73.55,25895200.0,24336.5925,11.7183,4.2161,1.35
2008-11-30,50.0,25356705.0,16544.2505,7.9662,2.8662,1.35
2008-12-31,60.35,44546275.0,19968.9103,9.6152,3.4595,1.35
2009-01-31,43.2,39977078.0,14294.2324,6.8828,2.4764,1.35
2009-02-28,36.75,30259719.0,12160.0241,5.8552,2.1066,1.35
2009-03-31,46.15,53138330.0,15270.3432,6.0724,1.9336,1.35
2009-04-30,59.2,81030381.0,19588.3926,7.7895,2.4803,1.35
2009-05-31,98.4,79307760.0,32559.085,12.9474,4.1227,1.35
2009-06-30,125.1,136919726.0,41393.7147,16.4605,5.2414,1.35
2009-07-31,144.15,76237653.0,47697.0742,18.9671,6.0395,1.6
2009-08-31,157.8,61541431.0,52213.6545,20.7632,6.6114,1.6
2009-09-30,145.35,34636129.0,48094.1362,19.125,6.0898,1.6
2009-10-31,158.25,53197933.0,52362.5528,20.8224,6.6303,1.6
2009-11-30,173.9,39269917.0,57540.9032,22.8816,7.286,1.6
2009-12-31,173.3,20292849.0,57342.3722,22.8026,7.2608,1.6
2010-01-31,157.4,33569485.0,52081.3005,20.7105,6.5947,1.6
2010-02-28,155.6,19545586.0,51485.7075,20.4737,6.5192,1.6
2010-03-31,176.45,20549193.0,58384.66,15.3301,5.3802,1.6
2010-04-30,180.95,18613197.0,59873.6425,15.7211,5.5174,1.6
2010-05-31,180.05,19925558.0,59575.846,15.6429,5.49,1.6
2010-06-30,198.55,34646037.0,65697.2187,17.2502,6.0541,1.6
2010-07-31,212.5,25059830.0,70313.0646,18.4622,6.4795,2.0
2010-08-31,200.15,14161303.0,66226.6347,17.3892,6.1029,2.0
2010-09-30,241.4,31569946.0,79875.6414,20.9731,7.3607,2.0
2010-10-31,245.2,29273236.0,81133.0044,21.3032,7.4765,2.0
2010-11-30,243.8,18052567.0,80669.7654,21.1816,7.4338,2.0
2010-12-31,217.7,17256451.0,72033.6666,18.914,6.638,2.0
2011-01-31,192.0,15682251.0,63529.9219,16.6811,5.8544,2.0
2011-02-28,164.6,25940491.0,54463.6726,14.3006,5.0189,2.0
2011-03-31,182.65,29049865.0,60436.147,16.912,4.4382,2.0
2011-04-30,165.3,21664435.0,54695.2921,15.3056,4.0166,2.0
2011-05-31,168.3,18194593.0,55687.9471,15.5833,4.0895,2.0
2011-06-30,159.6,16839462.0,52809.2476,14.7778,3.8781,2.0
2011-07-31,137.15,30003570.0,45380.8791,12.6991,3.3326,2.0
2011-08-31,116.0,30542322.0,38382.6611,10.7407,2.8187,2.0
2011-09-30,111.15,23021894.0,36777.8688,10.2917,2.7008,2.0
2011-10-31,99.8,30993153.0,33022.324,9.2407,2.425,2.0
2011-11-30,91.7,23612541.0,30342.1554,8.4907,2.2282,2.0
2011-12-31,73.45,19241846.0,24303.504,6.8009,1.7848,2.0
2012-01-31,96.4,58971972.0,31897.3149,8.9259,2.3424,2.0
2012-02-29,109.85,147066590.0,36347.7183,10.1713,2.6693,2.0
2012-03-31,112.25,107472226.0,37141.8081,22.9082,2.5132,2.0
2012-04-30,109.3,35495434.0,36165.6982,22.3061,2.4472,2.0
2012-05-31,100.2,72459316.0,33154.6474,20.449,2.2434,2.0
2012-06-30,104.7,54310216.0,34643.6286,21.3673,2.3442,2.0
2012-07-31,106.3,46758582.0,35173.0441,21.6939,2.38,2.0
2012-08-31,110.2,45684542.0,36463.4944,22.4898,2.4673,1.6
2012-09-30,124.95,42888327.0,41344.0438,25.5,2.7976,1.6
2012-10-31,110.8,41589768.0,36662.0253,22.6122,2.4808,1.6
2012-11-30,108.3,29219936.0,35834.8135,22.102,2.4248,1.6
2012-12-31,105.9,38502978.0,35040.6902,21.6122,2.3711,1.6
2013-01-31,97.7,52314393.0,32327.4356,19.9388,2.1875,1.6
2013-02-28,79.05,34739750.0,26156.4359,16.1327,1.7699,1.6
2013-03-31,75.35,34130029.0,24932.1625,11.9984,1.5337,1.6
2013-04-30,85.25,26194961.0,28207.9211,13.5748,1.7352,1.6
2013-05-31,83.75,37353130.0,27711.594,13.336,1.7047,1.6
2013-06-30,80.95,28347201.0,26785.1193,12.8901,1.6477,1.6
2013-07-31,77.8,24845779.0,25742.8324,12.3885,1.5836,1.6
2013-08-31,67.0,22871860.0,22169.2773,10.6688,1.3637,1.6
2013-09-30,73.9,35620300.0,24452.3819,11.7675,1.5042,1.6
2013-10-31,89.15,35824092.0,29498.3741,14.1959,1.8146,1.6
2013-11-30,111.05,85297459.0,36744.7498,17.6831,2.2604,1.6
2013-12-31,116.05,88201920.0,38399.1735,18.4793,2.3621,1.6
2014-01-31,106.1,71130278.0,35106.8704,16.8949,2.1596,1.6
2014-02-28,133.4,70777965.0,44140.0237,21.242,2.7153,1.6
2014-03-31,160.9,75570782.0,53239.3539,21.6846,2.9263,1.6
2014-04-30,156.35,64136231.0,51733.8283,21.0714,2.8436,1.6
2014-05-31,186.7,75478210.0,61776.18,25.1617,3.3956,1.6
2014-06-30,218.05,75779437.0,72149.4165,29.3868,3.9657,1.6
2014-07-31,192.25,66124741.0,63612.5903,25.9097,3.4965,1.6
2014-08-31,244.65,81352355.0,80950.9504,32.9717,4.4495,1.85
2014-09-30,241.6,82927803.0,79941.752,32.5606,4.394,1.85
2014-10-31,251.4,43543640.0,83184.4224,33.8814,4.5723,1.85
2014-11-30,270.55,58829933.0,89520.8651,36.4623,4.9206,1.85
2014-12-31,242.5,56586912.0,80239.5483,32.6819,4.4104,1.85
2015-01-31,268.6,55877931.0,88875.6398,36.1995,4.8851,1.85
2015-02-28,254.0,42176905.0,84044.7925,34.2318,4.6196,1.85
2015-03-31,279.85,61129795.0,92598.0931,24.0835,4.4051,1.85
2015-04-30,281.1,42660067.0,93011.699,24.191,4.4248,1.85
2015-05-31,332.95,62732961.0,110168.0726,28.6532,5.2409,1.85
2015-06-30,315.3,60284842.0,104327.957,27.1343,4.9631,1.85
