UNITDSPR IN Equity,price,volume,mc,pe,bm,div
2010-10-31,299.03,26762350.0,187782.3166,,4.9763,0.5
2010-11-30,277.95,33410460.0,174544.6775,,4.6255,0.5
2010-12-31,292.75,20251015.0,183838.6556,,4.8718,0.5
2011-01-31,248.36,23090820.0,155963.0087,,4.1331,0.5
2011-02-28,221.42,56590825.0,144803.1425,,3.6848,0.5
2011-03-31,204.96,47071940.0,134038.7223,22.6475,3.2077,0.5
2011-04-30,207.14,32985475.0,135464.3714,22.8884,3.2418,0.5
2011-05-31,212.14,34518010.0,138734.2464,23.4409,3.3201,0.5
2011-06-30,196.03,36431875.0,128198.7175,21.6608,3.068,0.5
2011-07-31,204.94,27433510.0,134025.6264,22.6453,3.2074,0.5
2011-08-31,179.48,19653845.0,117375.4314,19.832,2.809,0.5
2011-09-30,159.15,32872720.0,104080.1198,17.5856,2.4908,0.5
2011-10-31,175.59,37374535.0,114831.4686,19.4022,2.7481,0.5
2011-11-30,139.93,85669030.0,91510.7205,15.4619,2.19,0.5
2011-12-31,98.38,59673175.0,64338.0596,10.8707,1.5397,0.5
2012-01-31,133.63,232362970.0,87390.678,14.7657,2.0914,0.5
2012-02-29,114.52,252946985.0,74893.216,12.6541,1.7923,0.5
2012-03-31,121.21,212121320.0,79268.3086,40.5928,1.7004,0.5
2012-04-30,156.29,246414225.0,102209.7513,52.3409,2.1925,0.5
2012-05-31,112.74,204820760.0,73729.1405,37.7562,1.5816,0.5
2012-06-30,137.27,190794780.0,89771.147,45.9712,1.9257,0.5
2012-07-31,161.84,332203910.0,105839.3125,54.1996,2.2704,0.5
2012-08-31,193.83,573191500.0,126759.9725,64.9129,2.7191,0.5
2012-09-30,243.22,571808130.0,159059.7973,81.4534,3.412,0.5
2012-10-31,235.15,515259905.0,153782.2191,78.7508,3.2988,0.5
2012-11-30,399.24,661164235.0,261092.9672,133.7039,5.6007,0.5
2012-12-31,379.75,234975530.0,248347.0028,127.1768,5.3273,0.5
2013-01-31,360.88,178545755.0,236006.4947,120.8573,5.0626,0.5
2013-02-28,368.02,180108105.0,240675.8761,123.2485,5.1628,0.5
2013-03-31,379.83,165350160.0,248399.3208,126.2324,5.1887,0.5
2013-04-30,442.19,227165330.0,289181.193,,6.0406,0.5
2013-05-31,482.9,192894365.0,315804.5231,,6.5967,0.5
2013-06-30,433.56,167851335.0,315041.4915,,5.9227,0.5
2013-07-31,476.96,171772775.0,346577.6119,,6.5156,0.5
2013-08-31,440.17,127538540.0,319844.5825,,6.013,0.5
2013-09-30,506.64,96229580.0,368144.2308,,6.921,0.5
2013-10-31,514.83,85747325.0,374095.3928,,7.0329,0.5
2013-11-30,523.06,158665165.0,380075.6567,,7.1453,0.5
2013-12-31,521.71,72359085.0,379094.6945,,7.1269,0.5
2014-01-31,494.67,99525540.0,359446.3926,,6.7575,0.5
2014-02-28,477.45,71561755.0,346933.6557,,6.5223,0.5
2014-03-31,529.49,63497500.0,384747.9255,,12.6885,0.5
2014-04-30,553.7,67384280.0,402339.858,,13.2686,0.5
2014-05-31,563.62,129056760.0,409548.1322,,13.5063,0.5
2014-06-30,479.21,163074930.0,348212.549,,11.4836,0.5
2014-07-31,471.18,110309410.0,342377.6128,,11.2911,0.5
2014-08-31,479.61,68328795.0,348503.2045,,11.4932,0.5
