CLPL IN Equity,price,volume,mc,pe,bm,div
2009-06-30,1.77,34000.0,133.5724,,,0.0
2009-07-31,1.6,4000.0,120.88,,,0.0
2009-08-31,1.6,73500.0,120.88,,,0.0
2009-09-30,1.37,25500.0,103.3524,,,0.0
2009-10-31,1.37,27500.0,103.2013,,,0.0
2009-11-30,1.6,136500.0,120.88,,,0.0
2009-12-31,1.65,66500.0,124.6575,,,0.0
2010-01-31,1.62,140500.0,122.5421,,,0.0
2010-02-28,1.61,99000.0,121.7866,,,0.0
2010-03-31,1.59,138500.0,120.2756,,,0.0
2010-04-30,1.65,130000.0,124.8086,,,0.0
2010-05-31,2.46,341000.0,185.5508,,,0.0
2010-06-30,2.79,544000.0,211.0867,,,0.0
2010-07-31,3.5,824000.0,264.7272,,,0.0
2010-08-31,2.9,420000.0,219.095,,,0.0
2010-09-30,2.51,199000.0,189.6305,,,0.0
2010-10-31,2.52,195500.0,190.2349,,,0.0
2010-11-30,3.92,987000.0,296.0049,,,0.0
2010-12-31,4.36,636000.0,329.398,,,0.2
2011-01-31,4.52,200500.0,341.486,,,0.2
2011-02-28,3.58,283000.0,270.469,,,0.2
2011-03-31,3.61,120000.0,272.7355,,,0.2
2011-04-30,4.03,66000.0,304.4665,,,0.2
2011-05-31,4.2,350000.0,317.31,,,0.2
2011-06-30,4.47,176000.0,337.7085,5.3726,1.1612,0.2
2011-07-31,4.77,238500.0,360.3735,5.7332,1.2391,0.2
2011-08-31,5.27,558500.0,398.1485,6.3341,1.369,0.2
2011-09-30,5.0,184500.0,377.75,6.0096,1.2988,0.2
2011-10-31,5.0,73500.0,377.75,6.0096,1.2988,0.2
2011-11-30,5.09,126500.0,384.5495,6.1178,1.3222,0.2
2011-12-31,4.25,80000.0,321.0875,5.1082,1.104,0.3
2012-01-31,5.0,95000.0,377.75,6.0096,1.2988,0.3
2012-02-29,4.95,111500.0,373.9725,5.9495,1.2859,0.3
2012-03-31,4.85,178515.0,366.4175,5.8293,1.2599,0.3
2012-04-30,5.92,181850.0,447.256,7.1154,1.5378,0.3
2012-05-31,5.02,100805.0,379.261,6.0337,1.304,0.3
2012-06-30,5.16,125620.0,389.838,4.8679,1.161,0.3
2012-07-31,6.05,635105.0,457.0775,5.7075,1.3612,0.3
2012-08-31,6.71,286955.0,506.9405,6.3302,1.5097,0.3
2012-09-30,9.61,1496170.0,726.0355,9.066,2.1622,0.3
2012-10-31,12.69,922790.0,958.7295,11.9717,2.8552,0.3
2012-11-30,14.97,1030720.0,1130.9835,14.1226,3.3682,0.3
2012-12-31,14.08,387335.0,1063.744,13.283,3.168,0.4
2013-01-31,18.65,1643520.0,1409.0075,17.5943,4.1962,0.4
2013-02-28,14.0,267980.0,1057.7,13.2075,3.15,0.4
2013-03-31,12.38,464450.0,935.309,11.6792,2.7855,0.4
2013-04-30,13.46,427875.0,1016.903,12.6981,3.0285,0.4
2013-05-31,12.43,714025.0,939.0865,11.7264,2.7967,0.4
2013-06-30,9.4,344230.0,710.17,5.0811,1.6461,0.4
2013-07-31,12.74,890500.0,962.507,6.8865,2.231,0.4
2013-08-31,11.84,384245.0,894.512,6.4,2.0734,0.4
2013-09-30,11.1,434105.0,838.605,6.0,1.9438,0.4
2013-10-31,11.45,323130.0,865.0475,6.1892,2.0051,0.4
2013-11-30,14.62,1110565.0,1104.541,7.9027,2.5602,0.4
2013-12-31,17.75,1378865.0,1341.0126,9.5946,3.1083,0.5
2014-01-31,23.05,4900320.0,1741.4276,12.4595,4.0365,0.5
2014-02-28,28.15,2362085.0,2126.7326,15.2162,4.9296,0.5
