KKB IN Equity,price,volume,mc,pe,bm,div
2013-04-30,149.85,330684.0,11891.8709,18.0325,1.2775,2.0
2013-05-31,148.15,107019.0,11756.9614,17.8279,1.263,2.0
2013-06-30,153.25,259735.0,12161.6827,18.4416,1.3065,2.0
2013-07-31,151.2,1875208.0,11998.9979,18.1949,1.289,2.0
2013-08-31,150.0,1880918.0,11903.7678,18.0505,1.2788,2.0
2013-09-30,147.0,51247.0,11665.6924,17.6895,1.2532,2.0
2013-10-31,155.35,139334.0,12328.3355,18.6943,1.3244,2.0
2013-11-30,165.0,379742.0,13094.1446,19.8556,1.4067,2.0
2013-12-31,157.75,108175.0,12518.7958,18.9832,1.3449,2.0
2014-01-31,143.7,139148.0,11403.8095,17.2924,1.2251,2.0
2014-02-28,144.7,65484.0,11483.168,17.4128,1.2336,2.0
2014-03-31,165.0,178982.0,13094.1446,20.4461,1.315,2.0
2014-04-30,186.25,297342.0,14780.5117,23.0793,1.4844,2.0
2014-05-31,230.0,495018.0,18252.4439,28.5006,1.8331,2.0
2014-06-30,300.85,305923.0,23874.9902,37.28,2.3977,2.0
2014-07-31,291.3,893451.0,23117.117,36.0967,2.3216,2.5
2014-08-31,301.65,1677359.0,23943.5217,37.3792,2.4041,2.5
2014-09-30,258.75,1085484.0,20538.3267,32.0632,2.0622,2.5
2014-10-31,260.55,897605.0,20681.202,32.2862,2.0765,2.5
2014-11-30,219.45,172098.0,17421.7352,27.1933,1.749,2.5
2014-12-31,240.6,556782.0,19100.7951,29.8141,1.9175,2.5
2015-01-31,209.5,143906.0,16631.8229,25.9603,1.6697,2.5
2015-02-28,197.1,621123.0,15647.3749,24.4238,1.5709,2.5
2015-03-31,190.15,244013.0,15095.6617,36.7085,1.4922,2.5
2015-04-30,199.05,523401.0,15802.2164,38.4266,1.562,2.5
2015-05-31,193.7,151211.0,15377.4897,37.3938,1.5201,2.5
2015-06-30,195.55,115273.0,15524.3578,37.751,1.5346,2.5
2015-07-31,217.7,973374.0,17287.3219,42.027,1.7084,0.5
2015-08-31,203.95,464311.0,16195.4493,39.3726,1.6005,0.5
2015-09-30,203.1,156710.0,16127.9517,39.2085,1.5938,0.5
2015-10-31,176.45,1135251.0,14011.704,34.0637,1.3847,0.5
2015-11-30,168.85,138218.0,13408.1962,32.5965,1.3251,0.5
2015-12-31,176.45,275516.0,14011.704,34.0637,1.3847,0.5
2016-01-31,128.15,1362067.0,10176.2531,24.7394,1.0057,0.5
2016-02-29,118.1,2062571.0,9378.1935,22.7992,0.9268,0.5
2016-03-31,115.4,390659.0,9163.7894,22.4421,0.9935,0.5
2016-04-30,128.25,7469672.0,10184.194,,1.1041,0.5
2016-05-31,123.0,2078379.0,9767.2972,,1.0589,0.5
2016-06-30,125.3,1714378.0,9949.9377,,1.0787,0.5
2016-07-31,155.15,7602166.0,12320.294,,1.3357,0.5
2016-08-31,161.25,3074120.0,12804.6884,,1.3882,0.5
2016-09-30,163.55,3293154.0,12987.3289,,1.408,0.5
2016-10-31,189.95,4209649.0,15083.7244,,1.6353,0.5
2016-11-30,172.65,1893108.0,13709.9501,,1.4864,0.5
2016-12-31,165.9,790455.0,13173.9399,,1.4282,0.5
2017-01-31,224.2,5139054.0,17803.4799,,1.9301,0.5
2017-02-28,246.15,2947866.0,19546.5057,,2.1191,0.5
2017-03-31,254.55,1656996.0,20213.5407,530.3125,2.2508,0.5
2017-04-30,281.45,2001100.0,22349.6406,586.3542,2.4886,0.5
2017-05-31,252.55,1484281.0,20054.7228,526.1458,2.2331,0.0
