GESCO IN Equity,price,volume,mc,pe,bm,div
2008-07-31,407.85,7399998.0,62104.9517,4.2732,1.4337,20.0
2008-08-31,384.25,4853415.0,58511.2853,4.026,1.3508,20.0
2008-09-30,303.5,9405028.0,46215.1596,3.1799,1.0669,20.0
2008-10-31,220.1,8200711.0,33515.5079,2.3061,0.7737,10.0
2008-11-30,163.8,7222095.0,24943.4138,1.7162,0.5758,10.0
2008-12-31,203.45,16332763.0,30983.3402,2.1316,0.7152,10.0
2009-01-31,171.05,10809455.0,26049.2034,1.7922,0.6013,10.0
2009-02-28,167.65,20839760.0,25531.4174,1.7565,0.5894,10.0
2009-03-31,189.75,11758022.0,28897.0262,2.0527,0.5523,10.0
2009-04-30,205.05,14238247.0,31227.0631,2.2182,0.5968,10.0
2009-05-31,283.15,28385226.0,43120.9116,3.0631,0.8242,8.0
2009-06-30,250.95,28093662.0,38217.1738,2.7147,0.7304,8.0
2009-07-31,258.0,16976183.0,39290.8183,2.791,0.751,8.0
2009-08-31,283.5,19037225.0,43174.2131,3.0668,0.8252,8.0
2009-09-30,275.25,22068860.0,41917.8207,2.9776,0.8012,8.0
2009-10-31,240.6,27215608.0,36640.9724,2.6028,0.7003,8.0
2009-11-30,271.7,27698000.0,41377.1912,2.9392,0.7908,5.5
2009-12-31,280.75,11354290.0,42755.4156,3.0371,0.8172,5.5
2010-01-31,285.4,23185959.0,43463.5641,3.0874,0.8307,5.5
2010-02-28,263.1,9183973.0,40067.4972,2.8462,0.7658,3.0
2010-03-31,294.2,10411460.0,44803.716,8.7924,0.7847,3.0
2010-04-30,330.45,13961513.0,50324.2283,9.8758,0.8814,3.0
2010-05-31,299.1,11183153.0,45549.937,8.9389,0.7978,3.0
2010-06-30,292.8,10781244.0,44590.51,8.7506,0.7809,3.0
2010-07-31,288.25,10829984.0,43897.5906,8.6146,0.7688,8.0
2010-08-31,297.2,11002303.0,45260.586,8.8821,0.7927,8.0
2010-09-30,314.05,13056637.0,47826.6724,9.3857,0.8376,8.0
2010-10-31,317.55,11901796.0,48359.6874,9.4903,0.847,8.0
2010-11-30,370.05,24155137.0,56354.912,11.0593,0.987,11.5
2010-12-31,344.25,6590495.0,52425.8302,10.2882,0.9182,11.5
2011-01-31,306.8,4970118.0,46722.5699,9.169,0.8183,11.5
2011-02-28,255.1,6450235.0,38849.1773,7.6239,0.6804,11.5
2011-03-31,263.15,5538953.0,40075.1117,8.5494,0.6645,11.5
2011-04-30,284.95,7167583.0,43395.0336,9.2576,0.7196,11.5
2011-05-31,289.7,3182291.0,44118.4111,9.412,0.7316,11.5
2011-06-30,287.6,3255452.0,43798.6021,9.3437,0.7263,11.5
2011-07-31,271.3,3244268.0,41316.2752,8.8142,0.6851,9.0
2011-08-31,238.45,6030760.0,36313.5489,7.7469,0.6021,9.0
2011-09-30,250.5,5144355.0,38148.6433,8.1384,0.6326,9.0
2011-10-31,234.15,4771177.0,35658.7019,7.6072,0.5913,9.0
2011-11-30,217.0,1926610.0,33046.9285,7.05,0.548,9.0
2011-12-31,189.5,2252002.0,28858.9537,6.1566,0.4785,9.0
2012-01-31,232.65,3780058.0,35430.2669,7.5585,0.5875,9.0
2012-02-29,241.35,6653176.0,36755.1899,7.8411,0.6095,7.5
2012-03-31,244.45,3069607.0,37227.218,11.7581,0.6209,7.5
2012-04-30,253.9,2359438.0,38666.3557,12.2126,0.6449,7.5
2012-05-31,246.5,2552955.0,37539.4119,11.8567,0.6261,7.5
2012-06-30,248.85,3918757.0,37897.2927,11.9697,0.6321,7.5
2012-07-31,260.15,2913232.0,39618.1663,12.5132,0.6608,6.5
2012-08-31,251.7,2055061.0,38331.3183,12.1068,0.6393,6.5
2012-09-30,247.2,1438255.0,37646.0147,11.8903,0.6279,6.5
2012-10-31,257.05,1164245.0,39146.0683,12.3641,0.6529,6.5
2012-11-30,253.65,1046889.0,38628.2833,12.2006,0.6442,6.5
2012-12-31,264.45,3073473.0,40281.5788,12.7201,0.6717,6.5
2013-01-31,244.85,2397863.0,37296.0656,11.7773,0.6219,6.5
2013-02-28,237.2,1464287.0,36130.8016,11.4093,0.6025,6.5
2013-03-31,230.1,1324971.0,35049.3147,6.5166,0.5527,6.5
2013-04-30,217.1,771134.0,33069.1274,6.1484,0.5215,6.5
2013-05-31,245.2,1625660.0,37349.3784,6.9442,0.5889,6.5
2013-06-30,213.2,1284042.0,32475.068,6.0379,0.5121,6.5
2013-07-31,220.4,794013.0,33571.787,6.2419,0.5294,7.5
2013-08-31,252.8,2345972.0,38507.0225,7.1594,0.6072,7.5
2013-09-30,289.45,6549624.0,44089.6268,8.1974,0.6952,7.5
2013-10-31,278.7,3196619.0,42452.1644,7.8929,0.6694,7.5
2013-11-30,298.15,1815417.0,45414.8289,8.4438,0.7161,7.5
2013-12-31,317.95,2622230.0,48430.8061,9.0045,0.7637,7.5
2014-01-31,293.55,1800369.0,44714.1473,8.3135,0.7051,7.5
2014-02-28,310.55,1604507.0,47303.6227,8.795,0.7459,8.5
2014-03-31,340.55,3717050.0,51347.1309,8.9926,0.7581,8.5
2014-04-30,334.9,3241218.0,50495.2404,8.8434,0.7456,8.5
2014-05-31,368.45,3180237.0,55553.8111,9.7293,0.8202,8.5
2014-06-30,364.85,3205382.0,55011.0137,9.6343,0.8122,8.5
2014-07-31,367.25,2230747.0,55372.8786,9.6976,0.8176,8.5
2014-08-31,368.75,3920353.0,55599.0442,9.7373,0.8209,8.0
2014-09-30,431.85,5615340.0,65113.0773,11.4035,0.9614,10.0
2014-10-31,398.55,2373355.0,60092.2009,10.5242,0.8873,10.0
2014-11-30,399.05,4426233.0,60167.5894,10.5374,0.8884,10.0
2014-12-31,361.9,2626027.0,54566.2213,9.5564,0.8057,10.0
2015-01-31,359.9,2889387.0,54264.6672,9.5036,0.8012,10.0
2015-02-28,356.35,2471805.0,53729.3814,9.4098,0.7933,10.0
2015-03-31,365.8,2362965.0,55154.2519,7.3705,0.7423,10.0
2015-04-30,340.45,1818823.0,51332.0532,6.8598,0.6908,10.0
2015-05-31,340.5,4442509.0,51339.592,6.8608,0.6909,10.0
2015-06-30,334.05,2056930.0,50367.0799,6.7308,0.6778,10.0
2015-07-31,347.35,2008397.0,52372.4149,6.9988,0.7048,10.0
2015-08-31,367.95,4707063.0,55478.4226,7.4139,0.7466,12.0
2015-09-30,369.2,2326990.0,55666.8939,7.439,0.7492,7.0
2015-10-31,377.65,1608538.0,56940.9601,7.6093,0.7663,7.0
2015-11-30,381.95,2476781.0,57589.3015,7.696,0.775,7.0
2015-12-31,368.2,1612958.0,55516.1168,7.4189,0.7471,7.0
2016-01-31,336.4,965929.0,50721.406,6.7782,0.6826,7.0
2016-02-29,282.9,2684908.0,42654.8328,5.7002,0.5741,13.0
2016-03-31,311.8,3179337.0,47012.2901,4.2853,0.7163,20.5
2016-04-30,328.35,1596303.0,49507.6506,4.5128,0.7543,20.5
2016-05-31,307.5,2902233.0,46363.9487,4.2262,0.7064,20.5
2016-06-30,313.35,1162352.0,47245.9946,4.3066,0.7198,20.5
2016-07-31,335.2,1439092.0,50540.4736,4.6069,0.77,20.5
2016-08-31,368.85,2703637.0,55614.1219,5.0694,0.8473,13.5
2016-09-30,352.15,2958915.0,53096.1449,4.8399,0.809,13.5
2016-10-31,374.3,1728486.0,56435.857,5.1443,0.8598,13.5
2016-11-30,363.15,1940227.0,54754.6926,4.9911,0.8342,13.5
2016-12-31,362.95,1080279.0,54724.5372,4.9883,0.8338,13.5
2017-01-31,388.65,1975567.0,58599.5079,5.3415,0.8928,13.5
2017-02-28,370.05,1480940.0,55795.0544,5.0859,0.8501,11.1
2017-03-31,417.0,5800331.0,62874.0378,8.3283,0.8704,3.6
2017-04-30,439.9,7315717.0,66326.8327,8.7857,0.9182,3.6
2017-05-31,392.9,3019938.0,59240.3104,7.847,0.8201,3.6
2017-06-30,406.3,3030323.0,61260.7232,8.1146,0.8481,3.6
2017-07-31,397.6,1983948.0,59948.9627,7.9409,0.83,3.6
2017-08-31,398.75,2954396.0,60122.3563,7.9639,0.8324,10.1
2017-09-30,385.9,2672635.0,58184.871,7.7072,0.8055,10.1
2017-10-31,390.6,2830631.0,58893.5232,7.8011,0.8153,10.1
2017-11-30,399.05,2742188.0,60167.587,7.9698,0.833,10.1
2017-12-31,399.35,2031968.0,60212.8201,7.9758,0.8336,10.1
2018-01-31,401.25,4935583.0,60499.2965,8.0138,0.8376,10.1
2018-02-28,365.6,3124788.0,55124.095,7.3018,0.7632,6.5
2018-03-31,330.2,3225719.0,49786.5869,6.6267,0.7187,6.5
2018-04-30,367.25,1542651.0,55372.8771,,0.7993,6.5
2018-05-31,328.8,1022084.0,49575.499,,0.7156,6.5
2018-06-30,281.9,652897.0,42504.0546,,0.6135,6.5
2018-07-31,301.95,789276.0,45527.1348,,0.6572,6.5
2018-08-31,304.8,1637557.0,45956.8494,,0.6634,7.2
2018-09-30,287.7,1587969.0,43378.5616,,0.6262,7.2
2018-10-31,313.25,3607304.0,47230.9156,,0.6818,7.2
2018-11-30,284.15,2028994.0,42843.303,,0.6184,7.2
2018-12-31,315.75,2714302.0,47607.8583,,0.6872,7.2
2019-01-31,302.75,1385592.0,45647.7564,,0.6589,7.2
2019-02-28,268.85,1630529.0,40536.4139,,0.5851,7.2
2019-03-31,284.9,1537697.0,42956.3858,,0.6308,7.2
2019-04-30,288.8,1865494.0,43544.4164,,0.6395,7.2
2019-05-31,280.3,3397538.0,42262.8113,,0.6206,7.2
2019-06-30,264.3,1296011.0,39850.3783,,0.5852,7.2
2019-07-31,235.25,955026.0,35470.3045,,0.5209,12.6
2019-08-31,239.9,2685687.0,36171.4179,,0.5312,5.4
2019-09-30,280.2,2043233.0,42247.7336,,0.6204,5.4
2019-10-31,299.9,4900285.0,45218.0418,,0.664,5.4
2019-11-30,321.55,3522582.0,47257.0729,,0.712,5.4
2019-12-31,298.95,1420202.0,43935.6304,,0.6619,5.4
2020-01-31,304.3,3606801.0,44721.9011,,0.6738,5.4
2020-02-29,241.75,3596362.0,35529.1475,,0.5353,5.4
2020-03-31,205.8,2935927.0,30245.7024,14.7633,0.4451,10.8
2020-04-30,234.85,2836259.0,34515.0788,16.8472,0.5079,10.8
2020-05-31,196.55,2390847.0,28886.2624,14.0997,0.4251,10.8
2020-06-30,212.25,12217325.0,31193.6362,15.226,0.459,13.5
2020-07-31,226.35,9494319.0,33265.8637,16.2374,0.4895,8.1
2020-08-31,254.35,8926122.0,37380.9252,18.2461,0.5501,8.1
2020-09-30,234.9,4952508.0,34522.4271,16.8508,0.508,8.1
2020-10-31,224.7,3840810.0,33023.3678,16.1191,0.486,8.1
2020-11-30,252.5,4634639.0,37109.0359,18.1133,0.5461,8.1
2020-12-31,263.2,13222187.0,38681.5773,18.8809,0.5692,8.1
2021-01-31,260.65,4991748.0,38306.8128,18.698,0.5637,8.1
2021-02-28,314.15,11197220.0,46169.5194,22.5359,0.6794,8.1
2021-03-31,312.7,7706926.0,45956.418,5.0032,0.5965,2.7
2021-04-30,314.9,8335981.0,46279.7442,5.0384,0.6007,2.7
2021-05-31,411.05,22549640.0,60410.5712,6.5768,0.7841,2.7
2021-06-30,388.85,12440544.0,57147.9154,6.2216,0.7418,2.7
2021-07-31,340.0,10228193.0,49968.6046,5.44,0.6486,9.0
2021-08-31,359.85,17290020.0,52885.8893,5.7576,0.6865,9.0
2021-09-30,368.7,9548210.0,54186.5427,5.8992,0.7033,9.0
2021-10-31,321.95,8579095.0,47315.8595,5.1512,0.6142,9.0
2021-11-30,293.65,3617193.0,43156.708,4.6984,0.5602,9.0
2021-12-31,298.2,12840633.0,43825.4055,4.7712,0.5689,9.0
2022-01-31,314.05,6023179.0,46154.8243,5.0248,0.5991,9.0
2022-02-28,325.4,5683343.0,47822.8939,5.2064,0.6207,9.0
2022-03-31,345.35,6330387.0,50754.8752,8.0333,0.6124,9.0
2022-04-30,387.5,9591486.0,55772.6386,9.0137,0.6871,9.0
2022-05-31,397.15,8243803.0,56723.8423,9.2382,0.7042,9.9
2022-06-30,395.6,7198703.0,56502.4601,9.2021,0.7015,9.9
2022-07-31,474.2,13268222.0,67728.682,11.0305,0.8409,9.9
2022-08-31,569.65,13668141.0,81361.543,13.2508,1.0101,10.8
2022-09-30,540.45,11118513.0,77158.5122,12.5715,0.9583,10.8
2022-10-31,557.15,7379561.0,79542.7238,12.96,0.9879,10.8
2022-11-30,663.65,12975667.0,94747.4264,15.4373,1.1768,18.0
2022-12-31,670.9,8509985.0,95782.4883,15.606,1.1897,18.0
2023-01-31,641.55,4176640.0,91592.2721,14.9232,1.1376,18.0
2023-02-28,551.2,5763049.0,78693.2591,12.8216,0.9774,25.2
2023-03-31,644.55,8787667.0,92020.5736,3.5737,0.8955,25.2
2023-04-30,677.6,4478646.0,96739.0283,3.7569,0.9415,25.2
2023-05-31,687.15,7347935.0,98102.4547,3.8099,0.9547,28.8
2023-06-30,742.5,9005972.0,106004.617,4.1168,1.0316,28.8
2023-07-31,789.9,6282013.0,112771.7805,4.3796,1.0975,28.8
2023-08-31,764.5,7344264.0,109145.4946,4.2387,1.0622,36.3
2023-09-30,847.2,16205111.0,120952.3388,4.6973,1.1771,36.3
2023-10-31,794.25,7577280.0,113392.8176,4.4037,1.1035,36.3
2023-11-30,875.55,9202270.0,124999.7878,4.8545,1.2165,35.4
2023-12-31,976.8,15291410.0,139454.9629,5.4158,1.3572,35.4
2024-01-31,990.55,9595699.0,141418.0113,5.4921,1.3763,35.4
2024-02-29,1005.9,9528102.0,143609.4872,5.5772,1.3976,32.7
2024-03-31,1001.25,5299090.0,142945.62,5.468,1.153,32.7
2024-04-30,1090.05,12863685.0,155623.3438,5.953,1.2553,32.7
2024-05-31,1077.3,37197479.0,153803.0625,5.8833,1.2406,41.7
2024-06-30,1225.0,25677447.0,174889.7722,6.69,1.4107,41.7
2024-07-31,1387.65,60276961.0,198110.851,7.5782,1.598,41.7
2024-08-31,1331.95,20857690.0,190158.7201,7.274,1.5339,34.8
2024-09-30,1200.5,9848520.0,171391.9768,6.5562,1.3825,34.8
2024-10-31,1289.4,10430882.0,184083.9774,7.0417,1.4849,34.8
2024-11-30,1100.85,9517428.0,157165.2292,6.012,1.2677,33.3
2024-12-31,962.0,12199402.0,137342.0089,5.2537,1.1078,33.3
2025-01-31,984.0,10003190.0,140482.8864,5.3738,1.1332,33.3
2025-02-28,810.7,9998476.0,115741.3374,4.4274,0.9336,35.1
2025-03-31,931.65,8217802.0,133009.0255,5.6739,0.9328,35.1
2025-04-30,870.05,6531519.0,124214.5684,5.2987,0.8711,35.1
2025-05-31,930.8,14611537.0,132887.6735,5.6687,0.932,29.7
2025-06-30,978.85,26773170.0,139747.6355,5.9613,0.9801,29.7
2025-07-31,939.9,9815767.0,134186.8546,5.7241,0.9411,29.7
2025-08-31,927.35,3147654.0,132395.1268,5.6477,0.9285,27.9
2025-09-30,993.75,10827594.0,141874.8662,6.0521,0.995,27.9
2025-10-31,1099.6,10856705.0,156986.7702,6.6967,1.101,27.9
2025-11-30,1106.9,8163635.0,158028.9705,6.7412,1.1083,27.9
2025-12-31,1129.0,7253609.0,161184.1248,6.8758,1.1304,27.9
2026-01-31,1202.4,9955217.0,171663.2344,7.3228,1.2039,27.9
2026-02-28,1338.9,10025145.0,191150.9519,8.1541,1.3406,28.8
2026-03-31,1389.0,3077062.0,198303.5866,8.4592,1.3907,28.8
