IFCI IN Equity,price,volume,mc,pe,bm,div
2006-09-30,9.9,330844178.0,6322.8902,,,0.0
2006-10-31,12.2,485449471.0,7791.8445,,,0.0
2006-11-30,12.9,757981250.0,8238.9176,,,0.0
2006-12-31,12.05,357102694.0,7696.0432,,,0.0
2007-01-31,25.6,2324744273.0,16350.1,,,0.0
2007-02-28,27.55,2162451931.0,17595.5178,,,0.0
2007-03-31,33.6,2235791881.0,21459.5063,,,0.0
2007-04-30,44.75,1689924753.0,28580.7412,,,0.0
2007-05-31,46.95,1243622503.0,29985.8279,,,0.0
2007-06-30,55.8,961366960.0,35638.1086,,,0.0
2007-07-31,57.45,1350735562.0,36691.9236,,,0.0
2007-08-31,65.25,1516263159.0,41673.5947,,,0.0
2007-09-30,99.1,1583291147.0,63292.7941,,,0.0
2007-10-31,88.45,1219452022.0,56490.8944,,,0.0
2007-11-30,94.55,1013271689.0,60386.8182,,,0.0
2007-12-31,93.15,1685017142.0,59492.6718,,,0.0
2008-01-31,57.75,989632935.0,36883.5405,,,0.0
2008-02-29,67.05,741036629.0,42823.2275,,,0.0
2008-03-31,44.1,519562633.0,28165.6127,,,0.0
2008-04-30,56.65,846328338.0,43191.6591,,,0.0
2008-05-31,62.25,1387427560.0,47461.267,,,0.0
2008-06-30,37.2,1089535989.0,28362.3957,,,0.0
2008-07-31,45.95,1333030189.0,35033.6582,,,0.0
2008-08-31,44.7,654554389.0,34080.6207,,,0.0
2008-09-30,36.75,901372315.0,28019.3022,,,0.0
2008-10-31,18.5,636002319.0,14104.9549,,,0.0
2008-11-30,16.3,421863211.0,12427.6089,,,0.0
2008-12-31,21.6,513648151.0,16468.4878,,,0.0
2009-01-31,19.15,518131794.0,14600.5344,,,0.0
2009-02-28,18.1,363478185.0,13799.9829,,,0.0
2009-03-31,19.3,299210847.0,14714.8989,,,0.0
2009-04-30,25.15,779326912.0,19175.1143,,,0.0
2009-05-31,46.9,962550647.0,35757.9667,,,0.0
2009-06-30,52.35,1526088830.0,39913.2101,,,0.0
2009-07-31,51.25,1104797060.0,39074.5371,,,0.0
2009-08-31,56.4,1081463016.0,41614.0226,,,0.0
2009-09-30,56.45,1197458465.0,41650.9145,,,0.8
2009-10-31,44.2,467816206.0,32612.4078,,,0.8
2009-11-30,52.85,686590490.0,38994.7003,,,0.8
2009-12-31,54.4,697727970.0,40138.348,,,0.8
2010-01-31,51.7,576227445.0,38146.1874,,,0.8
2010-02-28,51.45,467773701.0,37961.7281,,,0.8
2010-03-31,49.85,374559428.0,36781.1884,,,0.8
2010-04-30,53.05,322138062.0,39142.2677,,,0.8
2010-05-31,54.55,455524663.0,40249.0236,,,0.8
2010-06-30,56.95,501557508.0,42019.8331,,,0.8
2010-07-31,62.4,785665979.0,46041.0463,,,0.8
2010-08-31,58.75,517060894.0,43347.9402,,,0.8
2010-09-30,61.05,357990327.0,45044.966,,,1.0
2010-10-31,69.15,753957354.0,51021.4479,,,1.0
2010-11-30,61.1,590730937.0,45081.8578,,,1.0
2010-12-31,67.3,425557740.0,49656.449,,,1.0
2011-01-31,53.1,341950115.0,39179.1596,,,1.0
2011-02-28,50.0,361994487.0,36891.864,,,1.0
2011-03-31,52.6,356864212.0,38810.2409,,,1.0
2011-04-30,51.95,264175278.0,38330.6467,,,1.0
2011-05-31,48.3,170629626.0,35637.5406,,,1.0
2011-06-30,45.8,185161855.0,33792.9474,,,1.0
2011-07-31,45.1,156416204.0,33276.4613,,,1.0
2011-08-31,37.7,226899611.0,27816.4655,,,1.0
2011-09-30,30.7,327032702.0,22651.6045,,,1.0
2011-10-31,32.95,198147405.0,24311.7384,,,1.0
2011-11-30,23.05,295173854.0,17007.1493,,,1.0
2011-12-31,21.85,467880541.0,16121.7446,,,1.0
2012-01-31,28.7,562748389.0,21175.9299,,,1.0
2012-02-29,43.8,799365973.0,32317.2729,,,1.0
2012-03-31,41.9,452740669.0,30915.3872,,,1.0
2012-04-30,41.2,243818938.0,30398.901,,,1.0
2012-05-31,34.4,228364418.0,25381.6066,,,1.0
2012-06-30,40.25,211970065.0,29697.9554,,,1.0
2012-07-31,35.4,235259169.0,26119.444,,,1.0
2012-08-31,25.6,344378254.0,18888.6375,,,1.0
2012-09-30,31.0,450025445.0,22872.9595,,,1.0
2012-10-31,27.75,238861537.0,31574.9845,,,1.0
2012-11-30,31.3,184067695.0,35614.3069,,,1.0
2012-12-31,33.5,416993830.0,55638.0489,,,1.0
2013-01-31,35.35,560830308.0,58710.5979,,,1.0
2013-02-28,29.1,389857607.0,48330.3649,,,1.0
2013-03-31,26.1,336180821.0,43347.853,,,1.0
2013-04-30,29.85,291099945.0,49611.815,,,1.0
2013-05-31,25.45,252465954.0,42298.8506,,,1.0
2013-06-30,26.2,291910205.0,43545.3787,,,1.0
2013-07-31,21.9,260685431.0,36398.618,,,1.0
2013-08-31,18.85,203667487.0,31329.4041,,,1.0
2013-09-30,21.75,191639952.0,36149.3124,,,0.0
2013-10-31,24.15,194491358.0,40138.2021,,,1.0
2013-11-30,25.4,215937084.0,42215.7488,,,1.0
2013-12-31,25.7,135888177.0,42714.36,,,1.0
2014-01-31,22.8,155786223.0,37894.4517,,,1.0
2014-02-28,23.0,133866536.0,38226.8591,,,1.0
2014-03-31,26.55,194073945.0,44127.0917,,,1.0
2014-04-30,25.5,191304128.0,42381.9525,,,1.0
2014-05-31,36.3,491153301.0,60331.9559,,,1.0
2014-06-30,42.1,561279153.0,69971.7726,,,1.0
2014-07-31,38.2,365502246.0,63489.8269,,,1.0
2014-08-31,33.6,145144339.0,55844.4551,,,1.0
2014-09-30,35.75,209727253.0,59417.8354,,,1.0
2014-10-31,36.8,110585103.0,61162.9746,,,1.0
2014-11-30,39.95,218104101.0,66398.3923,,,1.0
2014-12-31,37.85,197453134.0,62908.1138,,,1.0
2015-01-31,37.6,109210904.0,62492.6045,,,1.0
2015-02-28,38.6,168995621.0,64154.6277,,,1.0
2015-03-31,33.35,90493806.0,55428.9457,,,2.0
2015-04-30,33.55,76706996.0,55761.3532,,,2.0
2015-05-31,31.0,89239097.0,51523.158,,,2.0
2015-06-30,25.8,122472454.0,42880.5637,,,2.0
2015-07-31,24.9,157504618.0,41384.7301,,,2.0
2015-08-31,19.95,161728907.0,33157.6452,,,1.0
2015-09-30,21.6,165086789.0,35900.0068,,,1.5
2015-10-31,26.65,414261510.0,44293.2955,,,1.5
2015-11-30,28.15,253399888.0,46786.3515,,,1.5
2015-12-31,27.6,214786091.0,45872.231,,,1.5
2016-01-31,22.3,264770378.0,37063.433,,,1.5
2016-02-29,21.05,221919647.0,34985.8863,,,2.0
2016-03-31,24.7,166930637.0,41052.3226,,,2.0
2016-04-30,25.5,167204241.0,42381.9525,,,2.0
2016-05-31,24.1,147202703.0,40055.1002,,,2.0
2016-06-30,26.75,222102477.0,44459.4992,,,2.0
2016-07-31,29.0,202783124.0,48199.0833,,,2.0
2016-08-31,28.35,164638715.0,47118.759,,,2.0
2016-09-30,26.3,240619682.0,43711.5824,,,1.0
2016-10-31,26.0,107204584.0,43212.9712,,,1.0
2016-11-30,23.35,168298398.0,38808.5722,,,1.0
2016-12-31,27.2,414542264.0,45207.416,,,1.0
2017-01-31,30.8,299167578.0,51190.7505,,,1.0
2017-02-28,29.2,250537057.0,48531.4907,,,1.0
2017-03-31,29.65,214309109.0,49279.4075,,,0.0
2017-04-30,31.7,220385576.0,52686.5841,,,0.0
2017-05-31,25.65,272038648.0,42631.2581,,,0.0
2017-06-30,24.25,164302024.0,40304.4058,,,0.0
2017-07-31,27.05,180481986.0,44958.1104,,,0.0
2017-08-31,23.9,127853627.0,39722.6927,,,0.0
2017-09-30,23.1,167267683.0,38393.0629,,,0.0
2017-10-31,24.25,150942682.0,40304.4058,,,0.0
2017-11-30,24.8,152052770.0,41218.5252,,,0.0
2017-12-31,30.8,394657656.0,51190.749,,,0.0
2018-01-31,28.5,617153439.0,47368.0632,,,0.0
2018-02-28,22.65,216539092.0,37645.1434,,,0.0
2018-03-31,19.55,227491211.0,32492.8279,,,0.0
2018-04-30,19.9,135587468.0,33750.2625,,,0.0
2018-05-31,17.7,187676584.0,30019.0777,,,0.0
2018-06-30,14.85,174077896.0,25185.4974,,,0.0
2018-07-31,17.3,192916086.0,29340.6805,,,0.0
2018-08-31,17.3,151975168.0,29340.6805,,,0.0
2018-09-30,11.9,160686163.0,20182.3178,,,0.0
2018-10-31,13.85,135946506.0,23489.5043,,,0.0
2018-11-30,13.6,90013368.0,23065.5061,,,0.0
2018-12-31,14.95,121247944.0,25355.0967,,,0.0
2019-01-31,13.6,95269095.0,23065.5061,,,0.0
2019-02-28,12.55,67244443.0,21284.7133,,,0.0
2019-03-31,13.8,85946196.0,23404.7047,,,0.0
2019-04-30,10.6,125049786.0,17977.5268,,,0.0
2019-05-31,9.85,168000213.0,16705.532,,,0.0
2019-06-30,9.2,180780056.0,15603.1364,,,0.0
2019-07-31,7.2,40955177.0,12211.1503,,,0.0
2019-08-31,7.05,33477692.0,11956.7513,,,0.0
2019-09-30,7.05,22493307.0,11956.7513,,0.2308,0.0
2019-10-31,7.3,30315410.0,12380.7496,,0.2389,0.0
2019-11-30,7.05,80289310.0,11956.7513,,0.2308,0.0
2019-12-31,6.6,56364598.0,11193.5544,,0.2144,0.0
2020-01-31,6.35,41241449.0,10769.5561,,,0.0
2020-02-29,5.3,54833241.0,8988.7634,,,0.0
2020-03-31,4.05,71146908.0,6868.772,,0.1309,0.0
2020-04-30,4.05,56001948.0,6868.772,,0.1309,0.0
2020-05-31,4.75,51443531.0,8055.9672,,0.1535,0.0
2020-06-30,7.5,213293277.0,14219.9482,,0.2488,0.0
2020-07-31,6.2,90979765.0,11755.1572,,,0.0
2020-08-31,6.9,101975153.0,13082.3523,,,0.0
2020-09-30,6.0,50135446.0,11375.9586,,0.226,0.0
2020-10-31,5.8,31050831.0,10996.7604,,0.2185,0.0
2020-11-30,6.4,45134887.0,12134.3562,,0.2411,0.0
2020-12-31,9.15,335864888.0,17348.3375,,0.3447,0.0
2021-01-31,8.8,111857718.0,16684.7398,,,0.0
2021-02-28,8.9,81842746.0,16874.3392,,,0.0
2021-03-31,12.0,591530957.0,22751.918,,0.6087,0.0
2021-04-30,10.9,71140164.0,20666.3255,,0.5529,0.0
2021-05-31,12.35,85180498.0,25218.4347,,0.6264,0.0
2021-06-30,13.95,327544177.0,28485.6003,,0.7127,0.0
2021-07-31,14.4,153266211.0,29404.4903,,,0.0
2021-08-31,11.5,83677070.0,23482.7527,,,0.0
2021-09-30,13.45,192943513.0,27464.6107,,1.0092,0.0
2021-10-31,12.2,213609431.0,24912.1376,,0.9154,0.0
2021-11-30,11.7,87839639.0,23891.1484,,0.8779,0.0
2021-12-31,16.25,632452580.0,33182.1505,,1.2118,0.0
2022-01-31,15.05,192585168.0,30731.7763,,,0.0
2022-02-28,12.25,127457647.0,25014.2365,,,0.0
2022-03-31,11.1,114966201.0,23343.2035,,0.8548,0.0
2022-04-30,11.3,126984440.0,23763.8017,,0.8702,0.0
2022-05-31,10.0,90894060.0,21029.9131,,0.7701,0.0
2022-06-30,8.65,66842086.0,18190.8748,,0.6816,0.0
